,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff Support -,Proposed,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,Description,,,,,,,,,
1000.0000.2230.52010.040,,Teacher Benefits,$0.00,"$5,658.06",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52010.050,,Teacher Benefits,"$21,433.95","$4,114.00",,,$0.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52010.300,,Teacher Benefits,"$19,851.70",,$0.00,,$295.53,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52040.900,,Benefits,"$15,881.16","$4,259.03",,"$21,746.93",,"$34,412.00","$30,301.00","($4,111.00)",(11.95)
1000.0000.2230.52080.050,,Support Benefits,"$5,686.93",,($46.63),,$0.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52080.300,,SUPPORT BENEFITS,"$12,879.91",($562.44),,,$0.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52080.900,,Benefits,"$33,123.77","$56,048.18",,"$93,845.49",,"$129,643.00","$104,192.00","($25,451.00)",(19.63)
1000.0000.2230.52300.010,,Stipend Retirement,$2.22,,$0.00,,$54.60,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52300.050,,Retirement,$3.09,,$0.00,,$97.72,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52310.010,,Retirement,"$2,210.10",,$387.39,,$478.80,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52310.020,,Retirement,"$1,560.90",,$141.65,,$0.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52310.030,,Retirement,"$1,560.88",,$141.62,,$2.30,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52310.050,,Retirement,"$2,936.96",,$351.39,,$0.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52310.300,,Retirement,"$3,284.95",,$0.00,,$80.35,$0.00,$0.00,$0.00,0.00
1000.0000.2230.52340.900,,Retirement,$0.00,,$0.00,,"$4,831.18","$4,100.00","$10,554.00","$6,454.00",157.41
1000.0000.2230.52380.900,,Retirement,$0.00,,$0.00,,"$6,798.32",$0.00,"$7,395.00","$7,395.00",0.00
1000.0000.2230.53000.900,,Purchased Professional,"$4,671.35","$1,949.00",,,"$4,166.00","$7,952.00","$3,572.00","($4,380.00)",(55.08)
1000.0000.2230.54320.050,,Tech Repairs/Maint,$474.80,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.54320.300,,Tech Repairs/Maint,$0.00,,$64.08,,$0.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.54320.900,,Tech Repairs/Maintenance,$0.00,"$5,230.58",,,$63.60,$0.00,"$5,500.00","$5,500.00",0.00
1000.0000.2230.54330.010,,Software,$0.00,,$0.00,,$196.54,$0.00,$0.00,$0.00,0.00
1000.0000.2230.54330.030,,Software,$0.00,,$0.00,,$96.00,$0.00,$0.00,$0.00,0.00
1000.0000.2230.54330.900,,Software,$0.00,"$1,168.54",,,$849.95,"$1,200.00",$500.00,($700.00),(58.33)
1000.0000.2230.54432.900,,SOFTWARE LICENCE/RENTAL,$0.00,"$2,640.00",,,$0.00,$0.00,$0.00,$0.00,0.00
,03/22/2023,,,,,,,,,Page 38,
