,,,,,,,,,RSU No.,5,,,,,,,,
,Article 5,Student and,Staff,Support-,,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,,Adopted,,,
,Account,,,,,Description,,,,,,,,,,,,
,1000.0000.2230.51180.050,,Support,Salaries,,,,"($1,088.47)",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.51500.050,,Stipends,,,,,"$2,361.61",,"$2,544.00","$1,272.00",,"$3,815.00",,"$4,266.00",,$451.00,11.82
,1000.0000.2230.52000.050,,Stipend,Benefits,,,,$2.32,,$54.28,$362.95,,,$0.00,$72.00,,$72.00,0.00
,1000.0000.2230.52010.050,,Teacher,Benefits,,,,"$4,114.00",,$0.00,$293.27,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.52080.050,,Support,Benefits,,,,($46.63),,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.52300.050,,Retirement,,,,,$0.00,,$97.72,,$48.67,,$0.00,$191.00,,$191.00,0.00
,1000.0000.2230.52310.050,,Retirement,,,,,$351.39,,$0.00,$557.25,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.56500.050,,Supplies,,,,,"$6,685.90",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,Program:,OVERHEAD - 0000,,,,,"$12,391.10",,"$2,696.00","$17,046.09",,"$3,815.00",,,"$4,529.00",$714.00,,18.72
,Function:,INSTRUCTION,RELATED,TECHNOLOGY,-,,"$12,391.10",,"$2,696.00","$17,046.09",,"$3,815.00",,,"$4,529.00",$714.00,,18.72
2230,,,,,,,,,,,,,,,,,,
Cost,Center:,FREEPORT,MIDDLE SCHOOL,- 050,,,"$250,402.81","$320,612.82",,"$370,692.91",,"$402,421.00",,"$426,656.00",,"$24,235.00",,6.02
,1000.0000.2110.51010.300,,Teachers,Salaries,,,,"$21,703.06",,$90.00,"$12,612.86",,"$84,853.00",,"$84,853.00",,$0.00,0.00
,1000.0000.2110.51500.300,,Student,Support Team,(SST),Stipends,,$0.00,,"$6,510.00","$6,660.00",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2110.52000.300,,Student,Support Team,(SST),Stipend,Benefits,$0.00,,$330.36,$772.86,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2110.52010.300,,Teacher,Benefits,,,,$52.89,,"$4,610.55","$1,845.47",,"$23,562.00",,"$31,854.00","$8,292.00",,35.19
,1000.0000.2110.52300.300,,Student,Support Team,(SST),Stipend,Retirement,$0.00,,$270.20,$255.93,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2110.52310.300,,Retirement,,,,,$232.65,,$3.46,"$2,362.39",,"$3,793.00",,"$4,058.00",,$265.00,6.99
,Program:,OVERHEAD - 0000,,,,,"$21,988.60",,"$11,814.57","$24,509.51",,"$112,208.00",,"$120,765.00",,"$8,557.00",,7.63
,Function: Attendance,& Social,Work - 2110,,,,"$21,988.60",,"$11,814.57","$24,509.51",,"$112,208.00",,"$120,765.00",,"$8,557.00",,7.63
,03/27/2024,,,,,,,,,,,,,,,,53 of 81,
