,,,,,,,,RSU,No.,5,,,,,
Article 2,Special,Education,-,-,Adopted,,,,,,,,,,
From Date:,7/1/2022,,To,Date:,,6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,,,,Percentage
,,,,,,FY19,Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,,,,FY23,Adopted,,
Account,,,,Description,,,,,,,,,,,
1000.2800.2110.52310.020,,,Retirement,,,,"$2,593",,"$2,824",,$316,"$1,456","$1,533",$77,5.27
1000.2800.2110.52310.030,,,Retirement,,,,$931,,"$1,197",,$276,"$1,318","$1,356",$38,2.88
1000.2800.2110.52310.040,,,Retirement,,,,"$3,537",,"$3,907",,$948,"$1,456","$1,507",$51,3.48
1000.2800.2110.52310.050,,,Retirement,,,,"$2,629",,"$2,869",,$695,"$3,199","$3,363",$164,5.14
1000.2800.2110.52310.300,,,Retirement,,,,"$1,449",,"$1,553",,$367,"$1,648","$2,452",$804,48.82
1000.2800.2110.55800.020,,Travel,,,,,$203,,$0,,$0,$210,$150,($60),(28.57)
1000.2800.2110.55800.040,,Travel,,,,,$0,,$0,,$0,$0,$150,$150,0.00
1000.2800.2140.51010.010,,,Psychological,Services,Salary,,"$47,830",,"$58,588",,"$22,930","$28,798",$0,"($28,798)",(100.00)
1000.2800.2140.51010.020,,,Psychological,Services,Salary,,"$16,651",,"$25,390",,"$32,555","$28,798",$0,"($28,798)",(100.00)
1000.2800.2140.51010.030,,,Psychological,Services,Salary,,"$47,830",,"$58,388",,"$32,555","$15,163",$0,"($15,163)",(100.00)
1000.2800.2140.51010.040,,,Psychological,Services,Salary,,"$16,651",,"$25,390",,"$32,555","$28,798",$0,"($28,798)",(100.00)
1000.2800.2140.51010.050,,,Psychological,Services,Salary,,"$16,651",,"$25,390",,"$32,556","$28,798",$0,"($28,798)",(100.00)
1000.2800.2140.51010.300,,,Psychological,Services,Salary,,$0,,"$10,382",,"$18,859","$17,043","$44,099","$27,056",158.74
1000.2800.2140.51010.950,,,Psychological,Services,Salary,K-8,$0,,$0,,$0,$0,"$98,339","$98,339",0.00
1000.2800.2140.51010.990,,,Psychological,Services,Salary,9-12,$0,,$0,,$0,"$13,635",$0,"($13,635)",(100.00)
1000.2800.2140.52010.010,,Psych,,Services,Benefit,,"$6,225",,"$7,763",,"$1,278","$5,566","$11,708","$6,142",110.35
1000.2800.2140.52010.020,,Psych,,Services,Benefit,,"$3,953",,"$5,029",,"$1,247","$5,566",$0,"($5,566)",(100.00)
1000.2800.2140.52010.030,,Psych,,Services,Benefit,,"$6,225",,"$7,759",,"$1,278","$3,903",$0,"($3,903)",(100.00)
1000.2800.2140.52010.040,,Psych,,Services,Benefit,,"$3,953",,"$5,029",,"$1,247","$5,566",$0,"($5,566)",(100.00)
1000.2800.2140.52010.050,,Psych,,Services,Benefit,,"$3,953",,"$5,029",,"$1,247","$5,566",$0,"($5,566)",(100.00)
1000.2800.2140.52010.300,,Psych,,Services,Benefit,,$0,,"$1,346",,$453,"$2,079","$5,403","$3,324",159.94
1000.2800.2140.52010.950,,Psych,,Services,Benefit,,$0,,$0,,$0,$0,"$15,504","$15,504",0.00
1000.2800.2140.52010.990,,Psych,,Services,Benefit,,$0,,$0,,$0,"$1,663",$0,"($1,663)",(100.00)
1000.2800.2140.52310.010,,,Retirement,,,,"$1,913",,"$2,485",,$294,"$1,198","$1,674",$476,39.73
