,,,,,RSU,No.,5,,,,,,
Article,2 Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2800.2160.55800.300,Travel,,$50.00,$0.00,,$50.00,$0.00,$0.00,$50.00,$0.00,$50.00,100.00%
,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$7,857.00",$0.00,"$7,857.00",,$0.00,$0.00,"$7,857.00","$7,041.31",$815.69,10.38%
,,,Function: OT - 2160,"$7,857.00",$0.00,"$7,857.00",,$0.00,$0.00,"$7,857.00","$7,041.31",$815.69,10.38%
,Cost Center:,FREEPORT HIGH,SCHOOL - 300,"$882,256.00",$0.00,"$882,256.00",,$0.00,$0.00,"$882,256.00","$633,867.25","$248,388.75",28.15%
,1000.2800.2190.51010.900,BCBA Salary,,"$84,967.00",$0.00,"$84,967.00",,$0.00,$0.00,"$84,967.00","$84,967.29",($0.29),0.00%
,1000.2800.2190.52010.900,BCBA Benefits,,"$27,249.00",$0.00,"$27,249.00",,$0.00,$0.00,"$27,249.00",$0.00,"$27,249.00",100.00%
,1000.2800.2190.52310.900,BCBA Retirement,,"$3,798.00",$0.00,"$3,798.00",,$0.00,$0.00,"$3,798.00",$0.00,"$3,798.00",100.00%
,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$116,014.00",$0.00,"$116,014.00",,$0.00,$0.00,"$116,014.00","$84,967.29","$31,046.71",26.76%
,Function:,OTHER SUPPORT,SERVICES - 2190,"$116,014.00",$0.00,"$116,014.00",,$0.00,$0.00,"$116,014.00","$84,967.29","$31,046.71",26.76%
,1000.2500.2330.51010.900,Instructional,Strategist Salaries,"$268,529.00",$0.00,"$268,529.00",,$0.00,$0.00,"$268,529.00","$258,609.91","$9,919.09",3.69%
,1000.2500.2330.51040.900,Admin Salaries,,"$147,250.00",$0.00,"$147,250.00",,$0.00,$0.00,"$147,250.00","$147,251.04",($1.04),0.00%
,1000.2500.2330.51180.900,Support Wages,,"$63,542.00",$0.00,"$63,542.00",,$0.00,$0.00,"$63,542.00","$61,100.00","$2,442.00",3.84%
,1000.2500.2330.52010.900,Instructional,Strategist Benefits,"$60,421.00",$0.00,"$60,421.00",,$0.00,$0.00,"$60,421.00",$0.00,"$60,421.00",100.00%
,1000.2500.2330.52040.900,Admin Benefits,,"$19,254.00",$0.00,"$19,254.00",,$0.00,$0.00,"$19,254.00",$0.00,"$19,254.00",100.00%
,1000.2500.2330.52080.900,Support Benefits,,"$28,875.00",$0.00,"$28,875.00",,$0.00,$0.00,"$28,875.00",$0.00,"$28,875.00",100.00%
,1000.2500.2330.52310.900,Retirement,,"$12,003.00",$0.00,"$12,003.00",,$0.00,$0.00,"$12,003.00",$0.00,"$12,003.00",100.00%
,1000.2500.2330.52340.900,Retirement,,"$6,582.00",$0.00,"$6,582.00",,$0.00,$0.00,"$6,582.00",$0.00,"$6,582.00",100.00%
,1000.2500.2330.52380.900,Retirement,,"$3,177.00",$0.00,"$3,177.00",,$0.00,$0.00,"$3,177.00",$0.00,"$3,177.00",100.00%
,1000.2500.2330.53000.900,Legal,,"$20,000.00",$0.00,"$20,000.00",,$0.00,$0.00,"$20,000.00",$0.00,"$20,000.00",100.00%
,1000.2500.2330.53200.900,Telephone,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.2500.2330.53401.900,Admin Purchased,Services,"$15,000.00",$0.00,"$15,000.00",,$0.00,$0.00,"$15,000.00",$0.00,"$15,000.00",100.00%
,1000.2500.2330.55310.900,Postage,,"$4,000.00",$0.00,"$4,000.00",,$0.00,$0.00,"$4,000.00",$0.00,"$4,000.00",100.00%
,1000.2500.2330.55350.900,Adori Special Ed,Software,"$4,500.00",$0.00,"$4,500.00",,$0.00,$0.00,"$4,500.00",$0.00,"$4,500.00",100.00%
,1000.2500.2330.55800.900,Travel,,"$4,000.00",$0.00,"$4,000.00",,$0.00,$0.00,"$4,000.00",$0.00,"$4,000.00",100.00%
,1000.2500.2330.56000.900,Supplies,,"$4,300.00",$0.00,"$4,300.00",,$0.00,$0.00,"$4,300.00",$0.00,"$4,300.00",100.00%
,1000.2500.2330.58100.900,Dues & Fees,,$865.00,$0.00,,$865.00,$0.00,$0.00,$865.00,$0.00,$865.00,100.00%
,,Program: ADMINISTRATION,- 2500,"$662,538.00",$0.00,"$662,538.00",,$0.00,$0.00,"$662,538.00","$466,960.95","$195,577.05",29.52%
,Function:,SPECIAL AREA ADMINISTRATION,- 2330,"$662,538.00",$0.00,"$662,538.00",,$0.00,$0.00,"$662,538.00","$466,960.95","$195,577.05",29.52%
,,Cost Center: SYSTEM,WIDE - 900,"$778,552.00",$0.00,"$778,552.00",,$0.00,$0.00,"$778,552.00","$551,928.24","$226,623.76",29.11%
,1000.2100.1000.51210.950,Tutor Salaries/ESY,,"$16,011.00",$0.00,"$16,011.00",,$0.00,$0.00,"$16,011.00",$0.00,"$16,011.00",100.00%
,1000.2100.1000.52010.950,Benefit,,$715.00,$0.00,,$715.00,$0.00,$0.00,$715.00,$0.00,$715.00,100.00%
,1000.2100.1000.52310.950,Retirement,,$538.00,$0.00,,$538.00,$0.00,$0.00,$538.00,$0.00,$538.00,100.00%
