,1000.0000.2600.55200.050,,Insurance,,,,"$12,171.79",,"$14,179.90","$14,297.09",,"$22,746.00",,"$18,813.00","($3,933.00)",,(17.29)
,1000.0000.2600.55320.050,,,Telephone,,,"$4,452.50",,"$4,691.02","$8,916.28",,"$5,200.00",,"$9,183.00","$3,983.00",,76.60
,1000.0000.2600.56000.050,,Supplies,,,,"$26,527.42",,"$16,192.74","$25,762.34",,"$22,800.00",,"$24,300.00","$1,500.00",,6.58
,1000.0000.2600.56011.050,,Materials,for Repair,,,"$3,453.88",,"$3,003.75","$4,258.57",,"$6,000.00",,"$5,900.00",($100.00),,(1.67)
,1000.0000.2600.56013.050,,Major,Maintenance,,,"$7,764.00",,"$16,375.43",$118.00,,"$14,200.00",,"$6,000.00","($8,200.00)",,(57.75)
,1000.0000.2600.56050.050,,Furniture,& Equipment,- Non Instructional,FMS,$0.00,,"$4,174.32","$1,513.85",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.56220.050,,Electricity,,,,"$30,451.98",,"$40,969.23","$25,924.67",,"$25,000.00",,"$13,000.00","($12,000.00)",,(48.00)
,1000.0000.2600.56240.050,,Heating,Fuel,,,"$40,868.29",,"$48,303.80","$48,534.20",,"$53,302.00",,"$55,000.00","$1,698.00",,3.19
,Program:,OVERHEAD - 0000,,,,"$431,916.65","$427,530.28",,"$428,851.43",,"$616,382.00",,"$547,154.00",,"($69,228.00)",,(11.23)
,03/27/2024,,,,,,,,,,,,,,,74 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
,Article 9,Operations,&,Maintenance-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
,Function: OPERATION,OF,PLANT -,2600,,"$431,916.65","$427,530.28",,"$428,851.43",,"$616,382.00",,"$547,154.00",,"($69,228.00)",,(11.23)
Cost,Center:,FREEPORT,MIDDLE,SCHOOL -,050,"$431,916.65","$427,530.28",,"$428,851.43",,"$616,382.00",,"$547,154.00",,"($69,228.00)",,(11.23)
,1000.0000.2600.51180.300,,Custodian,Salaries,,,"$287,887.30",,"$211,962.18","$197,633.91",,"$192,205.00",,"$215,886.00","$23,681.00",,12.32
,1000.0000.2600.51200.300,,Salaries,of Temporary,Employees,,$0.00,,"$4,122.01","$5,577.50",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.52000.300,,Employee,Benefits,,,$0.00,,$0.00,$669.65,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.52030.300,,Benefits,for subs,and temp employees,,$0.00,,$337.98,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.52080.300,,Custodian,Benefits,,,"$80,240.71",,"$72,610.43","$66,695.09",,"$81,555.00",,"$84,238.00","$2,683.00",,3.29
,1000.0000.2600.52380.300,,Retirement,,,,$0.00,,"$5,238.80","$2,768.08",,"$2,418.00",,"$10,794.00","$8,376.00",,346.40
,1000.0000.2600.53300.300,,Employee,Training,,,$0.00,,$0.00,,$0.00,$125.00,,$125.00,,$0.00,0.00
,1000.0000.2600.54100.300,,,Water/Sewage,,,"$8,699.96",,"$13,510.07","$28,960.02",,"$15,050.00",,"$29,829.00","$14,779.00",,98.20
,1000.0000.2600.54300.300,,Purchased,Repair,,,"$60,324.94",,"$60,127.46","$68,808.00",,"$82,790.00",,"$85,513.00","$2,723.00",,3.29
,1000.0000.2600.55200.300,,Insurance,,,,"$14,047.73",,"$15,192.75","$15,318.31",,"$22,746.00",,"$21,712.00","($1,034.00)",,(4.55)
,1000.0000.2600.55320.300,,Telephone,,,,"$5,232.02",,"$5,839.00","$10,071.37",,"$6,400.00",,"$10,373.00","$3,973.00",,62.08
,1000.0000.2600.56000.300,,Supplies,,,,"$24,265.23",,"$28,113.69","$46,921.43",,"$40,500.00",,"$41,500.00","$1,000.00",,2.47
,1000.0000.2600.56011.300,,Materials,for Repair,,,"$6,271.26",,"$4,748.62","$8,634.37",,"$7,000.00",,"$6,800.00",($200.00),,(2.86)
,1000.0000.2600.56013.300,,Major,Maintenance,,,"$2,054.86",,"$26,101.37","$2,355.19",,"$11,600.00",,$0.00,"($11,600.00)",,(100.00)
,1000.0000.2600.56220.300,,Electricity,,,,"$51,987.76",,"$67,410.97","$46,100.46",,"$58,390.00",,"$46,390.00","($12,000.00)",,(20.55)
,1000.0000.2600.56240.300,,Heating,Fuel,,,"$68,213.16",,"$84,503.55","$98,744.19",,"$93,600.00",,"$96,000.00","$2,400.00",,2.56
,Program: OVERHEAD,- 0000,,,,"$609,224.93","$599,818.88",,"$599,257.57",,"$614,379.00",,"$649,160.00",,"$34,781.00",,5.66
,Function: OPERATION,OF,PLANT -,2600,,"$609,224.93","$599,818.88",,"$599,257.57",,"$614,379.00",,"$649,160.00",,"$34,781.00",,5.66
,03/27/2024,,,,,,,,,,,,,,,75 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
,Article 9,Operations,&,Maintenance-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
,1000.0000.2680.58310.300,,,Principal-High School,Renovation,,"$905,000.00",,"$905,000.00","$900,000.00",,"$680,000.00",,"$680,000.00",,$0.00,0.00
,1000.0000.2680.58320.300,,Interest-High,School,Renovation,,"$416,745.00",,"$371,475.00","$327,425.00",,"$289,000.00",,"$255,000.00","($34,000.00)",,(11.76)
,Program:,OVERHEAD - 0000,,,,"$1,321,745.00","$1,276,475.00",,"$1,227,425.00",,"$969,000.00",,"$935,000.00",,"($34,000.00)",,(3.51)
,Function: CAPITAL,ENHANCEMENT,&,IMPROVEMENT,-,"$1,321,745.00","$1,276,475.00",,"$1,227,425.00",,"$969,000.00",,"$935,000.00",,"($34,000.00)",,(3.51)
2680,,,,,,,,,,,,,,,,,
Cost,Center:,FREEPORT,HIGH SCHOOL,- 300,,"$1,930,969.93","$1,876,293.88",,"$1,826,682.57",,"$1,583,379.00",,"$1,584,160.00",,$781.00,,0.05
,1000.0000.2600.54300.900,,Purchaed,Repairs,,,$441.90,,"$21,661.44","$5,273.03",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.55800.900,,Travel,,,,$0.00,,$0.00,$137.35,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.56000.900,,Supplies,,,,$0.00,,"$11,219.74","$4,993.18",,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.56011.900,,Materials,for Repair,,,$24.55,,"$2,081.87",$337.63,,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.56013.900,,Major,Maintenance,,,$0.00,,"$2,447.00",,$0.00,,$0.00,$0.00,,$0.00,0.00
,Program:,OVERHEAD - 0000,,,,$466.45,,"$37,410.05","$10,741.19",,,$0.00,,$0.00,$0.00,,0.00
,Function:,OPERATION OF,PLANT - 2600,,,$466.45,,"$37,410.05","$10,741.19",,,$0.00,,$0.00,$0.00,,0.00
,1000.0000.2620.51040.900,,,Administrator Salary,,,$0.00,,$0.00,"$2,284.30",,"$60,000.00",,"$93,600.00","$33,600.00",,56.00
,1000.0000.2620.51060.900,,Facilities,Office,Clerical Support Salary,,$0.00,,$0.00,,$0.00,"$20,842.00",,$0.00,"($20,842.00)",,(100.00)
,1000.0000.2620.51180.900,,Salaries,,,,"$347,667.45",,"$285,170.53","$286,471.93",,"$239,262.00",,"$256,010.00","$16,748.00",,7.00
,1000.0000.2620.52000.900,,Maintenance,Benefits,,,$0.00,,$0.00,,$0.00,"$89,805.00",,$0.00,"($89,805.00)",,(100.00)
,1000.0000.2620.52040.900,,,Administrator Benefits,,,$0.00,,$0.00,$482.56,,"$20,245.00",,"$24,268.00","$4,023.00",,19.87
,1000.0000.2620.52060.900,,Facilities,Office,Clerical Support Benefits,,$0.00,,$0.00,,$0.00,"$8,900.00",,$0.00,"($8,900.00)",,(100.00)
,1000.0000.2620.52080.900,,Benefits,,,,"$109,229.52",,"$102,846.32","$84,981.29",,"$138,259.00",,"$112,907.00","($25,352.00)",,(18.34)
,03/27/2024,,,,,,,,,,,,,,,76 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
Article,9,Operations,&,Maintenance-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,
,1000.0000.2620.52340.900,,,Administrator,Retirement,,$0.00,,$0.00,,$0.00,"$3,120.00",,$0.00,"($3,120.00)",,(100.00)
,1000.0000.2620.52380.900,,,Retirement,,,$0.00,,"$9,083.16","$10,891.75",,"$7,912.00",,"$12,800.00","$4,888.00",,61.78
,1000.0000.2620.53000.900,,,Purchased,Professional,,"$4,213.52",,"$32,740.33","$3,538.25",,"$5,140.00",,"$5,030.00",($110.00),,(2.14)
,1000.0000.2620.53300.900,,Training,&,Development,,$0.00,,$0.00,,$0.00,"$1,000.00",,$0.00,"($1,000.00)",,(100.00)
,1000.0000.2620.54300.900,,,Purchased Repair,,,"$45,998.89",,"$61,771.45","$32,399.53",,"$38,000.00",,"$40,050.00","$2,050.00",,5.39
,1000.0000.2620.55800.900,,Travel,,,,"$2,592.53",,"$3,518.13","$2,622.20",,"$5,000.00",,"$3,000.00","($2,000.00)",,(40.00)
,1000.0000.2620.56000.900,,,Supplies,,,"$43,156.22",,"$59,673.24","$46,461.94",,"$55,787.00",,"$54,940.00",($847.00),,(1.52)
,1000.0000.2620.57300.900,,,Equipment,,,$880.22,,"$11,215.01","$8,944.98",,"$37,000.00",,"$37,000.00",,$0.00,0.00
,1000.0000.2620.58100.900,,Dues,& Fees,,,$0.00,,$0.00,$170.00,,$110.00,,$110.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$553,738.35","$566,018.17",,"$479,248.73",,"$730,382.00",,"$639,715.00",,"($90,667.00)",,(12.41)
Function:,,MAINTENANCE,OF BUILDINGS,- 2620,,"$553,738.35","$566,018.17",,"$479,248.73",,"$730,382.00",,"$639,715.00",,"($90,667.00)",,(12.41)
,1000.0000.2670.55900.900,,,Crossing Guards,,,$0.00,,$0.00,"$4,165.32",,"$1,400.00",,$0.00,"($1,400.00)",,(100.00)
Program:,OVERHEAD,- 0000,,,,$0.00,,$0.00,"$4,165.32",,"$1,400.00",,,$0.00,"($1,400.00)",,(100.00)
Function:,Safety,- 2670,,,,$0.00,,$0.00,"$4,165.32",,"$1,400.00",,,$0.00,"($1,400.00)",,(100.00)
,1000.0000.2680.58310.900,,,Prinicpal-Central,Office Purchase,,"$11,250.00",,"$11,250.00",,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2680.58320.900,,,Interest-Central,Office Purchase,,$843.75,,$281.25,,$0.00,,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$12,093.75",,"$11,531.25",,$0.00,,$0.00,,$0.00,$0.00,,0.00
Function:,CAPITAL,,ENHANCEMENT,& IMPROVEMENT,-,"$12,093.75",,"$11,531.25",,$0.00,,$0.00,,$0.00,$0.00,,0.00
2680,,,,,,,,,,,,,,,,,
,03/27/2024,,,,,,,,,,,,,,,77 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
,Article 9,Operations,&,Maintenance-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
,1000.0000.2690.54300.900,,Capital,Renewal/Track,Replacement,,"$35,000.00",,"$35,000.00","$35,000.00",,"$35,000.00",,$0.00,"($35,000.00)",,(100.00)
,1000.0000.2690.54500.900,,Capital,Renewal/Tennis,Courts,Replacement,$0.00,,"$30,000.00","$40,000.00",,"$40,000.00",,$0.00,"($40,000.00)",,(100.00)
,1000.0000.2690.58310.900,,Capital,Improvements,,,"$399,802.00",,"$442,330.00","$329,137.27",,"$400,000.00",,"$445,000.00","$45,000.00",,11.25
,Program:,OVERHEAD - 0000,,,,"$434,802.00","$507,330.00",,"$404,137.27",,"$475,000.00",,"$445,000.00",,"($30,000.00)",,(6.32)
,Function: CAPITAL,RENEWAL,&,RENOVATION,- 2690,"$434,802.00","$507,330.00",,"$404,137.27",,"$475,000.00",,"$445,000.00",,"($30,000.00)",,(6.32)
Cost,Center:,SYSTEM WIDE,- 900,,,"$1,001,100.55","$1,122,289.47",,"$898,292.51",,"$1,206,782.00",,"$1,084,715.00",,"($122,067.00)",,(10.12)
,1000.0000.2600.51180.941,,Support,Salary,,,$0.00,,$0.00,"$2,750.02",,"$7,110.00",,$0.00,"($7,110.00)",,(100.00)
,1000.0000.2600.52080.941,,Support,Benefits,,,$0.00,,$0.00,$906.57,,$450.00,,$0.00,($450.00),,(100.00)
,1000.0000.2600.52380.941,,,Custodian,Retirement,,$0.00,,$0.00,,$38.28,$380.00,,$0.00,($380.00),,(100.00)
,1000.0000.2600.54100.941,,,Water/Sewage,,,"$1,071.15",,$956.36,"$1,270.90",,"$1,500.00",,"$1,309.00",($191.00),,(12.73)
,1000.0000.2600.54300.941,,,Purchaed Repairs,,,"$1,603.84",,"$1,032.15","$11,377.89",,"$1,500.00",,"$2,550.00","$1,050.00",,70.00
,1000.0000.2600.55320.941,,,Telephone,,,"$4,601.41",,"$5,300.24","$5,804.02",,"$6,000.00",,"$5,978.00",,($22.00),(0.37)
,1000.0000.2600.56000.941,,,Supplies,,,$157.12,,"$1,080.78","$2,272.92",,"$1,500.00",,"$1,500.00",,$0.00,0.00
,1000.0000.2600.56011.941,,,Materials for,Repair,,$641.60,,$729.89,"$2,803.96",,"$3,000.00",,"$3,000.00",,$0.00,0.00
,1000.0000.2600.56013.941,,Major,Maintenance,,,"$8,561.00",,"$5,418.00",$159.31,,"$5,000.00",,"$5,000.00",,$0.00,0.00
,1000.0000.2600.56220.941,,,Electricity,,,"$2,775.08",,"$3,527.14","$4,596.47",,"$3,000.00",,"$3,000.00",,$0.00,0.00
,1000.0000.2600.56240.941,,Heating,Fuel,,,"$3,216.72",,"$4,369.77","$4,605.82",,"$5,900.00",,"$5,900.00",,$0.00,0.00
,Program:,OVERHEAD - 0000,,,,"$22,627.92",,"$22,414.33","$36,586.16",,"$35,340.00",,"$28,237.00",,"($7,103.00)",,(20.10)
,Function:,OPERATION OF,PLANT -,2600,,"$22,627.92",,"$22,414.33","$36,586.16",,"$35,340.00",,"$28,237.00",,"($7,103.00)",,(20.10)
Cost,Center:,CENTRAL,OFFICE - 941,,,"$22,627.92",,"$22,414.33","$36,586.16",,"$35,340.00",,"$28,237.00",,"($7,103.00)",,(20.10)
,03/27/2024,,,,,,,,,,,,,,,78 of 81,
