,,,,,,,,RSU No.,5,,,,,,,,
,Article 9,Operations,&,Maintenance-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
,1000.0000.2600.56011.040,,Material,Repair,,,"$1,859.19",,"$1,528.62","$5,281.83",,"$4,500.00",,"$4,900.00",,$400.00,8.89
,1000.0000.2600.56013.040,,Major,Maintenance,,,"$3,500.00",,"$6,555.00","$4,751.94",,"$5,000.00",,"$13,000.00","$8,000.00",,160.00
,1000.0000.2600.56050.040,,Furniture,& Equipment,- Non Instructional,MLS,$0.00,,"$5,594.47",,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.56220.040,,Electricity,,,,"$22,943.22",,"$27,522.43","$24,324.85",,"$18,773.00",,"$6,773.00","($12,000.00)",,(63.92)
,1000.0000.2600.56240.040,,Heating,Fuel,,,"$27,889.41",,"$34,594.86","$35,193.11",,"$41,500.00",,"$43,000.00","$1,500.00",,3.61
,Program:,OVERHEAD - 0000,,,,"$245,074.22","$375,330.27",,"$364,397.51",,"$462,091.00",,"$405,013.00",,"($57,078.00)",,(12.35)
,Function:,OPERATION OF,PLANT -,2600,,"$245,074.22","$375,330.27",,"$364,397.51",,"$462,091.00",,"$405,013.00",,"($57,078.00)",,(12.35)
Cost,Center:,MAST LANDING,- 040,,,"$245,074.22","$375,330.27",,"$364,397.51",,"$462,091.00",,"$405,013.00",,"($57,078.00)",,(12.35)
,1000.0000.2600.51180.050,,Custodian,Salaries,,,"$191,265.79",,"$160,641.30","$159,607.98",,"$244,475.00",,"$231,545.00","($12,930.00)",,(5.29)
,1000.0000.2600.52080.050,,Custodian,Benefits,,,"$54,202.41",,"$59,466.72","$60,531.88",,"$152,838.00",,"$104,599.00","($48,239.00)",,(31.56)
,1000.0000.2600.52380.050,,,Retirement,,,$0.00,,"$4,199.27","$3,107.40",,"$2,542.00",,"$11,577.00","$9,035.00",,355.43
,1000.0000.2600.54100.050,,,Water/Sewage,,,"$9,356.74",,"$11,648.56","$13,166.84",,"$13,000.00",,"$13,562.00",,$562.00,4.32
,1000.0000.2600.54300.050,,,Purchased Repair,,,"$51,401.85",,"$43,684.24","$63,112.33",,"$54,279.00",,"$53,675.00",($604.00),,(1.11)
