,,,,,RSU,No. 5,,,,,,,
FY27,Article,1 Regular,Instruction-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.1100.1000.52320.050,,,Retirement,"$3,380.49",,"$4,063.71","$4,478.51","$4,685.00","$2,149.00","($2,536.00)",,(54.13)
,1000.1100.1000.52330.050,,,Retirement,$448.26,,$554.92,$578.27,"$2,440.00","$1,585.00",,($855.00),(35.04)
,1000.1100.1000.53400.050,,,Purchased Professional,"$21,664.80","$22,955.17",,"$20,666.14","$21,688.00","$21,188.00",,($500.00),(2.31)
,1000.1100.1000.54300.050,,Copiers,Repair/Maint,"$6,566.37","$23,102.72",,"$9,473.86","$16,100.00","$16,100.00",,$0.00,0.00
,1000.1100.1000.54330.050,,Software,,"$5,705.67",,"$6,136.92","$3,760.67","$3,820.00","$3,620.00",,($200.00),(5.24)
,1000.1100.1000.55800.050,,Travel,,"$2,364.82",,"$2,364.03","$2,248.25","$3,500.00","$3,500.00",,$0.00,0.00
,1000.1100.1000.56100.050,,,Instructional Supplies,"$43,581.32","$43,131.14",,"$36,951.30","$43,313.00","$66,369.00","$23,056.00",,53.23
,1000.1100.1000.56110.050,,,"Equipment & Furniture,",$0.00,,$0.00,$0.00,"$22,782.00","$21,750.00","($1,032.00)",,(4.53)
,,,,Instructional,,,,,,,,,
,1000.1100.1000.56400.050,,Books,,"$9,537.62","$11,999.66",,"$11,957.00","$13,200.00","$13,200.00",,$0.00,0.00
,1000.1100.1000.57300.050,,,Equipment,"$18,474.45","$21,454.06",,"$21,058.36",$0.00,$0.00,,$0.00,0.00
,1000.1100.1000.58100.050,,Dues,& Fees,"$1,465.74",,"$2,110.73","$1,034.91","$2,120.00","$2,120.00",,$0.00,0.00
,Program:,ELEMENTARY PROGRAMS,- 1100,,"$2,500,474.73","$2,736,487.22",,"$2,895,432.51","$3,120,759.00","$3,174,928.00","$54,169.00",,1.74
,1000.4200.1000.53000.050,,JMG,,"$25,000.00","$27,000.00",,"$27,000.00","$27,000.00","$27,000.00",,$0.00,0.00
