,,,,,RSU,No. 5,,,,,,,
FY27,Article,9 Operations,&,Maintenance- Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2600.51180.050,,,Custodian Salaries,"$159,607.98","$218,450.42",,"$175,400.21","$245,456.00","$246,731.00",,"$1,275.00",0.52
,1000.0000.2600.52080.050,,,Custodian Benefits,"$60,531.88","$141,292.60",,"$56,452.90","$106,699.00","$134,482.00","$27,783.00",,26.04
,1000.0000.2600.52380.050,,,Retirement,"$3,107.40",,"$2,623.77","$2,909.91","$12,273.00","$13,323.00",,"$1,050.00",8.56
,1000.0000.2600.53000.050,,,Purchased Professional,$0.00,,$0.00,$0.00,$118.00,$118.00,,$0.00,0.00
,1000.0000.2600.53300.050,,,Employee Training,$0.00,,$0.00,$0.00,$125.00,$125.00,,$0.00,0.00
,1000.0000.2600.54100.050,,,Water/Sewage,"$12,551.51","$11,488.82",,"$13,481.94","$13,167.00","$13,167.00",,$0.00,0.00
,1000.0000.2600.54300.050,,,Purchased Repair,"$61,691.90","$81,041.98",,"$52,319.60","$57,081.00","$67,118.00","$10,037.00",,17.58
,1000.0000.2600.55200.050,,,Insurance,"$14,297.09","$20,520.21",,"$18,897.00","$20,787.00","$20,787.00",,$0.00,0.00
,1000.0000.2600.55320.050,,,Telephone,"$8,916.28","$10,914.77",,"$9,123.88","$9,183.00","$9,398.00",,$215.00,2.34
,1000.0000.2600.55800.050,,,Travel,$0.00,,$45.56,$35.50,$15.00,$15.00,,$0.00,0.00
,1000.0000.2600.56000.050,,,Supplies,"$25,762.34","$25,078.44",,"$14,746.40","$22,525.00","$23,766.00",,"$1,241.00",5.51
,1000.0000.2600.56011.050,,,Materials for Repair,"$4,258.57",,"$1,946.18","$4,167.99","$6,950.00","$6,950.00",,$0.00,0.00
,1000.0000.2600.56013.050,,,Major Maintenance,$118.00,,"$4,602.40","$35,314.99","$24,329.00","$24,800.00",,$471.00,1.94
,1000.0000.2600.56050.050,,,Furniture & Equipment -,"$1,513.85",,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,Non Instructional FMS,,,,,,,,,
,1000.0000.2600.56220.050,,,Electricity,"$25,924.67","$26,124.10",,"$31,113.60","$14,000.00","$14,000.00",,$0.00,0.00
,1000.0000.2600.56240.050,,,Heating Fuel,"$47,859.21","$53,610.39",,"$65,791.60","$50,000.00","$67,000.00","$17,000.00",,34.00
,Program: OVERHEAD,- 0000,,,"$426,140.68","$597,739.64",,"$479,755.52","$582,708.00","$641,780.00","$59,072.00",,10.14
,Function: OPERATION,OF PLANT,- 2600,,"$426,140.68","$597,739.64",,"$479,755.52","$582,708.00","$641,780.00","$59,072.00",,10.14
Cost,Center:,FREEPORT MIDDLE,SCHOOL,- 050,"$426,140.68","$597,739.64",,"$479,755.52","$582,708.00","$641,780.00","$59,072.00",,10.14
,,,,,Page,82 of 89,,,,,,,
