,,,,RSU,No. 5,,,,,,,,
Article 1,Regular,Instruction- Adopted,,,,,,,,,,,
From Date:,7/1/2023,To Date: 6/30/2024,Definition:,FY25,Adopted,,,,,,,,
,,,,,,,,,,FY25,,Dollar,Percent
,,,FY21 Actual,,FY22,Actual,FY23 Actual,FY24,Adopted,,Difference,,Difference
,,,,,,,,,,Adopted,,,
Account,,Description,,,,,,,,,,,
1000.1200.1000.51010.300,,Teacher Salaries,"$2,941,303.20",,"$2,877,812.11",,"$2,977,757.08",,"$3,157,132.00","$3,227,461.00","$70,329.00",,2.23
1000.1200.1000.51020.300,,Ed Tech Salaries,"$168,633.52",,"$101,930.34",,"$111,030.66",,"$96,274.00","$119,774.00","$23,500.00",,24.41
1000.1200.1000.51230.300,,Substitute Wages,"$46,359.25",,"$58,146.50",,"$61,140.04",,"$60,000.00","$66,900.00","$6,900.00",,11.50
1000.1200.1000.51500.300,,Stipends,"$3,173.07",,,$648.00,$674.06,,$0.00,"$4,066.00","$4,066.00",,0.00
1000.1200.1000.52000.300,,Stipend Benefits,,$1.18,,$10.79,,$24.08,$0.00,$0.00,,$0.00,0.00
1000.1200.1000.52010.300,,Teacher Benefits,"$173,760.03",,"$637,573.45",,"$616,620.08",,"$724,910.00","$1,071,907.00","$346,997.00",,47.87
1000.1200.1000.52020.300,,Ed Tech Benefits,"$24,878.49",,"$32,585.31",,"$24,641.34",,"$31,867.00","$36,124.00","$4,257.00",,13.36
1000.1200.1000.52030.300,,Substitute Benefits,$157.34,,,"$3,701.89","$3,695.22",,"$3,498.00",$450.00,"($3,048.00)",,(87.14)
1000.1200.1000.52300.300,,Retirement,,$0.00,,$24.89,,$25.88,$300.00,$0.00,($300.00),,(100.00)
1000.1200.1000.52310.300,,Retirement,"$27,685.15",,"$89,261.59",,"$113,708.87",,"$141,324.00","$154,235.00","$12,911.00",,9.14
1000.1200.1000.52320.300,,Retirement,$981.65,,,"$3,914.27","$4,270.58",,"$4,531.00","$5,354.00",,$823.00,18.16
1000.1200.1000.52330.300,,Retirement,$35.57,,,"$1,360.27",$656.40,,"$2,496.00",$450.00,"($2,046.00)",,(81.97)
1000.1200.1000.53000.300,,School Resource Officer,"$32,966.40",,"$32,666.40",,"$34,000.00",,"$35,000.00","$39,000.00","$4,000.00",,11.43
1000.1200.1000.53400.300,,Purchased Professional Services,"$33,713.99",,"$19,336.71",,"$44,601.39",,"$54,637.00","$56,589.00","$1,952.00",,3.57
1000.1200.1000.54300.300,,Copier Repair/Maint,"$37,944.50",,"$29,157.37",,"$40,597.85",,"$40,000.00","$40,000.00",,$0.00,0.00
1000.1200.1000.54330.300,,Software,,$0.00,,$0.00,,$0.00,$200.00,$200.00,,$0.00,0.00
1000.1200.1000.55630.300,,Secondary Tuition Paid To Private,"School $18,000.00",,,$0.00,,$0.00,$0.00,$0.00,,$0.00,0.00
1000.1200.1000.55800.300,,Travel,,$0.00,,$603.42,"$1,398.90",,"$1,000.00","$1,500.00",,$500.00,50.00
1000.1200.1000.56000.300,,Supplies High School,,$0.00,,$41.99,,$0.00,$0.00,$0.00,,$0.00,0.00
1000.1200.1000.56100.300,,Instructional Supplies High School,"$49,191.50",,"$73,915.74",,"$55,902.35",,"$57,380.00","$54,155.00","($3,225.00)",,(5.62)
1000.1200.1000.56400.300,,Books High School,"$19,267.79",,"$26,004.54",,"$8,330.58",,"$8,503.00","$14,050.00","$5,547.00",,65.24
1000.1200.1000.57300.300,,Equipment High School,"$19,587.15",,"$15,791.45",,"$17,646.45",,"$16,499.00","$8,466.00","($8,033.00)",,(48.69)
1000.1200.1000.58100.300,,Dues and Fees,,$0.00,,$0.00,$215.00,,"$1,414.00","$1,264.00",($150.00),,(10.61)
1000.1200.1000.58900.300,,Regular Instruction Miscellaneous,Expenditures,$0.00,,$404.00,,$0.00,$0.00,$0.00,,$0.00,0.00
Program:,SECONDARY PROGRAMS,- 1200,"$3,597,639.78","$4,004,891.03",,"$4,116,936.81",,"$4,436,965.00","$4,901,945.00",,"$464,980.00",,10.48
,03/27/2024,,,,,,,,,,,10 of 81,
