,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,and Staff,Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,To,Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,,
,1000.0000.2240.53000.900,,Purchased,Professional - Assessment,"$4,762.50","$3,750.00",,,"$3,750.00","$3,875.00",$750.00,"($3,125.00)",(80.65)
,Program:,OVERHEAD - 0000,,,"$4,762.50","$3,750.00",,,"$3,750.00","$3,875.00",$750.00,"($3,125.00)",(80.65)
,Function:,ACADEMIC STUDENT,ASSESSMENT,- 2240,"$4,762.50","$3,750.00",,,"$3,750.00","$3,875.00",$750.00,"($3,125.00)",(80.65)
Cost,Center:,SYSTEM WIDE,- 900,,"$625,629.71","$974,534.91",,"$882,290.48",,"$1,051,485.00","$1,335,815.00","$284,330.00",27.04
,1000.0000.2213.51010.950,,K-8 HONORARIUM,,$59.92,"$23,253.95",,,"$4,449.37","$17,010.00","$16,220.00",($790.00),(4.64)
,1000.0000.2213.51500.950,,New Educator,Mentors K-8,"$127,809.75","$8,904.00",,"$13,470.00",,"$23,265.00","$30,231.00","$6,966.00",29.94
,1000.0000.2213.52000.950,,Stipend Benefits,- K-8,$79.34,,$333.48,,"$1,695.77","$1,919.00",$539.00,"($1,380.00)",(71.91)
,1000.0000.2213.52010.950,,K-8 HONORARIUM,BENEFITS,$0.00,"$11,243.54",,,$79.44,$750.00,$825.00,$75.00,10.00
,1000.0000.2213.52300.950,,Stipend,Retirement - K-8,$4.99,,$350.68,,$517.39,"$1,597.00","$1,425.00",($172.00),(10.77)
,1000.0000.2213.52310.950,,K-8 HONORARIUM,RETIREMENT,$0.00,,$958.94,,$30.59,$624.00,$725.00,$101.00,16.19
,1000.0000.2213.52510.950,,Tuition,Reimbursement-Prof,"$53,435.40","$62,144.08",,"$76,856.27",,"$50,400.00","$58,000.00","$7,600.00",15.08
,1000.0000.2213.52520.950,,Tuition,Reimbursement-Support,"$2,289.60",,$0.00,,"$2,786.00","$1,300.00","$1,500.00",$200.00,15.38
,1000.0000.2213.53000.950,,K-8 Purchased,Professional,"$51,815.55","$34,268.00",,"$46,072.00",,"$49,900.00","$51,100.00","$1,200.00",2.40
,1000.0000.2213.55810.950,,Travel,,($168.12),,$0.00,,$0.00,$250.00,$250.00,$0.00,0.00
,1000.0000.2213.56000.950,,Supplies,,$0.00,,$143.60,,$0.00,"$1,150.00",$350.00,($800.00),(69.57)
,1000.0000.2213.56400.950,,Books,,$28.00,,$0.00,,"$1,400.00","$1,400.00","$1,400.00",$0.00,0.00
,Program:,OVERHEAD - 0000,,,"$235,354.43","$141,600.27",,"$147,356.83",,"$149,565.00","$162,565.00","$13,000.00",8.69
,Function:,INSTRUCTIONAL,STAFF TRAINING,- 2213,"$235,354.43","$141,600.27",,"$147,356.83",,"$149,565.00","$162,565.00","$13,000.00",8.69
Cost,Center: K-8,- 950,,,"$235,354.43","$141,600.27",,"$147,356.83",,"$149,565.00","$162,565.00","$13,000.00",8.69
,03/13/2024,,,,,,,,,,,59,
,,,,,,RSU,No.,5,,,,,
,FY25 Article,5 Student,and,Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,To,Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2213.51500.990,,New,Educator Mentors 9-12,$0.00,,$0.00,,$0.00,"$10,176.00","$12,720.00","$2,544.00",25.00
,Program:,OVERHEAD - 0000,,,$0.00,,$0.00,,$0.00,"$10,176.00","$12,720.00","$2,544.00",25.00
,Function:,INSTRUCTIONAL,STAFF,TRAINING - 2213,$0.00,,$0.00,,$0.00,"$10,176.00","$12,720.00","$2,544.00",25.00
Cost,Center:,9-12 - 990,,,$0.00,,$0.00,,$0.00,"$10,176.00","$12,720.00","$2,544.00",25.00
Grand,Total:,,,,"$2,716,070.25","$3,450,356.55",,"$3,381,463.44",,"$3,867,554.00","$4,371,246.00","$503,692.00",13.02
,,,,,,End,of Report,,,,,,
,03/13/2024,,,,,,,,,,,60,
