,,,,,RSU,No.,5,,,,,
FY25,Article,9,Operations & Maintenance-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2690.54300.900,,Capital Renewal/Track,"Replacement $35,000.00","$35,000.00",,"$35,000.00",,"$35,000.00",$0.00,"($35,000.00)",(100.00)
,1000.0000.2690.54500.900,,Capital Renewal/Tennis,Courts Replacement$0.00,"$30,000.00",,"$40,000.00",,"$40,000.00",$0.00,"($40,000.00)",(100.00)
,1000.0000.2690.58310.900,,Capital Improvements,"$399,802.00","$442,330.00",,"$329,137.27",,"$400,000.00","$445,000.00","$45,000.00",11.25
,Program:,OVERHEAD - 0000,,"$434,802.00","$507,330.00",,"$404,137.27",,"$475,000.00","$445,000.00","($30,000.00)",(6.32)
,Function: CAPITAL,RENEWAL,& RENOVATION - 2690,"$434,802.00","$507,330.00",,"$404,137.27",,"$475,000.00","$445,000.00","($30,000.00)",(6.32)
Cost,Center:,SYSTEM WIDE,- 900,"$1,001,100.55","$1,122,289.47",,"$898,292.51",,"$1,206,782.00","$1,084,715.00","($122,067.00)",(10.12)
,1000.0000.2600.51180.941,,Support Salary,$0.00,,$0.00,,"$2,750.02","$7,110.00",$0.00,"($7,110.00)",(100.00)
,1000.0000.2600.52080.941,,Support Benefits,$0.00,,$0.00,,$906.57,$450.00,$0.00,($450.00),(100.00)
,1000.0000.2600.52380.941,,Custodian Retirement,$0.00,,$0.00,,$38.28,$380.00,$0.00,($380.00),(100.00)
,1000.0000.2600.54100.941,,Water/Sewage,"$1,071.15",,$956.36,,"$1,270.90","$1,500.00","$1,309.00",($191.00),(12.73)
,1000.0000.2600.54300.941,,Purchaed Repairs,"$1,603.84","$1,032.15",,"$11,377.89",,"$1,500.00","$2,550.00","$1,050.00",70.00
,1000.0000.2600.55320.941,,Telephone,"$4,601.41","$5,300.24",,,"$5,804.02","$6,000.00","$5,978.00",($22.00),(0.37)
,1000.0000.2600.56000.941,,Supplies,$157.12,"$1,080.78",,,"$2,272.92","$1,500.00","$1,500.00",$0.00,0.00
,1000.0000.2600.56011.941,,Materials for Repair,$641.60,,$729.89,,"$2,803.96","$3,000.00","$3,000.00",$0.00,0.00
,1000.0000.2600.56013.941,,Major Maintenance,"$8,561.00","$5,418.00",,,$159.31,"$5,000.00","$5,000.00",$0.00,0.00
,1000.0000.2600.56220.941,,Electricity,"$2,775.08","$3,527.14",,,"$4,596.47","$3,000.00","$3,000.00",$0.00,0.00
,1000.0000.2600.56240.941,,Heating Fuel,"$3,216.72","$4,369.77",,,"$4,605.82","$5,900.00","$5,900.00",$0.00,0.00
,Program:,OVERHEAD - 0000,,"$22,627.92","$22,414.33",,"$36,586.16",,"$35,340.00","$28,237.00","($7,103.00)",(20.10)
,Function:,OPERATION OF,PLANT - 2600,"$22,627.92","$22,414.33",,"$36,586.16",,"$35,340.00","$28,237.00","($7,103.00)",(20.10)
Cost,Center:,CENTRAL OFFICE,- 941,"$22,627.92","$22,414.33",,"$36,586.16",,"$35,340.00","$28,237.00","($7,103.00)",(20.10)
,03/13/2024,,,,,,,,,,78,
