,,,,,,,RSU,No.,5,,,,,
FY25,Article,2 Special,Education-,,Proposed,,,,,,,,,
From,Date:,3/1/2024,To,Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,FY21,Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,,
,1000.2100.1000.51210.300,,Tutor Salaries/ESY,,,$0.00,,$999.00,,$471.00,"$5,000.00","$5,000.00",$0.00,0.00
,1000.2100.1000.52010.300,,Benefits,,,$0.00,,$0.00,,$29.69,$250.00,$0.00,($250.00),(100.00)
,1000.2100.1000.52030.300,,Tutor Benefits,,,$0.00,,$0.00,,$0.00,$198.00,$0.00,($198.00),(100.00)
,1000.2100.1000.52310.300,,Retirement,,,$0.00,,$0.00,,$56.44,$0.00,$0.00,$0.00,0.00
,1000.2100.1000.53440.300,,Purchased,Professional,,$344.00,,$0.00,,$610.00,"$1,000.00","$1,250.00",$250.00,25.00
Program:,REGULAR,CLASSROOM,PLACEMENT,- 2100,,$344.00,,$999.00,,"$1,167.13","$6,448.00","$6,250.00",($198.00),(3.07)
,1000.2200.1000.51010.300,,Teacher,Salaries,,"$188,250.41","$149,407.92",,"$146,732.73",,"$153,863.00","$153,863.00",$0.00,0.00
,1000.2200.1000.51020.300,,Ed Tech,Salaries,,"$31,094.72","$30,011.59",,"$48,180.49",,"$102,961.00","$65,572.00","($37,389.00)",(36.31)
,1000.2200.1000.52010.300,,Teacher,Benefits,,"$12,371.36","$43,997.73",,"$36,941.79",,"$46,771.00","$64,234.00","$17,463.00",37.34
,1000.2200.1000.52020.300,,Ed Tech,Benefits,,"$1,253.39","$13,272.63",,"$18,522.68",,"$55,395.00","$25,443.00","($29,952.00)",(54.07)
,1000.2200.1000.52310.300,,Retirement,,,"$1,819.69","$5,929.75",,,"$5,634.71","$6,877.00","$7,455.00",$578.00,8.40
,1000.2200.1000.52320.300,,Retirement,,,$331.76,"$1,152.40",,,"$1,855.16","$4,925.00","$2,931.00","($1,994.00)",(40.49)
Program:,,RESOURCE,CLASSROOM,PLACEMENT -,2200,"$235,121.33","$243,772.02",,"$257,867.56",,"$370,792.00","$319,498.00","($51,294.00)",(13.83)
,1000.2300.1000.51010.300,,Teacher,Salaries,,"$149,707.68","$135,427.64",,"$142,287.71",,"$149,867.00","$120,710.00","($29,157.00)",(19.46)
,1000.2300.1000.51020.300,,Ed Tech,Salaries,,"$128,660.03","$114,018.15",,"$68,262.27",,"$49,136.00","$145,841.00","$96,705.00",196.81
,1000.2300.1000.52010.300,,Teacher,Benefits,,"$8,373.35","$25,502.80",,"$24,506.18",,"$32,357.00","$36,977.00","$4,620.00",14.28
,1000.2300.1000.52020.300,,Ed Tech,Benefits,,"$8,284.41","$26,139.90",,"$18,768.20",,"$16,022.00","$60,183.00","$44,161.00",275.63
,1000.2300.1000.52310.300,,Retirement,,,"$1,400.46","$5,200.34",,,"$5,463.87","$6,699.00","$5,954.00",($745.00),(11.12)
