,,,,,,,RSU,No.,5,,,,,
Article 4,Other,Instruction,- Proposed,,,,,,,,,,,
From Date:,3/22/2023,,To Date:,3/22/2023,,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,,
1000.4300.1000.51210.300,,Summer,School,Tutor Wages -,FHS,$0.00,,$0.00,,"$5,580.00",$0.00,$0.00,$0.00,0.00
1000.4300.1000.52010.300,,Summer,School,Teacher Benefits,- FHS,$0.00,,$0.00,,"$1,891.68",$0.00,$0.00,$0.00,0.00
1000.4300.1000.52310.300,,Summer,School,Teacher Retirement,- FHS,$0.00,,$0.00,,$140.54,$0.00,$0.00,$0.00,0.00
1000.9100.1000.51180.010,,Support,Wages -,DCS,,$0.00,,$0.00,,"$1,208.75",$0.00,$0.00,$0.00,0.00
1000.9100.1000.51500.010,,Stipends,,,,"$22,852.58","$26,116.20",,"$26,004.00",,"$26,112.00","$30,030.00","$3,918.00",15.00
1000.9100.1000.51500.020,,Stipends,Paid,,,$0.00,,$0.00,,"$1,272.00","$1,272.00","$1,272.00",$0.00,0.00
1000.9100.1000.51500.030,,Stipends,,,,"$8,070.92","$5,332.51",,,"$7,593.00","$3,815.00","$3,816.00",$1.00,0.03
1000.9100.1000.51500.040,,Stipends,,,,"$10,470.01","$11,035.99",,"$12,375.07",,"$9,798.00","$9,798.00",$0.00,0.00
1000.9100.1000.51500.050,,Stipends,,,,"$27,155.45","$22,327.67",,"$23,998.50",,"$33,250.00","$41,958.00","$8,708.00",26.19
1000.9100.1000.51500.950,,Stipends,Paid,,,$0.00,,$0.00,,$0.00,$0.00,"$1,272.00","$1,272.00",0.00
1000.9100.1000.52000.010,,Benefits,,,,$664.64,,$193.49,,"$1,716.17","$1,496.00","$1,762.00",$266.00,17.78
1000.9100.1000.52000.020,,Employee,Benefits,,,$0.00,,$0.00,,$31.21,$0.00,$30.00,$30.00,0.00
1000.9100.1000.52000.030,,Stipend,Benefits,,,$39.06,,$2.82,,$132.44,$396.00,$85.00,($311.00),(78.54)
1000.9100.1000.52000.040,,Stipend,Benefits,,,$91.33,,$5.01,,$779.03,$573.00,$633.00,$60.00,10.47
1000.9100.1000.52000.050,,Stipend,Benefits,,,$215.56,,$20.37,,"$1,045.47","$1,444.00","$1,721.00",$277.00,19.18
1000.9100.1000.52000.950,,Employee,Benefits,,,$0.00,,$0.00,,$0.00,$0.00,$30.00,$30.00,0.00
1000.9100.1000.52080.010,,Support,Benefits -,DCS,,$0.00,,$0.00,,$23.21,$0.00,$0.00,$0.00,0.00
1000.9100.1000.52300.010,,,Retirement,,,$13.67,,$0.00,,$879.57,"$1,245.00","$1,321.00",$76.00,6.10
1000.9100.1000.52300.020,,,Retirement - Stipends,,,$0.00,,$0.00,,$48.88,$0.00,$57.00,$57.00,0.00
1000.9100.1000.52300.030,,MPERS,Employer,Contribution,,$0.00,,$0.00,,$294.86,$329.00,$171.00,($158.00),(48.02)
1000.9100.1000.52300.040,,,RETIREMENT,,,$13.83,,$0.00,,$339.46,$476.00,$438.00,($38.00),(7.98)
1000.9100.1000.52300.050,,,Retirement,,,$11.44,,$0.00,,$872.59,"$1,201.00","$1,876.00",$675.00,56.20
1000.9100.1000.52380.010,,,Retirement for,Regular Employees,,$0.00,,$0.00,,$46.30,$0.00,$0.00,$0.00,0.00
1000.9100.1000.56000.010,,Supplies,,,,$514.80,,$0.00,,$100.00,$750.00,"$1,250.00",$500.00,66.67
,03/22/2023,,,,,,,,,,,,Page 23,
