,,,,,,RSU,No.,5,,,,,,
Article,7 School,Administration-,,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2400.52080.030,Support,Benefits,,"$11,649.00",$0.00,"$11,649.00",,$0.00,$0.00,"$11,649.00",$0.00,"$11,649.00",100.00%
,1000.0000.2400.52340.030,Retirement,,,"$5,742.00",$0.00,"$5,742.00",,$222.96,$222.96,"$5,519.04",$0.00,"$5,519.04",96.12%
,1000.0000.2400.52380.030,Retirement,,,"$2,450.00",$0.00,"$2,450.00",,$0.00,$0.00,"$2,450.00",$0.00,"$2,450.00",100.00%
,1000.0000.2400.53400.030,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.030,Postage,,,$400.00,$0.00,,$400.00,$0.00,$0.00,$400.00,$0.00,$400.00,100.00%
,1000.0000.2400.55800.030,Travel,,,$470.00,$0.00,,$470.00,$0.00,$0.00,$470.00,$0.00,$470.00,100.00%
,1000.0000.2400.56000.030,Supplies,,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2400.56400.030,Admin,Books,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.0000.2400.58100.030,Dues &,Fees,,$275.00,$0.00,,$275.00,$0.00,$0.00,$275.00,$0.00,$275.00,100.00%
,,Program:,OVERHEAD,- 0000,"$228,423.00",$0.00,"$228,423.00",,"$6,130.26","$6,130.26","$222,292.74","$128,423.07","$93,869.67",41.09%
,Function:,SCHOOL,ADMINISTRATION,- 2400,"$228,423.00",$0.00,"$228,423.00",,"$6,130.26","$6,130.26","$222,292.74","$128,423.07","$93,869.67",41.09%
,Cost,Center: POWNAL,ELEMENTARY,- 030,"$228,423.00",$0.00,"$228,423.00",,"$6,130.26","$6,130.26","$222,292.74","$128,423.07","$93,869.67",41.09%
,1000.0000.2400.51040.040,Admin,Salaries,,"$255,449.00",$0.00,"$255,449.00",,$0.00,$0.00,"$255,449.00",$0.00,"$255,449.00",100.00%
,1000.0000.2400.51180.040,Support,Wages,,"$58,851.00",$0.00,"$58,851.00",,"$1,547.77","$1,547.77","$57,303.23","$60,080.27","($2,777.04)",-4.72%
,1000.0000.2400.52040.040,Admin,Benefits,,"$11,672.00",$0.00,"$11,672.00",,$23.08,$23.08,"$11,648.92",$576.92,"$11,072.00",94.86%
,1000.0000.2400.52080.040,Support,Benefits,,"$19,131.00",$0.00,"$19,131.00",,$509.30,$509.30,"$18,621.70",$0.00,"$18,621.70",97.34%
,1000.0000.2400.52340.040,Retirement,,,"$5,742.00",$0.00,"$5,742.00",,$0.00,$0.00,"$5,742.00",$0.00,"$5,742.00",100.00%
,1000.0000.2400.52380.040,Retirement,,,"$2,943.00",$0.00,"$2,943.00",,$77.39,$77.39,"$2,865.61",$0.00,"$2,865.61",97.37%
,1000.0000.2400.53400.040,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.040,Postage,,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.0000.2400.55800.040,Travel,,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2400.56000.040,Supplies,,,$250.00,$0.00,,$250.00,$0.00,$0.00,$250.00,$0.00,$250.00,100.00%
,1000.0000.2400.56400.040,Admin,Books,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,1000.0000.2400.58100.040,Dues &,Fees,,$739.00,$0.00,,$739.00,$0.00,$0.00,$739.00,$0.00,$739.00,100.00%
,,Program:,OVERHEAD,- 0000,"$356,917.00",$0.00,"$356,917.00",,"$2,157.54","$2,157.54","$354,759.46","$60,657.19","$294,102.27",82.40%
,Function:,SCHOOL,ADMINISTRATION,- 2400,"$356,917.00",$0.00,"$356,917.00",,"$2,157.54","$2,157.54","$354,759.46","$60,657.19","$294,102.27",82.40%
,,Cost Center:,MAST LANDING,- 040,"$356,917.00",$0.00,"$356,917.00",,"$2,157.54","$2,157.54","$354,759.46","$60,657.19","$294,102.27",82.40%
,1000.0000.2400.51040.050,Admin,Salaries,,"$236,686.00",$0.00,"$236,686.00",,"$3,830.08","$3,830.08","$232,855.92","$95,751.92","$137,104.00",57.93%
,1000.0000.2400.51180.050,Support,Wages,,"$74,964.00",$0.00,"$74,964.00",,"$2,732.00","$2,732.00","$72,232.00","$123,317.68","($51,085.68)",-68.15%
,1000.0000.2400.52040.050,Admin,Benefits,,"$59,442.00",$0.00,"$59,442.00",,$769.75,$769.75,"$58,672.25",$0.00,"$58,672.25",98.71%
,1000.0000.2400.52080.050,Support,Benefits,,"$27,655.00",$0.00,"$27,655.00",,$336.22,$336.22,"$27,318.78",$0.00,"$27,318.78",98.78%
,1000.0000.2400.52340.050,Retirement,,,"$10,270.00",$0.00,"$10,270.00",,$171.21,$171.21,"$10,098.79",$0.00,"$10,098.79",98.33%
,,,,,,Page,36 of,44,,,,,,
