,,,,,,RSU,No.,5,,,,,
,Article 4,Other Instruction,- -,Adopted,,,,,,,,,
From,Date:,7/1/2022,To Date:,6/30/2023,Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,,,FY23,Adopted,,
,Account,,Description,,,,,,,,,,
,1000.9600.1000.52080.300,,Support Beneifts,,$0,,$0,,$0,"$3,404","$2,121","($1,283)",(37.70)
,1000.9600.1000.52300.300,,Retirement,,$589,,$248,,$116,"$7,061","$6,855",($206),(2.92)
,1000.9600.1000.52330.300,,Retirement,,$0,,$62,,$0,$0,$0,$0,0.00
,1000.9600.1000.52340.300,,Retirement,,"$2,712",,"$3,364",,$0,"$3,075","$3,136",$61,2.00
,1000.9600.1000.53000.300,,Game Officials,,"$33,517",,"$23,030",,"$27,705","$44,226","$47,407","$3,181",7.19
,1000.9600.1000.55000.300,,Purchased,Services,"$25,789",,"$23,649",,"$28,007","$31,960","$58,718","$26,758",83.72
,1000.9600.1000.55800.300,,Travel,,"$1,277",,$863,,"$1,806","$1,270","$1,270",$0,0.00
,1000.9600.1000.56000.300,,Supplies,,"$38,613",,"$25,668",,"$45,471","$40,417","$41,838","$1,421",3.52
,1000.9600.1000.58100.300,,Dues and Fees,,"$32,805",,"$33,806",,"$34,853","$43,919","$46,969","$3,050",6.94
,1000.9600.2330.51010.300,,Athletic Director,Salary - FHS,$0,,$0,,$0,"$73,910","$75,387","$1,477",2.00
,1000.9600.2330.51180.300,,Athletic Office,Support Staff Wages -,FHS $0,,$0,,$0,"$23,831","$12,189","($11,642)",(48.85)
Grand,Total:,,,,"$772,831","$674,095",,,"$604,155","$902,452","$919,069","$16,617",1.84
,,,,,,End,of Report,,,,,,
