,,,,,,RSU,No.,5,,,,,
Article,2,Special,Education-,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.2200.1000.51010.010,,Teacher,Salaries,"$141,049.22","$197,594.07",,"$209,896.59",,"$232,037.00","$238,883.00","$6,846.00",2.95
,1000.2200.1000.51020.010,,Ed Tech,Salaries,"$71,661.69","$126,067.18",,"$141,182.89",,"$150,192.00","$100,053.00","($50,139.00)",(33.38)
,1000.2200.1000.52010.010,,Teacher,Benefits,"$36,075.21","$14,909.04",,"$46,189.23",,"$48,020.00","$64,849.00","$16,829.00",35.05
,1000.2200.1000.52020.010,,Ed Tech,Benefits,"$28,738.77","$8,519.97",,"$52,963.44",,"$54,442.00","$36,960.00","($17,482.00)",(32.11)
,1000.2200.1000.52310.010,,Retirement,,"$6,020.37","$1,809.42",,,"$8,406.56","$10,124.00","$10,678.00",$554.00,5.47
,1000.2200.1000.52320.010,,Retirement,,"$3,068.60",,$993.22,,"$4,650.72","$6,247.00","$4,786.00","($1,461.00)",(23.39)
Program:,,RESOURCE,CLASSROOM,PLACEMENT - 2200,"$286,613.86","$349,892.90",,"$463,289.43",,"$501,062.00","$456,209.00","($44,853.00)",(8.95)
,1000.2300.1000.51010.010,,Teacher,Salaries,"$51,548.12","$56,840.12",,"$46,596.63",,"$49,737.00","$53,255.00","$3,518.00",7.07
,1000.2300.1000.51020.010,,Ed Tech,Salaries,"$92,140.17","$123,583.26",,"$112,288.01",,"$107,718.00","$150,225.00","$42,507.00",39.46
,1000.2300.1000.52010.010,,Teacher,Benefits,"$14,686.80","$3,290.43",,"$20,980.54",,"$21,391.00","$22,858.00","$1,467.00",6.86
,1000.2300.1000.52020.010,,Ed Tech,Benefits,"$26,830.71","$23,539.09",,"$30,853.33",,"$43,743.00","$90,024.00","$46,281.00",105.80
,1000.2300.1000.52310.010,,Retirement,,"$2,195.84",,$522.24,,"$1,789.27","$2,069.00","$2,381.00",$312.00,15.08
,1000.2300.1000.52320.010,,Retirement,,"$3,863.93",,$922.51,,"$4,229.85","$4,481.00","$7,185.00","$2,704.00",60.34
Program:,SELF,CONTAINED,CLASS,PLACEMENT - 2300,"$191,265.57","$208,697.65",,"$216,737.63",,"$229,139.00","$325,928.00","$96,789.00",42.24
Function:,REGULAR,INSTRUCTION,-,1000,"$477,879.43","$558,590.55",,"$680,027.06",,"$730,201.00","$782,137.00","$51,936.00",7.11
,1000.2800.2110.51010.010,,Social,Worker Salary,"$60,722.74","$62,472.01",,"$68,150.34",,"$72,464.00","$75,443.00","$2,979.00",4.11
,1000.2800.2110.52010.010,,Social,Worker Benefits,"$10,009.94","$2,212.77",,"$10,018.10",,"$10,511.00","$11,181.00",$670.00,6.37
,1000.2800.2110.52310.010,,Retirement,,"$2,526.16",,$614.40,,"$2,616.90","$3,014.00","$3,372.00",$358.00,11.88
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,"$73,258.84","$65,299.18",,"$80,785.34",,"$85,989.00","$89,996.00","$4,007.00",4.66
Function:,Attendance,& Social,Work -,2110,"$73,258.84","$65,299.18",,"$80,785.34",,"$85,989.00","$89,996.00","$4,007.00",4.66
,Page 14,of 80,,,,,,,,,,,
