,,,,,,RSU,No.,5,,,,,
Article,2,Special,Education-,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.2800.2160.52310.030,,Retirement,,$0.00,,$0.00,,$553.63,$871.00,$883.00,$12.00,1.38
,1000.2800.2160.55800.030,,Travel,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,$0.00,"$12,892.79",,"$18,010.46",,"$22,506.00","$25,936.00","$3,430.00",15.24
Function:,OT -,2160,,,$0.00,"$12,892.79",,"$18,010.46",,"$22,506.00","$25,936.00","$3,430.00",15.24
Cost,Center:,POWNAL,ELEMENTARY,- 030,"$324,591.19","$185,709.55",,"$170,491.69",,"$188,925.00","$200,912.00","$11,987.00",6.34
,1000.2200.1000.51010.040,,Teacher,Salaries,"$142,126.20","$147,450.44",,"$81,607.87",,"$81,983.00","$150,533.00","$68,550.00",83.61
,1000.2200.1000.51020.040,,Ed Tech,Salaries,"$1,415.13","$25,165.73",,"$83,804.99",,$0.00,"$46,253.00","$46,253.00",0.00
,1000.2200.1000.52010.040,,Teacher,Benefits,"$42,787.67","$9,258.66",,"$22,340.89",,"$22,116.00","$28,527.00","$6,411.00",28.99
,1000.2200.1000.52020.040,,Ed Tech,Benefits,$676.38,,$0.00,"$32,632.57",,$0.00,"$8,155.00","$8,155.00",0.00
,1000.2200.1000.52310.040,,Retirement,,"$5,959.96","$1,374.54",,,"$3,344.56","$3,410.00","$6,729.00","$3,319.00",97.33
,1000.2200.1000.52320.040,,Retirement,,$0.00,,$0.00,,"$3,044.02",$0.00,"$2,212.00","$2,212.00",0.00
Program:,,RESOURCE,CLASSROOM,PLACEMENT - 2200,"$192,965.34","$183,249.37",,"$226,774.90",,"$107,509.00","$242,409.00","$134,900.00",125.48
,1000.2300.1000.51010.040,,Teacher,Salaries,$0.00,,$0.00,"$119,743.55",,"$122,293.00","$67,014.00","($55,279.00)",(45.20)
,1000.2300.1000.51020.040,,Ed Tech,Salaries,$0.00,,$0.00,"$49,056.05",,"$140,033.00","$51,660.00","($88,373.00)",(63.11)
,1000.2300.1000.52010.040,,Teacher,Benefits,$0.00,,$0.00,"$10,875.05",,"$15,132.00","$10,994.00","($4,138.00)",(27.35)
,1000.2300.1000.52020.040,,Ed Tech,Benefits,$0.00,,$0.00,,"$8,805.75","$59,873.00","$34,229.00","($25,644.00)",(42.83)
,1000.2300.1000.52310.040,,Retirement,,$0.00,,$0.00,,"$4,598.23","$5,087.00","$2,996.00","($2,091.00)",(41.10)
,1000.2300.1000.52320.040,,Retirement,,$0.00,,$0.00,,"$1,973.64","$5,825.00","$2,471.00","($3,354.00)",(57.58)
Program:,SELF,CONTAINED,CLASS,PLACEMENT - 2300,$0.00,,$0.00,"$195,052.27",,"$348,243.00","$169,364.00","($178,879.00)",(51.37)
Function:,REGULAR,INSTRUCTION,-,1000,"$192,965.34","$183,249.37",,"$421,827.17",,"$455,752.00","$411,773.00","($43,979.00)",(9.65)
,Page 20,of 80,,,,,,,,,,,
