,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2100.1000.51210.950,,Tutor Salaries/ESY,,"$18,000.00",$0.00,"$18,000.00",,$24.32,$24.32,"$17,975.68",$0.00,"$17,975.68",99.86%
,1000.2100.1000.52010.950,,Benefit,,$0.00,$0.00,,$0.00,$4.09,$4.09,($4.09),$0.00,($4.09),0.00%
,1000.2100.1000.52310.950,,Retirement,,$0.00,$0.00,,$0.00,$1.09,$1.09,($1.09),$0.00,($1.09),0.00%
,1000.2100.1000.53440.950,,Purchased Professional,,"$1,250.00",$0.00,"$1,250.00",,$0.00,$0.00,"$1,250.00",$0.00,"$1,250.00",100.00%
,Program:,REGULAR,CLASSROOM,PLACEMENT - 2100,"$19,250.00",$0.00,"$19,250.00",,$29.50,$29.50,"$19,220.50",$0.00,"$19,220.50",99.85%
,1000.2400.1000.53440.950,,Tutoring Services -,,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,,,Hospital/Homebound,ELEM,,,,,,,,,,
,,,Program: Homebound/Hospital,- 2400,"$5,000.00",$0.00,"$5,000.00",,$0.00,$0.00,"$5,000.00",$0.00,"$5,000.00",100.00%
,,Function:,REGULAR INSTRUCTION,- 1000,"$24,250.00",$0.00,"$24,250.00",,$29.50,$29.50,"$24,220.50",$0.00,"$24,220.50",99.88%
,1000.2800.2140.51010.950,,Psychological,Services Salary K-8,"$76,709.00",$0.00,"$76,709.00",,$0.00,$0.00,"$76,709.00","$45,643.51","$31,065.49",40.50%
,1000.2800.2140.52010.950,,Psych Services,Benefit,"$26,083.00",$0.00,"$26,083.00",,$0.00,$0.00,"$26,083.00",$0.00,"$26,083.00",100.00%
,1000.2800.2140.52310.950,,Retirement,,"$3,711.00",$0.00,"$3,711.00",,$0.00,$0.00,"$3,711.00",$0.00,"$3,711.00",100.00%
,,Program:,OTHER SPECIAL,PROGRAMS - 2800,"$106,503.00",$0.00,"$106,503.00",,$0.00,$0.00,"$106,503.00","$45,643.51","$60,859.49",57.14%
,,,Function: PSYCHOLOGICAL,- 2140,"$106,503.00",$0.00,"$106,503.00",,$0.00,$0.00,"$106,503.00","$45,643.51","$60,859.49",57.14%
