,,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,,and Staff,Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.0000.2213.52000.030,,,Stipend Benefits,- PES,$0.00,,$105.55,,$492.36,$0.00,$97.00,$97.00,0.00
,1000.0000.2213.52300.030,,,Stipend Retirement,- PES,$0.00,,$216.82,,$422.88,$0.00,$256.00,$256.00,0.00
Program:,OVERHEAD,- 0000,,,,$0.00,"$5,968.37",,,"$6,411.24","$6,021.00","$6,074.00",$53.00,0.88
Function:,,INSTRUCTIONAL,STAFF,TRAINING,- 2213,$0.00,"$5,968.37",,,"$6,411.24","$6,021.00","$6,074.00",$53.00,0.88
,1000.0000.2220.51010.030,,,Librarian Salaries,,"$24,662.53","$29,414.43",,"$33,016.46",,"$35,726.00","$38,654.00","$2,928.00",8.20
,1000.0000.2220.51020.030,,Ed,Tech Salaries,,"$25,741.74",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.52010.030,,,Librarian Benefits,,"$1,633.18","$2,380.49",,"$13,612.17",,"$8,525.00","$15,198.00","$6,673.00",78.28
,1000.0000.2220.52020.030,,Ed,Tech Benefits,,"$2,283.61",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.52310.030,,,Retirement,,($10.08),,$196.33,,"$1,300.42","$1,597.00","$1,872.00",$275.00,17.22
,1000.0000.2220.52320.030,,,Retirement,,$22.69,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.54330.030,,,Software,,"$1,042.50","$1,060.35",,,"$1,043.00","$1,129.00","$1,320.00",$191.00,16.92
,1000.0000.2220.56100.030,,,Instructional,Supplies,$150.10,,$32.25,,$221.42,$350.00,$350.00,$0.00,0.00
,1000.0000.2220.56400.030,,Books,& Periodicals,,"$4,218.09","$3,749.06",,,"$2,225.59","$2,663.00","$2,774.00",$111.00,4.17
Program:,OVERHEAD,- 0000,,,,"$59,744.36","$36,832.91",,"$51,419.06",,"$49,990.00","$60,168.00","$10,178.00",20.36
Function:,LIBRARY,SERVICES,- 2220,,,"$59,744.36","$36,832.91",,"$51,419.06",,"$49,990.00","$60,168.00","$10,178.00",20.36
,1000.0000.2230.51010.030,,,Teacher Salaries,,($956.06),,$60.00,,$375.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52000.030,,,Benefits,,"$3,220.83",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52010.030,,,Teacher Benefits,,$902.04,,$1.01,,$7.71,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52310.030,,,Retirement,,$141.62,,$2.30,,$14.41,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.54330.030,,,Software,,$0.00,,$96.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$3,308.43",,$159.31,,$397.12,$0.00,$0.00,$0.00,0.00
,03/13/2024,,,,,,,,,,,,47,
