,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.1120.1000.52310.020,,Retirement,"$9,459.58","$4,268.16",,"$13,002.36",,"$19,392.00","$20,912.00","$1,520.00",7.84
,1000.1120.1000.52320.020,,Retirement,$0.00,,$0.00,,"$2,387.06","$3,720.00","$2,498.00","($1,222.00)",(32.85)
Program:,K-2,INSTRUCTION,- 1120,"$312,963.10","$600,089.13",,"$527,061.33",,"$780,990.00","$641,411.00","($139,579.00)",(17.87)
Function:,REGULAR,INSTRUCTION,- 1000,"$1,744,394.47","$1,654,639.99",,"$2,020,485.94",,"$2,325,342.17","$2,303,264.00","($22,078.17)",(0.95)
Cost,Center: MORSE,STREET,- 020,"$1,744,394.47","$1,654,639.99",,"$2,020,485.94",,"$2,325,342.17","$2,303,264.00","($22,078.17)",(0.95)
,1000.1100.1000.51010.030,,Teacher Salaries,"$387,444.12","$560,957.21",,"$510,605.81",,"$556,315.00","$574,128.00","$17,813.00",3.20
,1000.1100.1000.51020.030,,Ed Tech Salaries,"$15,580.47","$31,525.17",,"$38,385.84",,"$54,294.00","$41,136.00","($13,158.00)",(24.23)
,1000.1100.1000.51230.030,,Sub Salaries,"$4,258.96","$34,679.32",,"$42,859.19",,"$30,000.00","$30,000.00",$0.00,0.00
,1000.1100.1000.51500.030,,Stipends,$0.00,,$0.00,,$0.00,"$4,710.00",$0.00,"($4,710.00)",(100.00)
,1000.1100.1000.52000.030,,Stipend Benefits,$0.00,,$0.00,,$0.00,$89.00,$0.00,($89.00),(100.00)
,1000.1100.1000.52010.030,,Teacher Benefits,"$110,243.61","$33,104.35",,"$136,480.43",,"$156,866.00","$119,785.00","($37,081.00)",(23.64)
,1000.1100.1000.52020.030,,Ed Tech Benefits,"$6,644.38","$6,007.90",,,"$1,321.08","$13,349.00","$10,701.00","($2,648.00)",(19.84)
,1000.1100.1000.52030.030,,Sub Benefits,$176.93,,$4.98,,"$1,925.69",$585.00,$585.00,$0.00,0.00
,1000.1100.1000.52300.030,,Retirement,$0.00,,$0.00,,$0.00,$190.00,$0.00,($190.00),(100.00)
,1000.1100.1000.52310.030,,Retirement,"$15,341.89","$3,863.87",,"$20,451.70",,"$23,524.00","$25,664.00","$2,140.00",9.10
,1000.1100.1000.52320.030,,Retirement,$669.81,,$88.75,,"$1,491.33","$2,258.00","$1,968.00",($290.00),(12.84)
,1000.1100.1000.52330.030,,Retirement,$141.09,,$10.16,,$907.43,"$1,248.00","$1,248.00",$0.00,0.00
,1000.1100.1000.53400.030,,Professional Services,"$6,772.02","$3,186.32",,,"$6,470.10","$8,784.80","$10,000.00","$1,215.20",13.83
,1000.1100.1000.54300.030,,Copiers Repairs/Maint,"$1,980.35","$2,617.20",,,"$4,494.10","$8,168.00","$9,700.00","$1,532.00",18.76
,1000.1100.1000.54330.030,,Software,$0.00,,$96.00,,$0.00,"$5,853.00","$5,831.00",($22.00),(0.38)
,1000.1100.1000.55800.030,,Travel,"$1,108.72",,$701.18,,$963.05,"$1,100.00","$1,100.00",$0.00,0.00
,Page 5,of 80,,,,,,,,,,
