,,,,,RSU,No. 5,,,,,,,
FY27,Article,7 School,,Administration- Proposed,,,,,,,,,
From,Date:,7/1/2026,,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2400.55800.040,,,Travel,$22.50,,$100.50,$50.00,$300.00,$300.00,,$0.00,0.00
,1000.0000.2400.56000.040,,,Supplies,$249.72,,$190.00,$16.38,$250.00,$250.00,,$0.00,0.00
,1000.0000.2400.56400.040,,,Admin Books,$0.00,,$0.00,$97.38,$100.00,$100.00,,$0.00,0.00
,1000.0000.2400.58100.040,,,Dues & Fees,$340.00,,$340.00,$680.00,"$1,278.00",$680.00,,($598.00),(46.79)
,Program:,OVERHEAD -,0000,,"$210,799.40","$74,922.38",,"$336,418.59","$375,069.00","$400,206.00","$25,137.00",,6.70
,Function: SCHOOL,,ADMINISTRATION -,2400,"$210,799.40","$74,922.38",,"$336,418.59","$375,069.00","$400,206.00","$25,137.00",,6.70
Cost,Center:,MAST LANDING,- 040,,"$210,799.40","$74,922.38",,"$336,418.59","$375,069.00","$400,206.00","$25,137.00",,6.70
,1000.0000.2400.51040.050,,,Admin Salaries,"$216,645.70","$242,007.19",,"$205,884.86","$252,681.00","$266,580.00","$13,899.00",,5.50
,1000.0000.2400.51180.050,,,Support Wages,"$76,650.07","$119,082.22",,"$80,199.41","$87,484.00","$70,888.00","($16,596.00)",,(18.97)
,1000.0000.2400.52040.050,,,Admin Benefits,"$40,576.97","$40,205.23",,"$52,357.77","$69,374.00","$79,643.00","$10,269.00",,14.80
,1000.0000.2400.52080.050,,,Support Benefits,"$23,272.81","$26,733.52",,"$16,313.76","$23,294.00","$23,259.00",,($35.00),(0.15)
,1000.0000.2400.52340.050,,,Retirement,"$8,273.10","$10,764.16",,"$9,185.88","$11,295.00","$11,916.00",,$621.00,5.50
,1000.0000.2400.52380.050,,,Retirement,"$3,794.39",,"$4,609.38","$2,330.22","$4,374.00","$3,802.00",,($572.00),(13.08)
,1000.0000.2400.53400.050,,,Other Professional Services,$0.00,,$0.00,$0.00,$240.00,$240.00,,$0.00,0.00
