,,,,,,,,RSU,No.,5,,,,,
Article 5,Student and,Staff,,Support,- -,Adopted,,,,,,,,,
From Date:,3/22/2023,,To,Date:,,3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,,Percentage
,,,,,,FY20,Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,Difference
,,,,,,,,,,,,FY24,Adopted,,
Account,,,Description,,,,,,,,,,,,
1000.0000.2110.51010.010,,Social,Worker,Salaries,,,$0.00,,$0.00,,$0.00,$0.00,"$35,000.00","$35,000.00",0.00
1000.0000.2110.51010.020,,Social,Worker,Salaries,,,$0.00,,$0.00,,$0.00,$0.00,"$21,853.00","$21,853.00",0.00
1000.0000.2110.51010.040,,Social,Worker,Salaries,,,$0.00,,$0.00,,$0.00,$0.00,"$21,853.00","$21,853.00",0.00
1000.0000.2110.51010.050,,Social,Worker,Salaries,,,$0.00,,$0.00,,$0.00,$0.00,"$43,851.00","$43,851.00",0.00
1000.0000.2110.51010.300,,,Teachers,Salaries,,,$0.00,"$21,703.06",,,$90.00,$0.00,"$84,853.00","$84,853.00",0.00
1000.0000.2110.51500.300,,,Student,Support,Team (SST),Stipends,$0.00,,$0.00,,"$6,510.00",$0.00,$0.00,$0.00,0.00
1000.0000.2110.52000.300,,,Student,Support,Team (SST),Stipend,Benefits$0.00,,$0.00,,$330.36,$0.00,$0.00,$0.00,0.00
1000.0000.2110.52010.010,,Social,Worker,Benefits,,,$0.00,,$0.00,,$0.00,$0.00,"$10,781.00","$10,781.00",0.00
1000.0000.2110.52010.020,,Social,Worker,Benefits,,,$0.00,,$0.00,,$0.00,$0.00,"$5,367.00","$5,367.00",0.00
1000.0000.2110.52010.040,,Social,Worker,Benefits,,,$0.00,,$0.00,,$0.00,$0.00,"$5,367.00","$5,367.00",0.00
1000.0000.2110.52010.050,,Social,Worker,Benefits,,,$0.00,,$0.00,,$0.00,$0.00,"$8,699.00","$8,699.00",0.00
1000.0000.2110.52010.300,,,Teacher,Benefits,,,$0.00,,$52.89,,"$4,600.48",$0.00,"$23,562.00","$23,562.00",0.00
1000.0000.2110.52300.300,,,Student,Support,Team (SST),Stipend,Retirem$en0t.00,,$0.00,,$270.20,$0.00,$0.00,$0.00,0.00
1000.0000.2110.52310.010,,Social,Worker,,Retirement,,$0.00,,$0.00,,$0.00,$0.00,"$1,565.00","$1,565.00",0.00
1000.0000.2110.52310.020,,Social,Worker,,Retirement,,$0.00,,$0.00,,$0.00,$0.00,$976.00,$976.00,0.00
1000.0000.2110.52310.040,,Social,Worker,,Retirement,,$0.00,,$0.00,,$0.00,$0.00,$976.00,$976.00,0.00
1000.0000.2110.52310.050,,Social,Worker,,Retirement,,$0.00,,$0.00,,$0.00,$0.00,"$1,960.00","$1,960.00",0.00
1000.0000.2110.52310.300,,,Retirement,,,,$0.00,,$232.65,,$3.46,$0.00,"$3,793.00","$3,793.00",0.00
1000.0000.2120.51010.010,,,Guidance,Salaries,,,"$58,967.74","$55,616.41",,"$97,478.35",,"$104,837.00","$149,369.00","$44,532.00",42.48
1000.0000.2120.51010.020,,,Guidance,Salaries,,,"$58,967.74","$87,743.97",,"$86,229.57",,"$91,031.00","$75,001.00","($16,030.00)",(17.61)
1000.0000.2120.51010.030,,,Guidance,Salaries,,,"$34,122.64","$30,496.55",,"$35,867.53",,"$37,346.00","$40,321.00","$2,975.00",7.97
1000.0000.2120.51010.040,,,Guidance,Salaries,,,"$64,189.58","$85,820.83",,"$94,959.68",,"$96,598.00","$82,324.00","($14,274.00)",(14.78)
1000.0000.2120.51010.050,,,Guidance,Salaries,,,"$74,875.00","$80,748.00",,"$79,211.62",,"$86,026.00","$89,503.00","$3,477.00",4.04
1000.0000.2120.51010.300,,,Counselor,Salaries,,,"$235,415.87","$257,571.17",,"$233,953.95",,"$296,319.00","$216,392.00","($79,927.00)",(26.97)
,03/22/2023,,,,,,,,,,,,,Page 27,
