,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,and,Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2220.51020.010,,Ed Tech,Salaries,"$5,649.06","$15,945.51",,"$12,125.11",,"$18,034.00","$19,165.00","$1,131.00",6.27
,1000.0000.2220.52010.010,,Librarian,Benefits,"$4,871.91","$21,325.03",,"$18,223.26",,"$23,470.00","$27,719.00","$4,249.00",18.10
,1000.0000.2220.52020.010,,Ed Tech,Salaries,"$2,023.45","$6,006.33",,,"$4,197.18","$10,963.00","$6,644.00","($4,319.00)",(39.40)
,1000.0000.2220.52310.010,,Retirement,,$652.80,,$503.63,,"$2,902.87","$3,609.00","$4,622.00","$1,013.00",28.07
,1000.0000.2220.52320.010,,Ed Tech,Retirement,$0.00,,$612.42,,$464.03,$864.00,$857.00,($7.00),(0.81)
,1000.0000.2220.54330.010,,Software,,"$1,042.50","$1,060.35",,,"$1,043.00","$1,129.00","$1,403.00",$274.00,24.27
,1000.0000.2220.56000.010,,Supplies,,"$1,120.73","$1,282.81",,,"$1,297.17",$0.00,$0.00,$0.00,0.00
,1000.0000.2220.56100.010,,Supplies,,$143.33,,$0.00,,$0.00,"$1,300.00","$1,300.00",$0.00,0.00
,1000.0000.2220.56400.010,,Books,,"$8,652.47","$8,999.44",,"$10,974.46",,"$10,080.00","$10,185.00",$105.00,1.04
Program:,OVERHEAD,- 0000,,,"$96,637.40","$127,473.17",,"$126,820.73",,"$150,184.00","$167,336.00","$17,152.00",11.42
Function:,LIBRARY,SERVICES,- 2220,,"$96,637.40","$127,473.17",,"$126,820.73",,"$150,184.00","$167,336.00","$17,152.00",11.42
,1000.0000.2230.51010.010,,Teacher,Salaries,$12.11,"$12,468.70",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.51500.010,,Stipends,,"$3,180.78","$1,422.00",,,$0.00,"$3,815.00","$4,266.00",$451.00,11.82
,1000.0000.2230.52000.010,,Benefits,,$1.63,,$23.40,,$0.00,$0.00,$72.00,$72.00,0.00
,1000.0000.2230.52010.010,,Teacher,Benefits,"$1,394.25",,$180.80,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.52300.010,,Stipend,Retirement,$0.00,,$54.60,,$0.00,$0.00,$191.00,$191.00,0.00
,1000.0000.2230.52310.010,,Retirement,,$387.39,,$478.80,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.54330.010,,Software,,$0.00,,$196.54,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.55000.010,,Other,Purchased Services,$140.00,"$1,069.00",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2230.56500.010,,Supplies,,"$6,485.90",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,,"$11,602.06","$15,893.84",,,$0.00,"$3,815.00","$4,529.00",$714.00,18.72
Function:,,INSTRUCTION,RELATED,TECHNOLOGY -,"$11,602.06","$15,893.84",,,$0.00,"$3,815.00","$4,529.00",$714.00,18.72
2230,,,,,,,,,,,,,
Cost,Center:,DURHAM,COMMUNITY -,010,"$242,603.61","$411,111.79",,"$397,425.20",,"$513,747.00","$508,351.00","($5,396.00)",(1.05)
,03/13/2024,,,,,,,,,,,42,
,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,and,Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date: 3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
Cost,Center:,DURHAM,COMMUNITY,- 010,"$242,603.61","$411,111.79",,"$397,425.20",,"$513,747.00","$508,351.00","($5,396.00)",(1.05)
,1000.0000.2110.51010.020,,Social,Worker Salaries,$0.00,,$0.00,,$0.00,"$21,853.00","$22,550.00",$697.00,3.19
,1000.0000.2110.52010.020,,Social,Worker Benefits,$0.00,,$0.00,,$0.00,"$5,367.00","$6,865.00","$1,498.00",27.91
,1000.0000.2110.52310.020,,Social,Worker Retirement,$0.00,,$0.00,,$0.00,$976.00,"$1,079.00",$103.00,10.55
Program:,OVERHEAD,- 0000,,,$0.00,,$0.00,,$0.00,"$28,196.00","$30,494.00","$2,298.00",8.15
Function:,Attendance,& Social,Work -,2110,$0.00,,$0.00,,$0.00,"$28,196.00","$30,494.00","$2,298.00",8.15
,1000.0000.2120.51010.020,,Guidance,Salaries,"$87,743.97","$86,229.57",,"$91,711.65",,"$75,001.00","$75,001.00",$0.00,0.00
,1000.0000.2120.52010.020,,Benefits,,"$4,814.02","$25,047.49",,"$21,749.14",,"$23,343.00","$31,297.00","$7,954.00",34.07
,1000.0000.2120.52310.020,,,Retirement,$608.10,"$3,311.12",,,"$3,521.64","$3,353.00","$3,608.00",$255.00,7.61
,1000.0000.2120.53000.020,,,Purchased Professional,$0.00,,$0.00,,$300.00,$400.00,$400.00,$0.00,0.00
,1000.0000.2120.54330.020,,Software,,$0.00,,$333.33,,$333.33,$334.00,$334.00,$0.00,0.00
,1000.0000.2120.56100.020,,Supplies,,$107.33,,$0.00,,$133.85,$350.00,$350.00,$0.00,0.00
,1000.0000.2120.56400.020,,Books,,$274.79,,$0.00,,$41.96,$350.00,$350.00,$0.00,0.00
,1000.0000.2120.57300.020,,,Equipment,$497.92,,$0.00,,$0.00,$750.00,$0.00,($750.00),(100.00)
Program:,OVERHEAD,- 0000,,,"$94,046.13","$114,921.51",,"$117,791.57",,"$103,881.00","$111,340.00","$7,459.00",7.18
Function:,,COUNSELING -,2120,,"$94,046.13","$114,921.51",,"$117,791.57",,"$103,881.00","$111,340.00","$7,459.00",7.18
,1000.0000.2130.51010.020,,Nurse,Salary,"$58,597.77","$71,298.62",,"$76,828.38",,"$82,170.00","$80,487.00","($1,683.00)",(2.05)
,1000.0000.2130.51200.020,,Nurse,Substitute - MSS,$0.00,,$690.00,,"$1,050.00",$0.00,$0.00,$0.00,0.00
,03/13/2024,,,,,,,,,,,43,
