,,,,,RSU,No. 5,,,,,,,
,FY27 Article,6 System,,Administration- Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2500.52080.900,,,Benefits,"$43,124.34","$38,499.32",,"$38,545.02","$46,202.00","$39,841.00","($6,361.00)",,(13.77)
,1000.0000.2500.52340.900,,,Retirement,"$5,440.89","$12,409.03",,"$7,166.38",$0.00,"$8,014.00",,"$8,014.00",0.00
,1000.0000.2500.52380.900,,,Retirement,"$8,134.73","$7,606.71",,"$8,959.12","$10,897.00","$10,027.00",,($870.00),(7.98)
,1000.0000.2500.53300.900,,,Training & Development,$595.00,"$1,878.00",,"$2,326.00","$5,400.00","$5,400.00",,$0.00,0.00
,,,,Services,,,,,,,,,
,1000.0000.2500.53400.900,,,Purchased Professional,$0.00,,$0.00,"$37,972.80","$40,900.00","$56,950.00","$16,050.00",,39.24
,1000.0000.2500.55800.900,,,Travel,$455.81,,$394.60,"$1,866.36","$1,500.00","$1,750.00",,$250.00,16.67
,1000.0000.2500.55810.900,,,Travel,$17.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2500.56000.900,,,Supplies,$0.00,"$3,982.81",,"$2,267.85","$4,075.00","$4,340.00",,$265.00,6.50
,1000.0000.2500.58100.900,,,Dues and Fees,"$4,942.32","$2,053.00",,"$6,093.60","$1,944.00","$1,798.00",,($146.00),(7.51)
,Program:,OVERHEAD - 0000,,,"$371,568.98","$411,862.39",,"$497,472.97","$526,857.00","$543,118.00","$16,261.00",,3.09
,Function:,CENTRAL SERVICES,- 2500,,"$371,568.98","$411,862.39",,"$497,472.97","$526,857.00","$543,118.00","$16,261.00",,3.09
Cost,Center:,SYSTEM WIDE,- 900,,"$1,010,289.12","$1,063,759.87",,"$1,186,446.33","$1,263,587.00","$1,308,008.00","$44,421.00",,3.52
Grand,Total:,,,,"$1,010,289.12","$1,063,759.87",,"$1,186,446.33","$1,263,587.00","$1,308,008.00","$44,421.00",,3.52
,,,,,End of,Report,,,,,,,
,,,,,Page 68,of 89,,,,,,,
