,,,,,,,,RSU No.,5,,,,,,,,
,Article 2,Special,Education-,,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
,1000.2800.2140.51010.050,,Psychological,,Services Salary,,"$32,555.53",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.52010.050,,Psych,Services,Benefit,,"$1,247.17",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.52310.050,,Retirement,,,,$294.30,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2800.2140.55800.050,,Travel,,,,$0.00,,$116.00,,$73.75,,$0.00,$0.00,,$0.00,0.00
,Program: OTHER,SPECIAL,PROGRAMS,- 2800,,"$34,097.00",,$116.00,,$73.75,,$0.00,,$0.00,$0.00,,0.00
,Function:,PSYCHOLOGICAL -,2140,,,"$34,097.00",,$116.00,,$73.75,,$0.00,,$0.00,$0.00,,0.00
,1000.2800.2150.51010.050,,Speech,&,Audiology Salaries,,"$40,173.71",,"$40,280.03","$41,834.51",,"$43,149.00",,"$43,149.00",,$0.00,0.00
,1000.2800.2150.52010.050,,Speech,&,Audiology Benefits,,"$2,199.01",,"$9,774.95","$8,565.76",,"$8,683.00",,"$15,135.00","$6,452.00",,74.31
,1000.2800.2150.52310.050,,Retirement,,,,$373.38,,"$1,653.96","$1,605.65",,"$1,928.00",,"$2,064.00",,$136.00,7.05
,1000.2800.2150.55800.050,,Travel,,,,$0.00,,$0.00,,$0.00,,$0.00,$100.00,,$100.00,0.00
,Program: OTHER,SPECIAL,PROGRAMS,- 2800,,"$42,746.10",,"$51,708.94","$52,005.92",,"$53,760.00",,"$60,448.00",,"$6,688.00",,12.44
,Function: SPEECH,& AUDIOLOGY,-,2150,,"$42,746.10",,"$51,708.94","$52,005.92",,"$53,760.00",,"$60,448.00",,"$6,688.00",,12.44
,1000.2800.2160.51010.050,,OT Salary,,,,"$5,069.84",,"$13,194.50","$7,718.32",,"$7,828.00",,"$7,828.00",,$0.00,0.00
