,,,,,,2019,2019,2020,,2020,2021,2021,2022,,,
,,,,,,Total,Budget Total Activity,Total Budget,,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff
1133,,Function:,2620 - MAINTENANCE,OF BUILDINGS,,,,,,,,,,,,
1134,,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,,
1135,,1000-0000-2620-51180-900,,Salaries,,,"209,928.00","248,678.63","218,357.00",,"301,356.13","255,062.00","350,078.85","341,702.40","86,640.40",33.97%
1136,,1000-0000-2620-52080-900,,Benefits,,,"115,194.00","100,558.11","114,997.00",,"131,509.62","158,256.00","67,323.44","140,849.60","-17,406.40",-11.00%
1137,,1000-0000-2620-53000-900,,Purchased Professional,,,"3,940.00","37,774.21","3,940.00",,"15,658.69","5,140.00",585.70,"5,140.00",0.00,0.00%
1138,,1000-0000-2620-54300-900,,Purchased Repair,,,"14,450.00","5,127.91","33,750.00",,"35,399.78","37,550.00","26,404.32","47,550.00","10,000.00",26.63%
1139,,1000-0000-2620-55800-900,,Travel,,,"8,050.00","5,738.22","8,050.00",,"4,849.64","8,050.00","3,069.44","8,050.00",0.00,0.00%
1140,,1000-0000-2620-56000-900,,Supplies,,,"42,439.00","52,489.14","43,581.00",,"45,065.62","45,081.00","26,192.86","45,881.00",800.00,1.77%
1141,,1000-0000-2620-57300-900,,Equipment,,,"7,216.00","6,290.21","7,216.00",,"1,557.70","9,066.00","5,297.00","37,000.00","27,934.00",308.12%
,,,,,Totals,,"401,217.00","456,656.43","429,891.00",,"535,397.18","518,205.00","478,951.61","626,173.00","107,968.00",20.83%
1142,,Function:,2680 - CAPITAL,ENHANCEMENT &,IMPROVEMENT,,,,,,,,,,,
1143,,,Cost Center:,300 - FREEPORT HIGH,SCHOOL,,,,,,,,,,,
1144,,1000-0000-2680-58310-300,,Principal-High School,Renovation,,"905,000.00","904,960.30","905,000.00",,"905,000.00","905,000.00","685,000.00","905,000.00",0.00,0.00%
1145,,1000-0000-2680-58320-300,,Interest-High School,Renovation,,"507,225.00","507,264.69","461,975.00",,"461,975.01","416,725.00","204,375.00","371,475.00","-45,250.00",-10.86%
,,,,,Totals,,"1,412,225.00","1,412,224.99","1,366,975.00",,"1,366,975.01","1,321,725.00","889,375.00","1,276,475.00","-45,250.00",-3.42%
1146,,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,,
1147,,1000-0000-2680-58310-900,,Prinicpal-Central,Office Purchase,,"12,500.00","12,500.00","12,500.00",,"12,500.00","11,250.00",0.00,"11,250.00",0.00,0.00%
1148,,1000-0000-2680-58320-900,,Interest-Central,Office Purchase,,"2,063.00","2,062.50","1,438.00",,"1,437.50",844.00,0.00,281.25,-562.75,-66.68%
,,,,,Totals,,"14,563.00","14,562.50","13,938.00",,"13,937.50","12,094.00",0.00,"11,531.25",-562.75,-4.65%
1147,,Function:,2690 - CAPITAL,RENEWAL & RENOVATION,,,,,,,,,,,,
1148,,,Cost Center:,010 - DURHAM,COMMUNITY,,,,,,,,,,,
1149,,1000-0000-2690-58310-010,,Principal-Durham,Roof,,"40,000.00","40,000.00",0.00,,0.00,0.00,0.00,0.00,0.00,0.00%
1150,,1000-0000-2690-58320-010,,Interest-Durham,Roof,,273.00,273.33,0.00,,0.00,0.00,0.00,0.00,0.00,0.00%
,,,,,Totals,,"40,273.00","40,273.33",0.00,,0.00,0.00,0.00,0.00,0.00,0.00%
1151,,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,,
1152,,1000-0000-2690-54300-900,,Capital Renewal/Track,Replacement,,"35,000.00",0.00,"35,000.00",,"70,000.00","35,000.00",0.00,"35,000.00",0.00,0.00%
1153,,1000-0000-2690-54500-900,,Capital Renewal/Tennis,Courts,Replacement,0.00,0.00,0.00,,0.00,0.00,0.00,"30,000.00","30,000.00",100.00%
1154,,1000-0000-2690-58310-900,,Capital Improvements,,,"435,000.00","439,452.93","400,000.00",,"350,314.73","400,000.00","358,899.00","467,000.00","67,000.00",16.75%
,,,,,Totals,,"470,000.00","439,452.93","435,000.00",,"420,314.73","435,000.00","358,899.00","532,000.00","97,000.00",22.30%
,,,,,Article,9 Totals,"4,891,383.00","4,972,765.44","4,819,999.00",,"4,837,273.80","5,028,523.00","4,092,121.90","5,077,269.55","48,746.55",0.97%
ARTICLE 10 -,DEBT SERVICE,,,,,,,,,,,,,,,
1155,,Function:,5100 - STATE,CAPITAL DEBT SERVICE,,,,,,,,,,,,
1156,,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,,
1157,,1000-0000-5100-58310-900,,Principal Payments-State,Supported,Debt,"1,139,734.00","1,139,733.73","1,139,734.00",,"1,139,733.73","1,139,734.00","108,835.00","995,302.00","-144,432.00",-12.67%
1158,,1000-0000-5100-58320-900,,Interest Payments-Non,Shared Debt,,"473,415.00","473,414.59","442,022.00",,"442,022.08","287,513.00","23,010.44","213,647.22","-73,865.78",-25.69%
,,,,,Totals,,"1,613,149.00","1,613,148.32","1,581,756.00",,"1,581,755.81","1,427,247.00","131,845.44","1,208,949.22","-218,297.78",-15.30%
,,,,,Article,10 Totals,"1,613,149.00","1,613,148.32","1,581,756.00",,"1,581,755.81","1,427,247.00","131,845.44","1,208,949.22","-218,297.78",-15.30%
ARTICLE 11 -,ALL OTHER,EXPENDITURES,,,,,,,,,,,,,,
1159,,Function:,3100 - SCHOOL,NUTRITION,,,,,,,,,,,,
1160,,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,,
1161,,1000-0000-3100-59100-900,,Fund Transfer Out,,,"268,245.00","268,245.00","268,245.00",,"310,225.68","293,245.00","293,244.96","293,245.00",0.00,0.00%
,,,,,Totals,,"268,245.00","268,245.00","268,245.00",,"310,225.68","293,245.00","293,244.96","293,245.00",0.00,0.00%
1162,Program:,8600 - CROSSING,GUARD,,,,,,,,,,,,,
1163,,Function:,0000 - CONTINGENCY,,,,,,,,,,,,,
1164,,,Cost Center:,900 - SYSTEM WIDE,,,,,,,,,,,,
1165,,1000-8600-0000-55900-900,,Crossing Guards,,,"1,400.00",231.00,"1,400.00",,0.00,"1,400.00",0.00,"1,400.00",0.00,0.00%
,,,,,Totals,,"1,400.00",231.00,"1,400.00",,0.00,"1,400.00",0.00,"1,400.00",0.00,0.00%
1166,,,,,Article,10 Totals,"269,645.00","268,476.00","269,645.00",,"310,225.68","294,645.00","293,244.96","294,645.00",0.00,0.00%
1167,,,,,,2019,Total Budget 2019 Total,Activity 2020 Total,Budget,2020 Total,Activity 2021 Total,Budget 2021 YTD,Activity 2022,FY22 V1.2 $,Difference %,Difference
1168,,,,,,,,,,,,,,,,
1169,,,,General Fund K-12,Totals,,"32,946,025.00","32,742,457.32","34,080,295.00",,"32,736,810.71","34,882,700.00","29,928,113.06","35,602,863.89","720,163.89",2.06%
1170,,,,,,,,,,,,,,,,
1171,,,,Adult Education,Totals,,"112,000.00","112,000.00","112,000.00",,"112,000.00","102,000.00","102,000.00","112,000.00","10,000.00",9.80%
,,,,,,,,,26 of 27,,,,,,,
