,,,,,,RSU,No. 5,,,,,,,
,FY27 Article,9 Operations,&,Maintenance-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24 Actual,FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,
,1000.0000.2600.54300.941,,,Purchaed,Repairs,"$11,377.89","$12,790.39",,"$6,372.13","$6,120.00","$16,348.00","$10,228.00",,167.12
,1000.0000.2600.55320.941,,,,Telephone,"$5,804.02","$5,899.85",,"$6,604.97","$5,978.00","$6,803.00",,$825.00,13.80
,1000.0000.2600.55800.941,,,Travel,,$0.00,,$0.00,$119.42,$0.00,$0.00,,$0.00,0.00
,1000.0000.2600.56000.941,,,Supplies,,"$2,272.92","$2,690.71",,"$3,609.36","$1,550.00","$1,782.00",,$232.00,14.97
,1000.0000.2600.56011.941,,,Materials,for Repair,"$2,803.96","$2,353.25",,"$1,788.87","$1,275.00","$2,700.00",,"$1,425.00",111.76
,1000.0000.2600.56013.941,,,Major,Maintenance,$159.31,,$92.33,"$3,995.29","$5,500.00","$15,020.00",,"$9,520.00",173.09
,1000.0000.2600.56220.941,,,Electricity,,"$4,380.76","$4,678.96",,"$5,245.87","$4,000.00","$4,000.00",,$0.00,0.00
,1000.0000.2600.56240.941,,,Heating,Fuel,"$4,605.82","$3,741.27",,"$3,933.93","$5,000.00","$4,500.00",,($500.00),(10.00)
,Program:,OVERHEAD - 0000,,,,"$36,370.45","$37,569.40",,"$32,980.54","$30,694.00","$52,424.00","$21,730.00",,70.80
,Function:,OPERATION OF,PLANT - 2600,,,"$36,370.45","$37,569.40",,"$32,980.54","$30,694.00","$52,424.00","$21,730.00",,70.80
Cost,Center:,CENTRAL OFFICE,- 941,,,"$36,370.45","$37,569.40",,"$32,980.54","$30,694.00","$52,424.00","$21,730.00",,70.80
Grand,Total:,,,,,"$4,627,765.53","$4,816,490.03",,"$4,754,287.45","$5,490,511.00","$5,993,777.00","$503,266.00",,9.17
,,,,,,End of,Report,,,,,,,
,,,,,,Page 87,of 89,,,,,,,
