,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction - Proposed,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,Description,,,,,,,,,
1000.1100.1000.57300.040,,Equipment,"$12,170.20","$8,317.87",,,"$5,378.82","$7,164.29","$5,300.00","($1,864.29)",(26.02)
1000.1100.1000.57300.050,,Equipment,"$19,869.71","$27,377.14",,"$18,169.65",,"$21,466.00","$21,466.00",$0.00,0.00
1000.1100.1000.58100.010,,Dues & Fees,$0.00,,$409.00,,$169.00,$585.00,$585.00,$0.00,0.00
1000.1100.1000.58100.030,,Dues and Fees,$0.00,,$0.00,,$0.00,$210.00,$210.00,$0.00,0.00
1000.1100.1000.58100.040,,Dues and Fees,$0.00,,$50.00,,$50.00,$0.00,$385.00,$385.00,0.00
1000.1100.1000.58100.050,,Dues & Fees,"$2,419.00",,$45.00,,"$2,247.20","$2,750.00","$2,120.00",($630.00),(22.91)
1000.1100.1000.59000.900,,Contingency,$0.00,,$0.00,,$0.00,"$177,000.00","$177,000.00",$0.00,0.00
1000.1120.1000.51010.010,,Teacher Salaries,"$395,275.58","$341,025.42",,"$263,958.00",,"$370,997.00","$325,484.00","($45,513.00)",(12.27)
1000.1120.1000.51010.020,,Salaries,"$222,915.84","$540,256.14",,"$325,713.93",,"$531,179.00","$468,707.00","($62,472.00)",(11.76)
1000.1120.1000.51010.030,,Teacher Salaries,"$55,451.50","$64,475.38",,"$143,179.57",,"$116,823.00","$116,507.00",($316.00),(0.27)
1000.1120.1000.51020.010,,Ed Tech Salaries,"$58,508.41","$33,544.81",,"$23,517.09",,"$37,392.00","$34,632.00","($2,760.00)",(7.38)
1000.1120.1000.51020.020,,Ed Tech Salaries,"$27,167.58","$36,967.67",,"$90,080.12",,"$89,426.00","$52,228.00","($37,198.00)",(41.60)
1000.1120.1000.51020.030,,Ed Tech Salaries,$0.00,,$0.00,"$13,934.78",,"$23,836.00","$15,038.00","($8,798.00)",(36.91)
1000.1120.1000.52010.010,,Teacher Benefits,"$125,817.07","$23,001.86",,"$72,006.83",,"$82,923.00","$86,643.00","$3,720.00",4.49
1000.1120.1000.52010.020,,Benefits,"$41,324.57","$16,757.90",,"$68,603.79",,"$92,086.00","$85,425.00","($6,661.00)",(7.23)
1000.1120.1000.52010.030,,Teacher Benefits,"$20,993.07","$4,862.22",,"$24,403.41",,"$24,397.00","$26,588.00","$2,191.00",8.98
1000.1120.1000.52020.010,,Ed Tech Benefits,"$20,333.60","$14,867.83",,,"$8,991.42","$15,440.00","$11,327.00","($4,113.00)",(26.64)
1000.1120.1000.52020.020,,Ed Tech Benefit,"$12,095.53","$1,839.26",,"$27,274.07",,"$45,187.00","$11,641.00","($33,546.00)",(74.24)
1000.1120.1000.52020.030,,Ed Tech Benefits,$0.00,,$0.00,,"$7,831.99","$3,461.00","$3,332.00",($129.00),(3.73)
1000.1120.1000.52310.010,,Retirement,"$11,597.56","$2,943.45",,"$10,153.24",,"$12,827.00","$14,549.00","$1,722.00",13.42
1000.1120.1000.52310.020,,Retirement,"$9,459.58","$4,268.16",,"$13,002.36",,"$19,392.00","$20,912.00","$1,520.00",7.84
1000.1120.1000.52310.030,,Retirement,"$2,306.72",,$562.56,,"$5,498.18","$4,208.00","$5,208.00","$1,000.00",23.76
1000.1120.1000.52320.010,,Retirement,"$2,401.94",,$572.08,,$952.23,"$2,704.00","$1,656.00","($1,048.00)",(38.76)
1000.1120.1000.52320.020,,Retirement,$0.00,,$0.00,,"$2,387.06","$3,720.00","$2,498.00","($1,222.00)",(32.85)
,03/22/2023,,,,,,,,,Page 7,
,,,,RSU,No.,5,,,,,
Article 1,Regular,Instruction - Proposed,,,,,,,,,
From Date:,3/22/2023,To Date:,3/22/2023 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,Percentage
