,,,,,,RSU No.,5,,,,,,,
,Article,1,Regular,Instruction- Adopted,,,,,,,,,,
From,Date:,,7/1/2023,To Date: 6/30/2024,Definition:,FY25 Adopted,,,,,,,,
,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,Difference,,Difference
,,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,,
Cost,Center:,MORSE,STREET,- 020,"$1,654,639.99 $2,053,282.02",,"$2,093,487.74",,"$2,303,264.00","$2,345,303.00",,"$42,039.00",,1.83
,,1000.1100.1000.51010.030,,Teacher Salaries,"$560,957.21",,"$510,605.81","$558,586.19",,"$574,128.00","$585,554.00","$11,426.00",,1.99
,,1000.1100.1000.51020.030,,Ed Tech Salaries,"$31,525.17",,"$38,385.84","$33,042.15",,"$41,136.00","$47,635.00","$6,499.00",,15.80
,,1000.1100.1000.51230.030,,Sub Salaries,"$34,679.32",,"$42,859.19","$14,623.46",,"$30,000.00","$33,450.00","$3,450.00",,11.50
,,1000.1100.1000.52010.030,,Teacher Benefits,"$33,104.35",,"$136,480.43","$99,417.83",,"$119,785.00","$173,548.00","$53,763.00",,44.88
,,1000.1100.1000.52020.030,,Ed Tech Benefits,"$6,007.90",,"$1,316.78","$1,442.91",,"$10,701.00","$9,028.00","($1,673.00)",,(15.63)
,,1000.1100.1000.52030.030,,Sub Benefits,$4.98,,"$1,925.69","$1,140.15",,$585.00,"$2,559.00","$1,974.00",,337.44
,,1000.1100.1000.52310.030,,Retirement,"$3,863.87",,"$16,037.31","$25,772.12",,"$25,664.00","$28,691.00","$3,027.00",,11.79
,,1000.1100.1000.52320.030,,Retirement,$88.75,,"$1,491.33","$1,264.76",,"$1,968.00","$2,129.00",,$161.00,8.18
,,1000.1100.1000.52330.030,,Retirement,$10.16,,$907.43,,$31.78,"$1,248.00",$450.00,($798.00),,(63.94)
,,1000.1100.1000.53400.030,,Professional Services,"$3,186.32",,"$6,470.10","$7,622.99",,"$10,000.00","$13,304.00","$3,304.00",,33.04
,,1000.1100.1000.54300.030,,Copiers Repairs/Maint,"$2,617.20",,"$4,494.10","$6,657.30",,"$9,700.00","$9,700.00",,$0.00,0.00
,,1000.1100.1000.54330.030,,Software,$96.00,,$0.00,"$4,530.85",,"$5,831.00","$5,135.00",($696.00),,(11.94)
,,1000.1100.1000.55800.030,,Travel,$701.18,,$963.05,"$1,125.55",,"$1,100.00","$1,400.00",,$300.00,27.27
,,1000.1100.1000.56100.030,,Instructional Supplies,"$16,799.21",,"$15,007.55","$18,272.93",,"$21,915.00","$24,147.00","$2,232.00",,10.18
,,1000.1100.1000.56110.030,,"Equipment & Furniture, Instructional",$0.00,,$0.00,"$1,230.15",,"$3,600.00","$1,727.00","($1,873.00)",,(52.03)
,,1000.1100.1000.56400.030,,Books,"$3,255.20",,"$2,381.95","$2,817.18",,"$4,300.00","$4,050.00",($250.00),,(5.81)
,,1000.1100.1000.57300.030,,Equipment,"$4,818.72",,"$2,761.99",,$0.00,$0.00,$0.00,,$0.00,0.00
,,1000.1100.1000.58100.030,,Dues and Fees,$0.00,,$0.00,,$0.00,$210.00,$200.00,,($10.00),(4.76)
,Program:,ELEMENTARY,,PROGRAMS - 1100,"$701,715.54 $782,088.55",,"$777,578.30",,"$861,871.00","$942,707.00",,"$80,836.00",,9.38
,,1000.1120.1000.51010.030,,Teacher Salaries,"$64,475.38",,"$143,179.57","$113,825.05",,"$116,507.00","$116,507.00",,$0.00,0.00
,,03/27/2024,,,,,,,,,,,6 of 81,
