,,,,,,,,,RSU No.,5,,,,,,,,
Article,4,Other,Instruction-,Adopted,,,,,,,,,,,,,,
From,Date:,7/1/2023,To,Date:,6/30/2024,,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,,
Program:,,CO-CURRICULAR,K-8 - 9100,,,,$0.00,,"$1,352.09",,$0.00,"$1,359.00",,,"$1,510.00",$151.00,,11.11
Function:,REGULAR,INSTRUCTION,- 1000,,,,$0.00,,"$1,352.09",,$0.00,"$1,359.00",,,"$1,510.00",$151.00,,11.11
Cost,Center:,MORSE STREET,- 020,,,,$0.00,,"$1,352.09",,$0.00,"$1,359.00",,,"$1,510.00",$151.00,,11.11
,1000.9100.1000.51500.030,,Stipends,,,,,"$5,332.51",,"$7,593.00","$6,321.00",,"$3,816.00",,"$5,688.00","$1,872.00",,49.06
,1000.9100.1000.52000.030,,Stipend,Benefits,,,,$2.82,,$132.44,$815.03,,,$85.00,$96.00,,$11.00,12.94
,1000.9100.1000.52300.030,,MPERS,Employer,Contribution,,,$0.00,,$294.86,$242.59,,$171.00,,$254.00,,$83.00,48.54
,1000.9100.1000.58100.030,,Dues &,Fees,,,,$0.00,,$0.00,,$0.00,$200.00,,$0.00,($200.00),,(100.00)
Program:,,CO-CURRICULAR,K-8 - 9100,,,,"$5,335.33",,"$8,020.30","$7,378.62",,"$4,272.00",,,"$6,038.00","$1,766.00",,41.34
,1000.9200.1000.51500.030,,Extra-Curricular,,Stipends - PES,,,$0.00,,"$2,016.00","$2,016.00",,"$2,016.00",,"$2,016.00",,$0.00,0.00
,1000.9200.1000.52000.030,,Extra-Curricular,,Stipends Benefits,- PES,,$0.00,,$270.28,$261.86,,$122.00,,$34.00,,($88.00),(72.13)
,1000.9200.1000.52300.030,,Extra-Curricular,,Stipends,Retirements - PES,,$0.00,,$94.84,,$77.40,,$90.00,$90.00,,$0.00,0.00
Program:,,EXTRA-CURRICULAR,K-8 - 9200,,,,$0.00,,"$2,381.12","$2,355.26",,"$2,228.00",,,"$2,140.00",($88.00),,(3.95)
Function:,REGULAR,INSTRUCTION,- 1000,,,,"$5,335.33",,"$10,401.42","$9,733.88",,"$6,500.00",,,"$8,178.00","$1,678.00",,25.82
Cost,Center:,POWNAL,ELEMENTARY -,030,,,"$5,335.33",,"$10,401.42","$9,733.88",,"$6,500.00",,,"$8,178.00","$1,678.00",,25.82
,1000.9100.1000.51500.040,,Stipends,,,,,"$11,035.99",,"$12,375.07","$11,055.41",,"$9,798.00",,"$10,968.00","$1,170.00",,11.94
,1000.9100.1000.52000.040,,Stipend,Benefits,,,,$5.01,,$779.03,"$2,628.77",,$633.00,,$181.00,($452.00),,(71.41)
,1000.9100.1000.52300.040,,RETIREMENT,,,,,$0.00,,"$1,665.01",$330.59,,$438.00,,$478.00,,$40.00,9.13
,1000.9100.1000.58100.040,,Dues &,Fees,,,,$0.00,,$0.00,$275.00,,$400.00,,$385.00,,($15.00),(3.75)
Program:,,CO-CURRICULAR,K-8 - 9100,,,,"$11,041.00",,"$14,819.11","$14,289.77",,"$11,269.00",,"$12,012.00",,$743.00,,6.59
,03/27/2024,,,,,,,,,,,,,,,,34 of 81,
