,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,and Staff,Support- Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2213.55000.300,,,Other Purchased Services,$0.00,,$0.00,$150.00,"$1,000.00",$0.00,"($1,000.00)",,(100.00)
,1000.0000.2213.55810.300,,,Travel,$729.84,,$0.00,$123.35,"$1,000.00",$0.00,"($1,000.00)",,(100.00)
Program:,OVERHEAD,- 0000,,,"$85,047.78","$79,592.61",,"$85,179.21","$83,183.00","$81,474.00","($1,709.00)",,(2.05)
Function:,,INSTRUCTIONAL,STAFF TRAINING,- 2213,"$85,047.78","$79,592.61",,"$85,179.21","$83,183.00","$81,474.00","($1,709.00)",,(2.05)
,1000.0000.2220.51010.300,,,Librarian Salary,"$81,340.92","$85,303.47",,"$90,368.95","$95,791.00","$101,060.00",,"$5,269.00",5.50
,1000.0000.2220.51020.300,,,Ed Tech Salaries,"$15,249.98","$24,957.60",,"$3,081.98","$31,142.00",$0.00,"($31,142.00)",,(100.00)
,1000.0000.2220.52010.300,,,Librarian Benefits,"$11,262.31","$10,830.09",,"$12,103.73","$14,060.00","$15,032.00",,$972.00,6.91
,1000.0000.2220.52020.300,,,Ed Tech Benefits,"$1,496.09",,"$7,909.43","$3,272.26","$11,972.00",$0.00,"($11,972.00)",,(100.00)
,1000.0000.2220.52310.300,,,Retirement,"$3,123.40",,"$3,813.01","$4,024.08","$4,282.00","$4,517.00",,$235.00,5.49
,1000.0000.2220.52320.300,,,Retirement,$141.66,,"$1,037.37",$137.79,"$1,392.00",$0.00,"($1,392.00)",,(100.00)
,1000.0000.2220.54330.300,,,Software,"$1,128.63",,"$1,275.42","$1,319.05","$1,500.00","$1,500.00",,$0.00,0.00
,1000.0000.2220.56000.300,,,Supplies,"$1,231.39",,$0.00,$17.50,$0.00,$0.00,,$0.00,0.00
,1000.0000.2220.56100.300,,,Instructional Supplies,$0.00,,"$1,340.75","$1,261.82",$990.00,"$1,490.00",,$500.00,50.51
,1000.0000.2220.56400.300,,,Books,"$11,336.80","$12,639.73",,"$13,359.46","$14,147.00","$12,933.00","($1,214.00)",,(8.58)
Program:,OVERHEAD,- 0000,,,"$126,311.18","$149,106.87",,"$128,946.62","$175,276.00","$136,532.00","($38,744.00)",,(22.10)
Function:,LIBRARY,SERVICES,- 2220,,"$126,311.18","$149,106.87",,"$128,946.62","$175,276.00","$136,532.00","($38,744.00)",,(22.10)
,1000.0000.2230.51010.300,,,Teacher Salaries,$795.00,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,,,,,Page,61 of 89,,,,,,,
