,,,,,,RSU,No.,5,,,,,
Article,2,Special,Education-,Adopted,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,
,1000.2800.2160.51010.050,,OT Salary,,"$5,369.52","$5,069.84",,"$13,194.50",,"$7,374.00","$7,828.00",$454.00,6.16
,1000.2800.2160.52010.050,,OT Benefits,,$99.56,,$16.07,,"$2,013.25","$1,609.00","$2,126.00",$517.00,32.13
,1000.2800.2160.52310.050,,Retirement,,$223.34,,$54.54,,$515.32,$306.00,$350.00,$44.00,14.38
,1000.2800.2160.55800.050,,Travel,,$0.00,,$0.00,,$0.00,$125.00,$0.00,($125.00),(100.00)
Program:,OTHER,SPECIAL,PROGRAMS -,2800,"$5,692.42","$5,140.45",,"$15,723.07",,"$9,414.00","$10,304.00",$890.00,9.45
Function:,OT -,2160,,,"$5,692.42","$5,140.45",,"$15,723.07",,"$9,414.00","$10,304.00",$890.00,9.45
Cost,Center:,FREEPORT,MIDDLE SCHOOL,- 050,"$666,655.68","$652,766.41",,"$805,825.09",,"$848,000.00","$962,695.00","$114,695.00",13.53
,1000.2100.1000.51210.300,,Tutor,Salaries/ESY,$717.60,,$0.00,,$0.00,"$5,000.00","$5,000.00",$0.00,0.00
,1000.2100.1000.52010.300,,Benefits,,$60.08,,$0.00,,$0.00,$250.00,$250.00,$0.00,0.00
,1000.2100.1000.52030.300,,Tutor Benefits,,$0.00,,$0.00,,$0.00,$198.00,$198.00,$0.00,0.00
,1000.2100.1000.53440.300,,Purchased,Professional,$0.00,,$344.00,,$0.00,"$1,000.00","$1,000.00",$0.00,0.00
Program:,REGULAR,CLASSROOM,PLACEMENT,- 2100,$777.68,,$344.00,,$0.00,"$6,448.00","$6,448.00",$0.00,0.00
,1000.2200.1000.51010.300,,Teacher,Salaries,"$196,491.10","$188,250.41",,"$149,407.92",,"$146,731.00","$153,863.00","$7,132.00",4.86
,1000.2200.1000.51020.300,,Ed Tech,Salaries,"$32,482.17","$31,094.72",,"$30,011.59",,"$48,365.00","$102,961.00","$54,596.00",112.88
,1000.2200.1000.52010.300,,Teacher,Benefits,"$62,485.39","$12,371.36",,"$43,997.73",,"$43,845.00","$46,771.00","$2,926.00",6.67
