,FreeportHighSchool,,
,2023-2024ClassSize,,
Department,#ofStudents,#ofSections,ClassSize(Range)
Choices/LifeSkills,15,6,2-5
Drama,49,3,10-25
Endeavor,26,9,5-11
English,675,25,2-22
FineArts,178,13,1-22
Health/PE,287,17,10-25
JMG/Videography,72,6,4-15
Math,640,40,6-23
Music,157,11,5-43
MorseStreetPre-apprenticeship,40,6,2-7
Science,783,41,6-22
SocialStudies,526,31,7-22
VirtualHighSchool,23,0,0
WorldLanguage,412,25,5-20
,10YearAdoptedBudgetHistory,,
,AdoptedBudget,ExpenditureDifference,%Increase
FY24,"$39,080,569","$1,857,418",4.99%
FY23,"$37,223,151","$1,508,288",4.22%
FY22,"$35,714,863","$730,163",2.09%
FY21,"$34,984,700","$792,405",2.32%
FY20,"$34,192,295","$1,134,270",3.43%
FY19,"$33,058,025","$747,340",2.31%
FY18,"$32,310,685","$1,302,013",4.20%
FY17,"$31,008,672","$1,518,469",5.15%
FY16,"$29,490,203","$2,124,956",7.77%
FY15,"$27,365,247","$1,554,936",5.68%
