,,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,,and Staff,Support- Proposed,,,,,,,,,
From,Date:,7/1/2026,,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,
,1000.0000.2110.51010.010,,,,Social Worker Salaries,$0.00,"$39,103.26",,"$48,445.44","$47,046.00","$50,269.00",,"$3,223.00",6.85
,1000.0000.2110.52010.010,,,,Social Worker Benefits,$0.00,,"$9,467.27","$5,444.06","$13,101.00","$14,055.00",,$954.00,7.28
,1000.0000.2110.52310.010,,,,Social Worker Retirement,$0.00,,"$1,744.00","$2,072.28","$2,103.00","$2,247.00",,$144.00,6.85
Program:,OVERHEAD,- 0000,,,,$0.00,"$50,314.53",,"$55,961.78","$62,250.00","$66,571.00",,"$4,321.00",6.94
Function:,Attendance,& Social,Work,- 2110,,$0.00,"$50,314.53",,"$55,961.78","$62,250.00","$66,571.00",,"$4,321.00",6.94
,1000.0000.2120.51010.010,,,,Guidance Salaries,"$107,080.83","$151,136.73",,"$110,822.71","$154,209.00","$166,388.00","$12,179.00",,7.90
,1000.0000.2120.52010.010,,,,Benefits,"$10,208.66","$10,438.44",,"$10,894.21","$11,936.00","$12,321.00",,$385.00,3.23
,1000.0000.2120.52310.010,,,,Retirement,"$4,099.82",,"$6,760.40","$4,930.08","$6,830.00","$7,364.00",,$534.00,7.82
,1000.0000.2120.53000.010,,,,Professional Services,$226.25,,$66.67,$300.00,$300.00,$300.00,,$0.00,0.00
,1000.0000.2120.54330.010,,,,Software,$333.33,,$333.33,$275.33,$334.00,$334.00,,$0.00,0.00
,1000.0000.2120.55810.010,,,,Travel - Guidance,$0.00,,$0.00,$0.00,$200.00,$200.00,,$0.00,0.00
,1000.0000.2120.56100.010,,,,Supplies,$239.00,,$524.56,$473.86,"$1,450.00","$1,450.00",,$0.00,0.00
,1000.0000.2120.57300.010,,,,Equipment,$464.06,,$749.77,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2120.58100.010,,,,Dues & Fees,$473.00,,$384.00,$558.00,$758.00,$758.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$123,124.95","$170,393.90",,"$128,254.19","$176,017.00","$189,115.00","$13,098.00",,7.44
Function:,,COUNSELING -,2120,,,"$123,124.95","$170,393.90",,"$128,254.19","$176,017.00","$189,115.00","$13,098.00",,7.44
,,,,,,Page,45 of 89,,,,,,,
