,,FY24,RSU5BudgetTimeline
,"September14,2022",,BudgetTimelinetoBoard
,"December8,2022",,LeadershipMeetingw/Towns
,,,________________________________________________________________________________________
,"February1,2023",,Superintendent’sRecommendedBudget
,,,"BudgetReview: DCS,FMS,FHS,Athletics"
,"February8,2023",,"BudgetReview: MSS,PES,MLS,Inst.Support"
,"February15,2023",,"BudgetReview:Technology,CIA,Nutrition,CommunityPrograms,"
,,,Facilities&Transportation
"March8,",2023,,ReviewofFY24Superintendent’sBudget
,,,BoardDeliberationsonBudget
,"March15,2023",,ReviewofFY24Superintendent’sBudget
,,,PublicInputonBudget
,,,BoardDeliberationsonBudget
,"March22,2023",,PublicInputonBudget
,,,AdoptFY24SchoolBudget
,,,________________________________________________________________________________________
,"April12,2023@PES",6:00-6:30p.m.,Q&AonFY24BoardAdoptedBudget
,,,SigningofWarrantsforABM&Referendum
,"April26,2023@DCS",6:00-6:30p.m.,Q&AonFY24BoardAdoptedBudget
"May10,2023",,6:00-6:30p.m.,Q&AonFY24BoardAdoptedBudget
,"May24,2023@DCS",,AnnualBudgetMeeting(ABM) ontheFY24Budget
,,BoardMeeting,
"June13,2023",,,BudgetValidationReferendum(BVR)
"June14,2023",,,Computation&DeclarationofVotes
,,,AssessmentWarrants
,BoardofDirectorsReview:9-14-22;Revised1-17-23,,
