,,,,,,RSU,No.,5,,,,,
FY25,Article,9,Operations,& Maintenance-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
,1000.0000.2620.52340.900,,,Administrator Retirement,$0.00,,$0.00,,$0.00,"$3,120.00",$0.00,"($3,120.00)",(100.00)
,1000.0000.2620.52380.900,,,Retirement,$0.00,"$9,083.16",,"$10,891.75",,"$7,912.00","$12,800.00","$4,888.00",61.78
,1000.0000.2620.53000.900,,,Purchased Professional,"$4,213.52","$32,740.33",,,"$3,538.25","$5,140.00","$5,030.00",($110.00),(2.14)
,1000.0000.2620.53300.900,,,Training & Development,$0.00,,$0.00,,$0.00,"$1,000.00",$0.00,"($1,000.00)",(100.00)
,1000.0000.2620.54300.900,,,Purchased Repair,"$45,998.89","$61,771.45",,"$32,399.53",,"$38,000.00","$40,050.00","$2,050.00",5.39
,1000.0000.2620.55800.900,,,Travel,"$2,592.53","$3,518.13",,,"$2,622.20","$5,000.00","$3,000.00","($2,000.00)",(40.00)
,1000.0000.2620.56000.900,,,Supplies,"$43,156.22","$59,673.24",,"$46,461.94",,"$55,787.00","$54,940.00",($847.00),(1.52)
,1000.0000.2620.57300.900,,,Equipment,$880.22,"$11,215.01",,,"$8,944.98","$37,000.00","$37,000.00",$0.00,0.00
,1000.0000.2620.58100.900,,,Dues & Fees,$0.00,,$0.00,,$170.00,$110.00,$110.00,$0.00,0.00
Program:,OVERHEAD,-,0000,,"$553,738.35","$566,018.17",,"$479,248.73",,"$730,382.00","$639,715.00","($90,667.00)",(12.41)
Function:,,MAINTENANCE,OF,BUILDINGS - 2620,"$553,738.35","$566,018.17",,"$479,248.73",,"$730,382.00","$639,715.00","($90,667.00)",(12.41)
,1000.0000.2670.55900.900,,,Crossing Guards,$0.00,,$0.00,,"$4,165.32","$1,400.00",$0.00,"($1,400.00)",(100.00)
Program:,OVERHEAD,-,0000,,$0.00,,$0.00,,"$4,165.32","$1,400.00",$0.00,"($1,400.00)",(100.00)
Function:,Safety,- 2670,,,$0.00,,$0.00,,"$4,165.32","$1,400.00",$0.00,"($1,400.00)",(100.00)
,1000.0000.2680.58310.900,,,Prinicpal-Central Office Purchase,"$11,250.00","$11,250.00",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2680.58320.900,,,Interest-Central Office Purchase,$843.75,,$281.25,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,-,0000,,"$12,093.75","$11,531.25",,,$0.00,$0.00,$0.00,$0.00,0.00
Function:,CAPITAL,,ENHANCEMENT,& IMPROVEMENT -,"$12,093.75","$11,531.25",,,$0.00,$0.00,$0.00,$0.00,0.00
2680,,,,,,,,,,,,,
,03/13/2024,,,,,,,,,,,77,
