,,,,,,RSU,No.,5,,,,,,
Article,9 Operations,&,Maintenance-,Adopted,,,,,,,,,,
,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,Function:,OPERATION,OF PLANT,- 2600,"$581,716.00",$0.00,"$581,716.00",,$0.00,$0.00,"$581,716.00","$203,622.81","$378,093.19",65.00%
,,Cost Center:,MORSE STREET,- 020,"$581,716.00",$0.00,"$581,716.00",,$0.00,$0.00,"$581,716.00","$203,622.81","$378,093.19",65.00%
1000.0000.2600.51180.030,,Custodial,Salaries,,"$100,353.00",$0.00,"$100,353.00",,$0.00,$0.00,"$100,353.00","$93,855.00","$6,498.00",6.48%
1000.0000.2600.52080.030,,Custodian,Benefits,,"$26,752.00",$0.00,"$26,752.00",,$0.00,$0.00,"$26,752.00",$0.00,"$26,752.00",100.00%
1000.0000.2600.52380.030,,Retirement,,,"$5,018.00",$0.00,"$5,018.00",,$0.00,$0.00,"$5,018.00",$0.00,"$5,018.00",100.00%
1000.0000.2600.53000.030,,Purchased,Professional,,$118.00,$0.00,,$118.00,$0.00,$0.00,$118.00,$0.00,$118.00,100.00%
1000.0000.2600.53300.030,,Employee,Training,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
1000.0000.2600.54300.030,,Purchased,Repairs/Maint,,"$37,764.00",$0.00,"$37,764.00",,$0.00,$0.00,"$37,764.00",$0.00,"$37,764.00",100.00%
1000.0000.2600.55200.030,,Insurance,,,"$14,025.00",$0.00,"$14,025.00",,$0.00,$0.00,"$14,025.00",$0.00,"$14,025.00",100.00%
1000.0000.2600.55320.030,,Telephone,,,"$3,057.00",$0.00,"$3,057.00",,$0.00,$0.00,"$3,057.00",$0.00,"$3,057.00",100.00%
1000.0000.2600.55800.030,,Travel,,,$15.00,$0.00,,$15.00,$0.00,$0.00,$15.00,$0.00,$15.00,100.00%
1000.0000.2600.56000.030,,Supplies,,,"$12,925.00",$0.00,"$12,925.00",,$0.00,$0.00,"$12,925.00",$0.00,"$12,925.00",100.00%
1000.0000.2600.56011.030,,Materials,for Repair,,"$6,700.00",$0.00,"$6,700.00",,$0.00,$0.00,"$6,700.00",$0.00,"$6,700.00",100.00%
1000.0000.2600.56220.030,,Electricity,,,"$8,000.00",$0.00,"$8,000.00",,$0.00,$0.00,"$8,000.00",$0.00,"$8,000.00",100.00%
1000.0000.2600.56240.030,,Heating,Fuel,,"$28,000.00",$0.00,"$28,000.00",,$0.00,$0.00,"$28,000.00",$0.00,"$28,000.00",100.00%
,,Program:,OVERHEAD,- 0000,"$242,852.00",$0.00,"$242,852.00",,$0.00,$0.00,"$242,852.00","$93,855.00","$148,997.00",61.35%
,Function:,OPERATION,OF PLANT,- 2600,"$242,852.00",$0.00,"$242,852.00",,$0.00,$0.00,"$242,852.00","$93,855.00","$148,997.00",61.35%
,Cost,Center: POWNAL,ELEMENTARY,- 030,"$242,852.00",$0.00,"$242,852.00",,$0.00,$0.00,"$242,852.00","$93,855.00","$148,997.00",61.35%
1000.0000.2600.51180.040,,Custodian,Salaries,,"$146,409.00",$0.00,"$146,409.00",,$0.00,$0.00,"$146,409.00","$108,240.00","$38,169.00",26.07%
1000.0000.2600.52080.040,,Custodian,Benefits,,"$84,153.00",$0.00,"$84,153.00",,$0.00,$0.00,"$84,153.00",$0.00,"$84,153.00",100.00%
1000.0000.2600.52380.040,,Retirement,,,"$7,320.00",$0.00,"$7,320.00",,$0.00,$0.00,"$7,320.00",$0.00,"$7,320.00",100.00%
1000.0000.2600.53000.040,,Purchased,Professional,,$118.00,$0.00,,$118.00,$0.00,$0.00,$118.00,$0.00,$118.00,100.00%
1000.0000.2600.53300.040,,Employee,Training,,$125.00,$0.00,,$125.00,$0.00,$0.00,$125.00,$0.00,$125.00,100.00%
1000.0000.2600.54100.040,,Water/Sewage,,,"$10,958.00",$0.00,"$10,958.00",,$0.00,$0.00,"$10,958.00",$0.00,"$10,958.00",100.00%
1000.0000.2600.54300.040,,Purchased,Repairs/Maint,,"$53,057.00",$0.00,"$53,057.00",,$0.00,$0.00,"$53,057.00",$0.00,"$53,057.00",100.00%
1000.0000.2600.55200.040,,Insurance,,,"$21,986.00",$0.00,"$21,986.00",,$0.00,$0.00,"$21,986.00",$0.00,"$21,986.00",100.00%
1000.0000.2600.55320.040,,Telephone,,,"$4,337.00",$0.00,"$4,337.00",,$0.00,$0.00,"$4,337.00",$0.00,"$4,337.00",100.00%
1000.0000.2600.55800.040,,Travel,,,$15.00,$0.00,,$15.00,$0.00,$0.00,$15.00,$0.00,$15.00,100.00%
1000.0000.2600.56000.040,,Supplies,,,"$22,700.00",$0.00,"$22,700.00",,$0.00,$0.00,"$22,700.00",$0.00,"$22,700.00",100.00%
1000.0000.2600.56011.040,,Material,Repair,,"$6,500.00",$0.00,"$6,500.00",,$0.00,$0.00,"$6,500.00",$0.00,"$6,500.00",100.00%
1000.0000.2600.56013.040,,Major,Maintenance,,"$5,930.00",$0.00,"$5,930.00",,$0.00,$0.00,"$5,930.00",$0.00,"$5,930.00",100.00%
1000.0000.2600.56220.040,,Electricity,,,"$10,000.00",$0.00,"$10,000.00",,$0.00,$0.00,"$10,000.00",$0.00,"$10,000.00",100.00%
1000.0000.2600.56240.040,,Heating,Fuel,,"$39,000.00",$0.00,"$39,000.00",,$0.00,$0.00,"$39,000.00",$0.00,"$39,000.00",100.00%
