,,,,,,RSU,No. 5,,,,,,,
,Article 8,Transportation &,Buses-,Adopted,,,,,,,,,,
From,Date:,7/1/2025,To Date:,6/30/2026,Definition:,FY26,Adopted,,,,,,,
,,,,,,,,,,,FY26,Dollar,,Percent
,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,,Adopted,,,
,Account,,,Description,,,,,,,,,,
,1000.0000.2700.51020.900,,Ed,Tech Salaries,"$3,390.00",,,"$6,889.84","$6,395.76",$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.51040.900,,,Administrator Salary,"$93,934.00",,"$126,602.99",,"$78,000.00","$81,120.00","$92,024.00","$10,904.00",,13.44
,1000.0000.2700.51180.900,,Bus,Drivers Salaries,"$566,359.53",,"$482,704.11",,"$482,613.46","$496,536.00","$529,229.00","$32,693.00",,6.58
,1000.0000.2700.51200.900,,Substitute,Salaries,"$72,363.18",,,"$97,242.22","$76,594.85","$35,000.00","$77,112.00","$42,112.00",,120.32
,1000.0000.2700.52000.900,,Sub,Bus Driver Benefits,,$0.00,,"$22,100.98","$14,378.75",$0.00,"$11,983.00","$11,983.00",,0.00
,1000.0000.2700.52020.900,,Ed,Tech Benefits,$322.53,,,"$2,126.98","$1,697.63",$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.52030.900,,Substitute,Benefits,"$16,747.04",,,$0.00,$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.52040.900,,,Administrator Benefits,"$25,691.20",,,"$32,278.66","$21,333.88","$22,448.00","$20,362.00","($2,086.00)",,(9.29)
,1000.0000.2700.52080.900,,Bus,Driver Benefits,"$197,544.25",,"$165,980.57",,"$156,815.73","$267,724.00","$244,463.00","($23,261.00)",,(8.69)
,1000.0000.2700.52300.900,,Retirement,,"$2,179.82",,,$825.55,$144.60,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.52320.900,,Retirement,,$437.38,,,$739.71,$786.02,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.52340.900,,Retirement,,"$4,664.80",,,"$2,232.75",$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2700.52380.900,,Retirement,,"$10,565.45",,,"$8,301.40","$6,232.12","$30,779.00","$26,463.00","($4,316.00)",,(14.02)
,1000.0000.2700.53000.900,,Purchased,Professional,"$4,993.44",,,"$12,784.29","$4,008.83","$13,955.00","$13,932.00",($23.00),,(0.16)
,1000.0000.2700.53300.900,,Employee,Training,"$2,886.22",,,$0.00,$0.00,"$1,995.00","$2,100.00",$105.00,,5.26
,1000.0000.2700.53400.900,,Contracted,Services,,$0.00,,$0.00,"$4,237.40","$8,858.00","$7,700.00","($1,158.00)",,(13.07)
,1000.0000.2700.54300.900,,Purchased,Repair/Maint,"$31,902.28",,"$127,243.84",,"$164,681.62","$93,480.00","$180,200.00","$86,720.00",,92.77
,1000.0000.2700.54450.900,,Bus,Garage Lease,"$12,500.00",,,"$12,500.00","$13,000.00","$12,875.00","$13,000.00",$125.00,,0.97
,Adopted,04/09/2025,,,,,,,,,,,Page 77 of 91,
,,,,,,RSU,No. 5,,,,,,,
Article,8,Transportation,&,Buses- Adopted,,,,,,,,,,
From,Date:,7/1/2025,,To Date: 6/30/2026,Definition:,FY26,Adopted,,,,,,,
,,,,,,,,,,,FY26,Dollar,,Percent
,,,,,FY22 Actual,,FY23,Actual FY24,Actual FY25,Adopted,,Difference,,Difference
,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,
,1000.0000.2700.55200.900,,,Insurance,"$19,527.00",,,"$25,198.07","$28,998.05","$28,978.00","$31,968.00","$2,990.00",,10.32
,1000.0000.2700.55320.900,,,Telephone,,$0.00,,$0.00,$869.95,$0.00,"$3,000.00","$3,000.00",,0.00
