,,,,,RSU,No. 5,,,,,,,
FY27,Article,5 Student,and Staff,Support- Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,FY27,,Dollar,Percent
,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,Description,,,,,,,,,
,1000.0000.2210.52340.900,,,Retirement,"$3,058.64",,"$3,754.66","$4,458.19","$4,179.00","$4,409.00",,$230.00,5.50
,1000.0000.2210.53000.900,,,Purchased Professional,$62.40,,"$4,250.00",$861.41,"$5,000.00","$5,000.00",,$0.00,0.00
,1000.0000.2210.55810.900,,,Travel,$0.00,,$31.36,$0.00,$700.00,$700.00,,$0.00,0.00
,1000.0000.2210.56400.900,,,Curriculum Materials,"$50,000.00","$43,561.66",,"$51,751.42","$47,300.00","$56,500.00",,"$9,200.00",19.45
,1000.0000.2210.58100.900,,,Dues & Fees,"$1,784.00",,$185.37,$655.00,$505.00,$505.00,,$0.00,0.00
,Program:,OVERHEAD - 0000,,,"$147,247.60","$149,245.64",,"$172,143.08","$171,234.00","$190,226.00","$18,992.00",,11.09
,Function:,IMPROVEMENT OF,INSTRUCTION,- 2210,"$147,247.60","$149,245.64",,"$172,143.08","$171,234.00","$190,226.00","$18,992.00",,11.09
,1000.0000.2230.51040.900,,,Technology Director Salary,"$101,799.50","$112,000.00",,"$117,600.00","$124,656.00","$131,513.00",,"$6,857.00",5.50
,1000.0000.2230.51180.900,,,Support Wages,"$285,350.48","$258,261.18",,"$359,998.51","$367,877.00","$400,305.00","$32,428.00",,8.81
,1000.0000.2230.52040.900,,,Benefits,"$20,783.11","$25,656.22",,"$27,972.19","$35,691.00","$40,441.00",,"$4,750.00",13.31
,1000.0000.2230.52080.900,,,Benefits,"$93,686.72","$68,654.31",,"$92,984.46","$126,948.00","$136,299.00",,"$9,351.00",7.37
,1000.0000.2230.52340.900,,,Retirement,"$10,254.34","$11,423.89",,"$11,642.28","$12,341.00","$13,020.00",,$679.00,5.50
,1000.0000.2230.52380.900,,,Retirement,"$8,009.90",,"$8,331.47","$13,574.43","$22,250.00","$24,083.00",,"$1,833.00",8.24
,1000.0000.2230.53000.900,,,Purchased Professional,"$4,799.64",,"$4,751.49","$5,573.25","$7,012.00","$9,012.00",,"$2,000.00",28.52
,1000.0000.2230.54320.900,,,Tech Repairs/Maintenance,$0.00,,"$5,249.70","$3,441.96","$6,000.00","$6,000.00",,$0.00,0.00
,1000.0000.2230.54330.900,,,Software,$553.05,,"$2,787.47",$0.00,$0.00,$0.00,,$0.00,0.00
,1000.0000.2230.55000.900,,,Other Purchased Services,"$28,619.28","$41,370.82",,"$104,775.41","$116,131.00","$190,478.00","$74,347.00",,64.02
,1000.0000.2230.55200.900,,,Insurance (P&C),"$15,658.10","$16,303.05",,"$16,584.00","$16,500.00","$16,500.00",,$0.00,0.00
,1000.0000.2230.55800.900,,,Travel,"$1,370.43",,"$1,961.75","$1,591.02","$4,000.00","$6,000.00",,"$2,000.00",50.00
,,,,,Page,63 of 89,,,,,,,
