,,,,,,,,RSU No.,5,,,,,,,,
Article,5,Student and,Staff,Support-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,
,1000.0000.2110.51010.010,,Social,Worker,Salaries,,$0.00,,$0.00,,$0.00,"$35,000.00",,"$38,631.00","$3,631.00",,10.37
,1000.0000.2110.52010.010,,Social,Worker,Benefits,,$0.00,,$0.00,,$0.00,"$10,781.00",,"$14,908.00","$4,127.00",,38.28
,1000.0000.2110.52310.010,,Social,Worker,Retirement,,$0.00,,$0.00,,$0.00,"$1,565.00",,"$1,859.00",,$294.00,18.79
Program:,OVERHEAD,- 0000,,,,$0.00,,$0.00,,$0.00,"$47,346.00",,"$55,398.00",,"$8,052.00",,17.01
Function:,Attendance,& Social,Work,- 2110,,$0.00,,$0.00,,$0.00,"$47,346.00",,"$55,398.00",,"$8,052.00",,17.01
,1000.0000.2120.51010.010,,,Guidance Salaries,,,"$55,616.41",,"$97,478.35","$107,080.83",,"$149,369.00",,"$90,759.00","($58,610.00)",,(39.24)
,1000.0000.2120.52010.010,,,Benefits,,,"$3,385.99",,"$11,156.53","$10,208.66",,"$25,594.00",,"$43,455.00","$17,861.00",,69.79
,1000.0000.2120.52310.010,,,Retirement,,,$610.43,,"$3,743.10","$4,099.82",,"$6,676.00",,"$6,665.00",,($11.00),(0.16)
,1000.0000.2120.53000.010,,,Professional,Services,,$0.00,,$0.00,$226.25,,$300.00,,$300.00,,$0.00,0.00
,1000.0000.2120.54330.010,,,Software,,,$0.00,,$333.33,$333.33,,$334.00,,$334.00,,$0.00,0.00
,1000.0000.2120.55810.010,,Travel,- Guidance,,,$0.00,,$0.00,,$0.00,$200.00,,$200.00,,$0.00,0.00
,1000.0000.2120.56100.010,,,Supplies,,,$535.09,,$94.31,$239.00,,$525.00,,$525.00,,$0.00,0.00
,1000.0000.2120.57300.010,,,Equipment,,,$266.82,,$500.00,$464.06,,$750.00,,$0.00,($750.00),,(100.00)
,1000.0000.2120.58100.010,,Dues,& Fees,,,$0.00,,$254.00,$473.00,,$608.00,,$608.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,"$60,414.74","$113,559.62",,"$123,124.95",,"$184,356.00",,"$142,846.00",,"($41,510.00)",,(22.52)
Function:,,COUNSELING -,2120,,,"$60,414.74","$113,559.62",,"$123,124.95",,"$184,356.00",,"$142,846.00",,"($41,510.00)",,(22.52)
,1000.0000.2130.51010.010,,Nurse,Salary,,,"$68,809.41",,"$92,370.63","$73,164.93",,"$75,001.00",,"$75,001.00",,$0.00,0.00
,1000.0000.2130.51200.010,,Nurse,Substitute,- DCS,,$0.00,,"$1,470.00",,$0.00,,$0.00,$0.00,,$0.00,0.00
,03/27/2024,,,,,,,,,,,,,,,40 of 81,
,,,,,,,,RSU No.,5,,,,,,,,
Article,5,Student and,Staff,,Support- Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To,Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
Account,,,,,Description,,,,,,,,,,,,
,1000.0000.2130.52000.010,,,Employee,Benefits,,$0.00,,"$4,429.27",,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52010.010,,,Nurse Benefits,,,"$3,342.45",,"$20,852.69","$17,700.55",,"$20,643.00",,"$24,231.00","$3,588.00",,17.38
,1000.0000.2130.52030.010,,,Nurse Sub,Benefits - DCS,,$0.00,,$28.70,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52300.010,,,Retirement -,Stipends,,$0.00,,$52.56,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.52310.010,,,Retirement,,,$649.02,,"$2,777.99","$2,782.78",,"$3,353.00",,"$3,587.00",,$234.00,6.98
,1000.0000.2130.53000.010,,,Professional,Services,,$129.00,,$31.00,$319.00,,$300.00,,$300.00,,$0.00,0.00
,1000.0000.2130.54310.010,,,Repairs &,Maintenance,,$0.00,,$0.00,,$0.00,$135.00,,$135.00,,$0.00,0.00
,1000.0000.2130.55800.010,,,Travel,,,$0.00,,$5.04,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2130.56000.010,,,Supplies,,,"$1,019.53",,$792.18,"$1,209.02",,"$1,437.00",,"$1,437.00",,$0.00,0.00
,1000.0000.2130.58100.010,,,Dues & Fees,,,$0.00,,$0.00,,$0.00,,$0.00,$130.00,,$130.00,0.00
Program:,OVERHEAD,- 0000,,,,"$73,949.41","$122,810.06",,"$95,176.28",,"$100,869.00",,"$104,821.00",,"$3,952.00",,3.92
Function:,HEALTH,SERVICES,- 2130,,,"$73,949.41","$122,810.06",,"$95,176.28",,"$100,869.00",,"$104,821.00",,"$3,952.00",,3.92
,1000.0000.2213.51500.010,,,Stipends-Acad,Leadership and LCC,,$0.00,,"$29,535.00","$43,191.00",,"$27,177.00",,"$31,482.00","$4,305.00",,15.84
,1000.0000.2213.52000.010,,,Stipend Benefits,- DCS,,$0.00,,$528.39,"$7,383.56",,,$0.00,$532.00,,$532.00,0.00
,1000.0000.2213.52300.010,,,Stipend,Retirement - DCS,,$0.00,,"$1,171.71","$1,658.68",,,$0.00,"$1,407.00","$1,407.00",,0.00
,1000.0000.2213.52510.010,,,Tuition,Reimbursement,,$0.00,,$0.00,,$70.00,,$0.00,$0.00,,$0.00,0.00
,1000.0000.2213.53300.010,,,Professional,Services,,$0.00,,$140.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
Program:,OVERHEAD,- 0000,,,,$0.00,,"$31,375.10","$52,303.24",,"$27,177.00",,"$33,421.00",,"$6,244.00",,22.98
Function:,,INSTRUCTIONAL,STAFF,TRAINING,- 2213,$0.00,,"$31,375.10","$52,303.24",,"$27,177.00",,"$33,421.00",,"$6,244.00",,22.98
,1000.0000.2220.51010.010,,,Librarian Salary,,,"$72,481.15",,"$71,737.65","$75,593.65",,"$80,735.00",,"$95,441.00","$14,706.00",,18.22
,03/27/2024,,,,,,,,,,,,,,,41 of 81,
