,,,,,,,RSU,No.,5,,,,,,
Article,7 School,,Administration-,,Adopted,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2024,To,Date:,6/30/2025,
Account,Number,,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.0000.2400.51040.010,,Admin,Salary,,"$252,894.00",$0.00,"$252,894.00",,"$9,843.31","$9,843.31","$243,050.69","$246,082.69","($3,032.00)",-1.20%
,1000.0000.2400.51180.010,,Support,Wages,,"$94,464.00",$0.00,"$94,464.00",,$0.00,$0.00,"$94,464.00","$91,187.04","$3,276.96",3.47%
,1000.0000.2400.52040.010,,Admin,Benefits,,"$57,776.00",$0.00,"$57,776.00",,"$1,944.36","$1,944.36","$55,831.64",$0.00,"$55,831.64",96.63%
,1000.0000.2400.52080.010,,Support,Benefits,,"$23,666.00",$0.00,"$23,666.00",,$0.00,$0.00,"$23,666.00",$0.00,"$23,666.00",100.00%
,1000.0000.2400.52340.010,,Retirement,,,"$11,305.00",$0.00,"$11,305.00",,$438.96,$438.96,"$10,866.04",$0.00,"$10,866.04",96.12%
,1000.0000.2400.52380.010,,Retirement,,,"$4,723.00",$0.00,"$4,723.00",,$0.00,$0.00,"$4,723.00",$0.00,"$4,723.00",100.00%
,1000.0000.2400.53400.010,,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.010,,Postage,,,"$2,250.00",$0.00,"$2,250.00",,$0.00,$0.00,"$2,250.00",$0.00,"$2,250.00",100.00%
,1000.0000.2400.55800.010,,Travel,,,$520.00,$0.00,,$520.00,$0.00,$0.00,$520.00,$0.00,$520.00,100.00%
,1000.0000.2400.56000.010,,Supplies,,,"$1,200.00",$0.00,"$1,200.00",,$0.00,$0.00,"$1,200.00",$0.00,"$1,200.00",100.00%
,1000.0000.2400.56400.010,,Books,,,$150.00,$0.00,,$150.00,$0.00,$0.00,$150.00,$0.00,$150.00,100.00%
,1000.0000.2400.58100.010,,Dues &,Fees,,"$1,200.00",$0.00,"$1,200.00",,$0.00,$0.00,"$1,200.00",$0.00,"$1,200.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$450,388.00",$0.00,"$450,388.00",,"$12,226.63","$12,226.63","$438,161.37","$337,269.73","$100,891.64",22.40%
,Function:,,SCHOOL,ADMINISTRATION,- 2400,"$450,388.00",$0.00,"$450,388.00",,"$12,226.63","$12,226.63","$438,161.37","$337,269.73","$100,891.64",22.40%
,Cost,Center:,DURHAM,COMMUNITY,- 010,"$450,388.00",$0.00,"$450,388.00",,"$12,226.63","$12,226.63","$438,161.37","$337,269.73","$100,891.64",22.40%
,1000.0000.2400.51040.020,,Admin,Salary,,"$228,008.00",$0.00,"$228,008.00",,"$8,817.93","$8,817.93","$219,190.07","$220,448.07","($1,258.00)",-0.55%
,1000.0000.2400.51180.020,,Support,Wages,,"$61,815.00",$0.00,"$61,815.00",,"$1,646.64","$1,646.64","$60,168.36","$61,076.75",($908.39),-1.47%
,1000.0000.2400.52040.020,,Admin,Benefits,,"$45,132.00",$0.00,"$45,132.00",,"$1,338.64","$1,338.64","$43,793.36","$4,519.22","$39,274.14",87.02%
,1000.0000.2400.52080.020,,Support,Benefits,,"$18,519.00",$0.00,"$18,519.00",,$135.35,$135.35,"$18,383.65",$0.00,"$18,383.65",99.27%
,1000.0000.2400.52340.020,,Retirement,,,"$9,882.00",$0.00,"$9,882.00",,$394.16,$394.16,"$9,487.84",$0.00,"$9,487.84",96.01%
,1000.0000.2400.52380.020,,Retirement,,,"$3,091.00",$0.00,"$3,091.00",,$82.33,$82.33,"$3,008.67",$0.00,"$3,008.67",97.34%
,1000.0000.2400.53400.020,,Other,Professional Services,,$240.00,$0.00,,$240.00,$0.00,$0.00,$240.00,$0.00,$240.00,100.00%
,1000.0000.2400.55310.020,,Postage,,,"$1,000.00",$0.00,"$1,000.00",,$0.00,$0.00,"$1,000.00",$0.00,"$1,000.00",100.00%
,1000.0000.2400.55800.020,,Travel,,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,1000.0000.2400.56000.020,,Supplies,,,$500.00,$0.00,,$500.00,$0.00,$0.00,$500.00,$0.00,$500.00,100.00%
,1000.0000.2400.58100.020,,Dues &,Fees,,"$1,150.00",$0.00,"$1,150.00",,$0.00,$0.00,"$1,150.00",$0.00,"$1,150.00",100.00%
,,,Program:,OVERHEAD,- 0000,"$369,637.00",$0.00,"$369,637.00",,"$12,415.05","$12,415.05","$357,221.95","$286,044.04","$71,177.91",19.26%
,Function:,,SCHOOL,ADMINISTRATION,- 2400,"$369,637.00",$0.00,"$369,637.00",,"$12,415.05","$12,415.05","$357,221.95","$286,044.04","$71,177.91",19.26%
,,Cost,Center:,MORSE STREET,- 020,"$369,637.00",$0.00,"$369,637.00",,"$12,415.05","$12,415.05","$357,221.95","$286,044.04","$71,177.91",19.26%
,1000.0000.2400.51040.030,,Admin,Salary,,"$128,449.00",$0.00,"$128,449.00",,"$5,010.93","$5,010.93","$123,438.07","$125,273.07","($1,835.00)",-1.43%
,1000.0000.2400.51180.030,,Support,Wages,,"$48,993.00",$0.00,"$48,993.00",,$0.00,$0.00,"$48,993.00","$3,150.00","$45,843.00",93.57%
,1000.0000.2400.52040.030,,Admin,Benefits,,"$28,955.00",$0.00,"$28,955.00",,$896.37,$896.37,"$28,058.63",$0.00,"$28,058.63",96.90%
,,,,,,,Page,35 of,44,,,,,,
