,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2 Special,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,
,1000.2800.2160.52310.010,,,,Retirement,"$2,848.22",,"$3,440.73","$7,310.25","$4,109.00","$4,413.00",,$304.00,7.40
,1000.2800.2160.55800.010,,,Travel,,$210.00,,$0.00,$0.00,$50.00,$50.00,,$0.00,0.00
,Program: OTHER,SPECIAL,PROGRAMS -,2800,,"$88,613.96","$94,111.60",,"$106,835.49","$115,948.00","$124,498.00",,"$8,550.00",7.37
,Function: OT -,2160,,,,"$88,613.96","$94,111.60",,"$106,835.49","$115,948.00","$124,498.00",,"$8,550.00",7.37
Cost,Center:,DURHAM COMMUNITY,- 010,,,"$997,946.33","$1,010,146.06",,"$1,137,202.87","$1,286,769.00","$1,553,029.00","$266,260.00",,20.69
,1000.2200.1000.51010.020,,,Teacher,Salaries,"$75,274.26","$65,389.31",,"$114,344.62","$81,764.00","$111,999.00","$30,235.00",,36.98
,1000.2200.1000.51020.020,,,Ed,Tech Salaries,"$15,693.82","$52,982.21",,"$45,073.15","$245,132.00","$34,840.00","($210,292.00)",,(85.79)
,1000.2200.1000.52010.020,,,Teacher,Benefits,"$23,693.70","$21,008.72",,"$28,050.59","$30,381.00","$33,402.00",,"$3,021.00",9.94
,1000.2200.1000.52020.020,,,Ed,Tech Benefits,"$5,787.39","$12,630.54",,"$10,444.86","$84,047.00","$17,159.00","($66,888.00)",,(79.58)
,1000.2200.1000.52310.020,,,,Retirement,"$10,513.97","$11,283.75",,"$5,092.18","$3,655.00","$5,006.00",,"$1,351.00",36.96
,1000.2200.1000.52320.020,,,,Retirement,$351.33,,"$2,381.04","$1,945.10","$10,957.00","$1,682.00","($9,275.00)",,(84.65)
,1000.2200.1000.56100.020,,,,Instructional Supplies,$0.00,,$0.00,$168.72,$500.00,"$4,725.00",,"$4,225.00",845.00
,Program:,RESOURCE CLASSROOM,,PLACEMENT -,2200,"$131,314.47","$165,675.57",,"$205,119.22","$456,436.00","$208,813.00","($247,623.00)",,(54.25)
,1000.2300.1000.51010.020,,,Teacher,Salaries,"$133,740.00","$140,970.18",,"$149,935.76","$161,744.00","$133,281.00","($28,463.00)",,(17.60)
,1000.2300.1000.51020.020,,,Ed,Tech Salaries,"$78,317.29","$73,322.56",,"$160,774.34",$0.00,"$225,114.00","$225,114.00",,0.00
,1000.2300.1000.52010.020,,,Teacher,Benefits,"$34,807.54","$33,801.93",,"$42,183.72","$48,167.00","$26,882.00","($21,285.00)",,(44.19)
,1000.2300.1000.52020.020,,,Ed,Tech Benefits,"$5,971.31","$13,845.57",,"$22,470.54",$0.00,"$94,146.00","$94,146.00",,0.00
,,,,,,Page,18 of 89,,,,,,,
