,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2 Special,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,
,1000.2200.1000.51010.010,,,Teacher,Salaries,"$215,267.51","$237,537.92",,"$259,502.11","$279,351.00","$380,596.00","$101,245.00",,36.24
,1000.2200.1000.51020.010,,,Ed,Tech Salaries,"$182,366.37","$184,480.17",,"$185,549.87","$131,428.00","$198,454.00","$67,026.00",,51.00
,1000.2200.1000.52010.010,,,Teacher,Benefits,"$47,544.60","$44,160.97",,"$65,353.17","$64,261.00","$98,590.00","$34,329.00",,53.42
,1000.2200.1000.52020.010,,,Ed,Tech Benefits,"$54,757.64","$50,186.08",,"$65,662.03","$38,027.00","$101,413.00","$63,386.00",,166.69
,1000.2200.1000.52310.010,,,,Retirement,"$8,266.04","$10,619.17",,"$11,556.00","$12,487.00","$17,013.00",,"$4,526.00",36.25
,1000.2200.1000.52320.010,,,,Retirement,"$5,595.41",,"$5,965.15","$6,052.98","$5,875.00","$9,581.00",,"$3,706.00",63.08
,1000.2200.1000.56100.010,,,,Instructional Supplies,$0.00,,$0.00,$134.66,$100.00,"$3,075.00",,"$2,975.00","2,975.00"
Program:,,RESOURCE CLASSROOM,,PLACEMENT -,2200,"$513,797.57","$532,949.46",,"$593,810.82","$531,529.00","$808,722.00","$277,193.00",,52.15
,1000.2300.1000.51010.010,,,Teacher,Salaries,"$50,007.76","$53,465.06",,"$58,882.54","$65,036.00","$69,588.00",,"$4,552.00",7.00
,1000.2300.1000.51020.010,,,Ed,Tech Salaries,"$84,104.17","$68,547.58",,"$75,897.95","$164,880.00","$64,813.00","($100,067.00)",,(60.69)
,1000.2300.1000.52010.010,,,Teacher,Benefits,"$18,140.71","$18,603.90",,"$23,317.61","$27,184.00","$29,204.00",,"$2,020.00",7.43
,1000.2300.1000.52020.010,,,Ed,Tech Benefits,"$20,370.26","$12,437.05",,"$14,496.73","$91,805.00","$36,567.00","($55,238.00)",,(60.17)
,1000.2300.1000.52310.010,,,,Retirement,"$1,920.32",,"$2,389.95","$2,622.03","$2,907.00","$3,111.00",,$204.00,7.02
,1000.2300.1000.52320.010,,,,Retirement,"$5,510.10",,"$2,907.96","$3,224.74","$7,370.00","$3,129.00","($4,241.00)",,(57.54)
Program:,SELF,CONTAINED,CLASS,PLACEMENT -,2300,"$180,053.32","$158,351.50",,"$178,441.60","$359,182.00","$206,412.00","($152,770.00)",,(42.53)
Function:,REGULAR,INSTRUCTION,- 1000,,,"$693,850.89","$691,300.96",,"$772,252.42","$890,711.00","$1,015,134.00","$124,423.00",,13.97
,,,,,,Page,16 of 89,,,,,,,
