,,,,RSU,No. 5,,,,,,,
FY27,Article,7 School,Administration- Proposed,,,,,,,,,
From,Date:,7/1/2026,To Date: 6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,FY27,,Dollar,Percent
,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2400.51040.010,,Admin Salary,"$230,806.00","$243,767.00",,"$272,254.46","$270,646.00","$285,533.00","$14,887.00",,5.50
,1000.0000.2400.51180.010,,Support Wages,"$82,988.27","$91,863.01",,"$103,385.62","$100,527.00","$101,329.00",,$802.00,0.80
,1000.0000.2400.52040.010,,Admin Benefits,"$51,312.82","$40,021.72",,"$52,376.75","$62,446.00","$69,251.00",,"$6,805.00",10.90
,1000.0000.2400.52080.010,,Support Benefits,"$23,255.02","$21,746.08",,"$22,060.69","$25,368.00","$35,116.00",,"$9,748.00",38.43
,1000.0000.2400.52340.010,,Retirement,"$8,816.86","$10,486.81",,"$12,142.91","$12,098.00","$12,764.00",,$666.00,5.51
,1000.0000.2400.52380.010,,Retirement,$0.00,,$0.00,"$2,268.24","$5,026.00","$5,472.00",,$446.00,8.87
,1000.0000.2400.53400.010,,Other Professional Services,$0.00,,$0.00,$0.00,$240.00,$240.00,,$0.00,0.00
,1000.0000.2400.55310.010,,Postage,"$1,754.45",,"$1,840.95","$2,047.49","$2,250.00","$2,250.00",,$0.00,0.00
,1000.0000.2400.55800.010,,Travel,$408.77,,$344.18,$269.64,$520.00,$520.00,,$0.00,0.00
,1000.0000.2400.56000.010,,Supplies,"$1,028.67",,"$1,192.51","$1,148.88","$1,200.00","$1,200.00",,$0.00,0.00
,1000.0000.2400.56400.010,,Books,$49.90,,$130.85,$134.58,$150.00,$150.00,,$0.00,0.00
,1000.0000.2400.58100.010,,Dues & Fees,$421.21,,$872.00,"$1,158.00","$1,368.00","$1,368.00",,$0.00,0.00
,Program:,OVERHEAD - 0000,,"$400,841.97","$412,265.11",,"$469,247.26","$481,839.00","$515,193.00","$33,354.00",,6.92
,Function: SCHOOL,ADMINISTRATION,- 2400,"$400,841.97","$412,265.11",,"$469,247.26","$481,839.00","$515,193.00","$33,354.00",,6.92
Cost,Center:,DURHAM COMMUNITY,- 010,"$400,841.97","$412,265.11",,"$469,247.26","$481,839.00","$515,193.00","$33,354.00",,6.92
,1000.0000.2400.51040.020,,Admin Salary,"$117,628.00","$212,509.00",,"$229,266.00","$243,393.00","$256,782.00","$13,389.00",,5.50
,,,,Page,69 of 89,,,,,,,
