,,2024-2025,,,
,,Superintendent'sProposedBudgetbyArticle,,,
ARTICLE,Description,Adopted,Proposed,Difference,Difference
#,,2023-2024,2024-2025,inDollars,%
Article1,RegularInstruction,"$17,072,759","$18,390,052","$1,317,293",7.72%
Article2,SpecialEducation,"$5,366,821","$5,870,507","$503,686",9.39%
Article3,Career&Technical,"$272,017","$289,668","$17,651",6.49%
,Education,,,,
Article4,OtherInstruction,"$1,044,071","$1,034,849","$(9,222)",-0.88%
,(Co-Curr&Athletics),,,,
Article5,Student&StaffSupport,"$3,867,554","$4,371,246","$503,692",13.02%
Article6,SystemAdministration,"$1,074,251","$1,179,440","$105,189",9.79%
Article7,SchoolAdministration,"$2,067,029","$2,342,210","$275,181",13.31%
Article8,Transportation&Buses,"$1,551,608","$1,586,682","$35,074",2.26%
Article9,Facilities&Maintenance,"$5,219,819","$5,139,408","$(80,411)",-1.54%
Article10,DebtService,"$1,139,395","$1,111,064","$(28,331)",-2.49%
Article11,AllOther/Nutrition,"$293,245","$185,334","$(107,911)",-36.80%
,TotalArticles1-11Budget,"$38,968,569","$41,500,460","$2,531,891",
,AdultEducation,"$112,000","$112,000",$0,0.00%
,TotalOperatingBudget,"$39,080,569","$41,612,460","$2,531,891",6.48%
