,,,,,RSU,No.,5,,,,,,
Article 2,Special,Education,- Adopted,,,,,,,,,,
From Date:,3/22/2023,,To Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,,
,,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,,Difference
,,,,,,,,,FY24,Adopted,,,
Account,,,Description,,,,,,,,,,
1000.2800.2160.52010.010,,OT,Benefits,$0.00,"$2,141.87",,"$10,562.07",,"$21,038.00","$18,008.00",,"($3,030.00)",(14.40)
1000.2800.2160.52010.020,,OT,Benefits,"$4,734.25","$3,302.79",,,"$2,875.04","$3,319.00","$9,776.00",,"$6,457.00",194.55
1000.2800.2160.52010.030,,OT,Benefits,$0.00,,$470.14,,"$3,040.72","$4,204.00","$5,293.00",,"$1,089.00",25.90
1000.2800.2160.52010.040,,OT,Benefits,$199.10,,$32.07,,$958.10,"$12,832.00","$1,007.00",,"($11,825.00)",(92.15)
1000.2800.2160.52010.050,,OT,Benefits,$99.56,,$16.07,,"$2,013.25","$1,609.00","$2,126.00",,$517.00,32.13
1000.2800.2160.52010.300,,OT,Benefits,$99.35,,$16.04,,$479.65,$494.00,$504.00,,$10.00,2.02
1000.2800.2160.52310.010,,,Retirement,$0.00,,$0.00,,"$1,926.94","$3,484.00","$3,000.00",,($484.00),(13.89)
1000.2800.2160.52310.020,,,Retirement,"$1,340.28",,$327.18,,"$1,441.68","$1,885.00","$3,256.00",,"$1,371.00",72.73
1000.2800.2160.52310.030,,,Retirement,$0.00,,$0.00,,$553.63,$871.00,$883.00,,$12.00,1.38
1000.2800.2160.52310.040,,,Retirement,$446.69,,$109.08,,$483.69,"$1,537.00",$617.00,,($920.00),(59.86)
1000.2800.2160.52310.050,,,Retirement,$223.34,,$54.54,,$515.32,$306.00,$350.00,,$44.00,14.38
1000.2800.2160.52310.300,,,Retirement,$223.35,,$54.48,,$241.89,$267.00,$308.00,,$41.00,15.36
1000.2800.2160.55800.010,,Travel,,$0.00,,$0.00,,$172.87,$210.00,$0.00,,($210.00),(100.00)
1000.2800.2160.55800.020,,Travel,,$0.00,,$0.00,,$0.00,$125.00,$0.00,,($125.00),(100.00)
1000.2800.2160.55800.030,,Travel,,$0.00,,$0.00,,$0.00,$125.00,$0.00,,($125.00),(100.00)
1000.2800.2160.55800.040,,Travel,,$0.00,,$0.00,,$0.00,$125.00,$0.00,,($125.00),(100.00)
1000.2800.2160.55800.050,,Travel,,$0.00,,$0.00,,$0.00,$125.00,$0.00,,($125.00),(100.00)
1000.2800.2160.55800.300,,Travel,,$0.00,,$0.00,,$0.00,$125.00,$0.00,,($125.00),(100.00)
1000.2800.2160.55800.900,,Travel,- OT - District Wide,$0.00,,$0.00,,$0.00,$0.00,$835.00,,$835.00,0.00
1000.2800.2170.51010.950,,PT,Salary,$0.00,"$38,522.39",,"$38,425.23",,"$73,607.32","$60,522.00",,"($13,085.32)",(17.78)
1000.2800.2170.52010.950,,PT,Benefits,$0.00,"$4,183.76",,"$10,538.82",,"$5,156.00","$16,519.00",,"$11,363.00",220.38
1000.2800.2170.52310.950,,PT,Retirement,$0.00,,$351.36,,"$1,577.76","$3,062.00","$2,705.00",,($357.00),(11.66)
1000.2800.2170.55800.900,,Travel,- PT - District Wide,$0.00,,$0.00,,$0.00,$0.00,$500.00,,$500.00,0.00
1000.2800.2170.55800.950,,Travel,,$0.00,,$0.00,,$0.00,$500.00,$0.00,,($500.00),(100.00)
,03/22/2023,,,,,,,,,,,Page 20,
