,,,,,,,RSU,No.,5,,,,,
FY25,Article,2 Special,,Education-,Proposed,,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,,Percent
,,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
Function:,Attendance,& Social,Work -,2110,,"$65,299.18","$80,785.34",,"$84,265.44",,"$89,996.00","$102,742.00","$12,746.00",14.16
,1000.2800.2140.51010.010,,,Psychological,Services Salary,"$22,929.90",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52010.010,,Psych,Services,Benefit,"$1,278.25",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.52310.010,,,Retirement,,$294.30,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.2800.2140.55800.010,,Travel,,,$0.00,,$14.94,,$530.38,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$24,502.45",,$14.94,,$530.38,$0.00,$0.00,$0.00,0.00
Function:,,PSYCHOLOGICAL,- 2140,,,"$24,502.45",,$14.94,,$530.38,$0.00,$0.00,$0.00,0.00
,1000.2800.2150.51010.010,,Speech,&,Audiology Salaries,"$73,212.07","$79,211.62",,"$112,855.21",,"$108,925.00","$116,964.00","$8,039.00",7.38
,1000.2800.2150.52010.010,,Speech,&,Audiology Benefits,"$2,135.57","$9,707.88",,"$12,968.99",,"$14,233.00","$21,108.00","$6,875.00",48.30
,1000.2800.2150.52310.010,,,Retirement,,$734.22,"$3,252.56",,,"$4,333.27","$4,869.00","$5,351.00",$482.00,9.90
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$76,081.86","$92,172.06",,"$130,157.47",,"$128,027.00","$143,423.00","$15,396.00",12.03
Function:,SPEECH,&,AUDIOLOGY -,2150,,"$76,081.86","$92,172.06",,"$130,157.47",,"$128,027.00","$143,423.00","$15,396.00",12.03
,1000.2800.2160.51010.010,,OT,Salary,,"$59,199.84","$50,178.64",,"$72,307.31",,"$67,107.00","$76,811.00","$9,704.00",14.46
,1000.2800.2160.52010.010,,OT,Benefits,,"$2,141.87","$10,562.07",,"$13,248.43",,"$18,008.00","$25,665.00","$7,657.00",42.52
,1000.2800.2160.52310.010,,,Retirement,,$0.00,"$1,926.94",,,"$2,848.22","$3,000.00","$3,745.00",$745.00,24.83
,1000.2800.2160.55800.010,,Travel,,,$0.00,,$172.87,,$210.00,$0.00,$0.00,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,,"$61,341.71","$62,840.52",,"$88,613.96",,"$88,115.00","$106,221.00","$18,106.00",20.55
Function:,OT -,2160,,,,"$61,341.71","$62,840.52",,"$88,613.96",,"$88,115.00","$106,221.00","$18,106.00",20.55
Cost,Center:,DURHAM,COMMUNITY,- 010,,"$785,815.75","$911,939.54",,"$995,557.56",,"$1,088,275.00","$1,218,576.00","$130,301.00",11.97
,03/13/2024,,,,,,,,,,,,15,
