,,,,,,RSU 5,,,,,,
,,,,2023-2024,CITIZENS,,ADOPTED,BUDGET,,,,
,,,,,,Adopted,2022-,Adopted,2023-,,,Difference
Article,#,,,Description,,2023,Budget,2024,Budget,Difference,$,%
Article,1,Regular,Instruction,,,$,"16,401,257",$,"17,072,759",$,"671,502",4.09%
Article,2,Special,Education,,,$,"4,972,716",$,"5,366,821",$,"394,105",7.93%
Article,3,Career,& Technicial,Education,,$,"184,596",$,"272,017",$,"87,421",47.36%
Article,4,Other,Instruction,(Co-Curricular &,Athletics),$,"919,069",$,"1,044,071",$,"125,002",13.60%
Article,5,Student,& Staff Support,,,$,"3,594,805",$,"3,867,554",$,"272,749",7.59%
Article,6,System,Administration,,,$,"1,082,988",$,"1,074,251",$,"(8,737)",-0.81%
Article,7,School,Administration,,,$,"1,942,616",$,"2,067,029",$,"124,413",6.40%
Article,8,,Transportation &,Buses,,$,"1,438,023",$,"1,551,608",$,"113,585",7.90%
Article,9,Facilities,Maintenance,,,$,"5,100,233",$,"5,219,819",$,"119,586",2.34%
Article,10Debt,,Service & Other,Commitments,,$,"1,181,603",$,"1,139,395",$,"(42,208)",-3.57%
Article,11All,Other,Expenses,"(Nurtition, Crossing",Guards),$,"293,245",$,"293,245",$,-,0.00%
,,,,Total Articles,1-11 Budget,$,"37,111,151",$,"38,968,569",$,"1,857,418",5.01%
,,Adult,Education,,,$,"112,000",$,"112,000",$,-,0.00%
,,,,Total Operating,Budget,$,"37,223,151",$,"39,080,569",$,"1,857,418",4.99%
,,Cost,Centers,,,,,,,,,
,,010 =,Durham,Community School,,,,,,,,
,,020 =,Morse Street,School,,,,,,,,
,,030 =,Pownal Elementary,School,,,,,,,,
,,040 =,Mast Landing,School,,,,,,,,
,,050 =,Freeport Middle,School,,,,,,,,
,,300 =,Freeport High,School,,,,,,,,
,,900 =,District Wide,,,,,,,,,
,,950 =,K-8,,,,,,,,,
,,990 =,9-12,,,,,,,,,
,Page 1 of,80,,,,,,,,,,kmw 07-14-2023
,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction- Adopted,,,,,,,,,
From,Date:,7/1/2023,To Date:,6/30/2024 Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.1100.1000.51010.010,,Teacher Salary,"$1,688,519.83","$1,921,742.54",,"$1,791,633.18",,"$2,060,580.00","$2,179,945.00","$119,365.00",5.79
,1000.1100.1000.51020.010,,Ed Tech Salaries,"$86,416.39","$127,074.41",,"$66,891.89",,"$89,990.00","$86,896.00","($3,094.00)",(3.44)
,1000.1100.1000.51230.010,,Salaries-Subs,"$54,336.20","$151,065.34",,"$97,265.92",,"$65,000.00","$65,000.00",$0.00,0.00
,1000.1100.1000.51500.010,,Stipends,"$1,107.07","$3,045.47",,,$0.00,"$32,870.00",$0.00,"($32,870.00)",(100.00)
,1000.1100.1000.52000.010,,Stipend Benefit,$468.94,,$4.17,,$0.00,$422.00,$0.00,($422.00),(100.00)
,1000.1100.1000.52010.010,,Teacher Benefits,"$433,144.51","$112,489.65",,"$429,365.34",,"$472,460.00","$525,027.00","$52,567.00",11.13
,1000.1100.1000.52020.010,,Ed Tech Benefits,"$33,990.57","$15,543.29",,"$24,178.63",,"$42,408.00","$57,114.00","$14,706.00",34.68
,1000.1100.1000.52030.010,,Benefits-Subs,"$2,416.84",,$145.72,,"$5,111.41","$1,007.00","$1,007.00",$0.00,0.00
,1000.1100.1000.52300.010,,Retirement,$39.63,,$0.00,,$0.00,"$1,213.00",$0.00,"($1,213.00)",(100.00)
,1000.1100.1000.52310.010,,Retirement,"$70,712.55","$17,764.62",,"$74,706.66",,"$85,779.00","$97,444.00","$11,665.00",13.60
,1000.1100.1000.52320.010,,Retirement,"$2,827.00",,$997.74,,"$2,568.61","$3,629.00","$4,156.00",$527.00,14.52
,1000.1100.1000.52330.010,,Retirement,$692.81,,$819.61,,"$2,115.59","$2,704.00","$2,704.00",$0.00,0.00
,1000.1100.1000.53400.010,,Professional Services,"$6,380.39","$11,369.64",,"$19,209.98",,"$20,586.90","$23,538.00","$2,951.10",14.33
,1000.1100.1000.54300.010,,Copiers- Equipment Maint,"$2,997.18","$15,303.48",,"$10,625.64",,"$11,100.00","$15,600.00","$4,500.00",40.54
,1000.1100.1000.54330.010,,Software,$962.87,"$1,313.13",,,"$6,123.43","$9,360.65","$8,038.00","($1,322.65)",(14.13)
,1000.1100.1000.55800.010,,Travel,"$1,838.67",,$326.84,,$700.81,"$2,000.00","$2,000.00",$0.00,0.00
,1000.1100.1000.56100.010,,Supplies,"$54,294.37","$48,047.68",,"$53,211.22",,"$63,031.09","$66,208.00","$3,176.91",5.04
,1000.1100.1000.56400.010,,Books,"$16,969.07","$9,515.23",,"$10,643.60",,"$12,194.64","$15,800.00","$3,605.36",29.57
,1000.1100.1000.57300.010,,Equipment,"$17,475.78","$20,356.46",,,"$5,740.17","$14,109.58","$7,285.00","($6,824.58)",(48.37)
,1000.1100.1000.58100.010,,Dues & Fees,$0.00,,$409.00,,$169.00,$585.00,$585.00,$0.00,0.00
Program:,,ELEMENTARY,PROGRAMS - 1100,"$2,475,590.67","$2,457,334.02",,"$2,600,261.08",,"$2,991,029.86","$3,158,347.00","$167,317.14",5.59
,Page 2,of 80,,,,,,,,,,
