,,,,,RSU,No.,5,,,,,
FY25,Article,4 Other,Instruction- Proposed,,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.9500.1000.52000.300,,Stipend Benefits,$440.91,"$4,255.51",,"$10,785.59",,"$2,130.00","$1,710.00",($420.00),(19.72)
,1000.9500.1000.52300.300,,Retirement,$0.00,"$2,894.24",,,"$2,395.63","$4,195.00","$4,524.00",$329.00,7.84
,1000.9500.1000.53400.300,,Co-Curricular Purch Professional,$0.00,,$0.00,,$0.00,"$4,377.00","$4,377.00",$0.00,0.00
,1000.9500.1000.55800.300,,Co-Curricular Travel,$0.00,,$0.00,,$0.00,$150.00,$200.00,$50.00,33.33
,1000.9500.1000.56000.300,,Supplies,$0.00,,$697.93,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.9500.1000.56100.300,,Instructional Supplies,"$2,692.79","$2,550.74",,,"$5,535.00","$2,670.00","$2,770.00",$100.00,3.75
,1000.9500.1000.58100.300,,Dues and Fees,"$5,643.07","$8,397.22",,,"$8,465.16","$9,550.00","$10,740.00","$1,190.00",12.46
Program:,,CO-CURRICULAR,9-12 - 9500,"$88,934.17","$89,993.96",,"$97,182.80",,"$116,927.00","$125,526.00","$8,599.00",7.35
,1000.9600.1000.51500.300,,Stipends-Coaches,"$151,983.60","$155,001.69",,"$148,772.29",,"$163,381.00","$175,355.00","$11,974.00",7.33
,1000.9600.1000.52000.300,,Stipend Benefits,$719.07,"$10,869.48",,"$15,866.11",,"$3,708.00","$2,964.00",($744.00),(20.06)
,1000.9600.1000.52030.300,,Other Benefits,$144.61,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.9600.1000.52300.300,,Retirement,$116.48,"$3,797.32",,,"$2,977.92","$7,303.00","$7,838.00",$535.00,7.33
,1000.9600.1000.52330.300,,Retirement,$0.00,,$0.96,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.9600.1000.53000.300,,Game Officials,"$27,704.56","$40,556.96",,"$43,524.05",,"$54,557.00","$55,453.00",$896.00,1.64
,1000.9600.1000.55000.300,,Purchased Services,"$28,007.12","$25,959.92",,"$35,208.98",,"$103,710.00","$13,690.00","($90,020.00)",(86.80)
,1000.9600.1000.55800.300,,Travel,"$1,806.00","$1,276.33",,,$572.07,"$1,270.00","$1,270.00",$0.00,0.00
,1000.9600.1000.56000.300,,Supplies,"$45,470.85","$48,378.17",,"$41,746.31",,"$42,000.00","$44,438.00","$2,438.00",5.80
,1000.9600.1000.58100.300,,Dues and Fees,"$34,853.33","$43,562.69",,"$46,310.95",,"$50,114.00","$49,940.00",($174.00),(0.35)
Program:,,EXTRA-CURRICULAR,9-12 - 9600,"$290,805.62","$329,403.52",,"$334,978.68",,"$426,043.00","$350,948.00","($75,095.00)",(17.63)
Function:,REGULAR,INSTRUCTION,- 1000,"$379,739.79","$425,392.70",,"$435,889.26",,"$542,970.00","$476,474.00","($66,496.00)",(12.25)
,1000.9600.2330.51010.300,,Athletic Director Salary - FHS,$0.00,"$73,661.16",,"$100,618.86",,"$76,127.00","$80,080.00","$3,953.00",5.19
,03/13/2024,,,,,,,,,,37,
