,,,,,,RSU,No.,5,,,,,
Article,9,Operations,& Maintenance-,Adopted,,,,,,,,,
From,Date:,7/1/2023,To,Date: 6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,Percentage
,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,,
,1000.0000.2600.51180.300,,Custodian,Salaries,"$290,708.72","$287,887.30",,"$211,961.60",,"$230,214.00","$192,205.00","($38,009.00)",(16.51)
,1000.0000.2600.51200.300,,Salaries of,Temporary Employees,$0.00,,$0.00,,"$4,122.01",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.52000.300,,Employee,Benefits,$0.00,,$0.00,,$337.98,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.52080.300,,Custodian,Benefits,"$114,252.47","$80,240.71",,"$72,610.43",,"$123,232.00","$81,555.00","($41,677.00)",(33.82)
,1000.0000.2600.52380.300,,Retirement,,$0.00,,$0.00,,$0.00,$0.00,"$2,418.00","$2,418.00",0.00
,1000.0000.2600.53300.300,,Employee,Training,$0.00,,$0.00,,$0.00,$125.00,$125.00,$0.00,0.00
,1000.0000.2600.54100.300,,Water/Sewage,,"$11,650.09","$8,699.96",,"$13,510.07",,"$14,550.00","$15,050.00",$500.00,3.44
,1000.0000.2600.54300.300,,Purchased,Repair,"$59,612.54","$60,324.94",,"$60,127.46",,"$79,770.04","$82,790.00","$3,019.96",3.79
,1000.0000.2600.55200.300,,Insurance,,"$13,350.12","$14,047.73",,"$15,192.75",,"$18,880.15","$22,746.00","$3,865.85",20.48
,1000.0000.2600.55320.300,,Telephone,,"$5,095.21","$5,232.02",,,"$5,839.00","$8,300.00","$6,400.00","($1,900.00)",(22.89)
,1000.0000.2600.56000.300,,Supplies,,"$33,860.33","$24,265.23",,"$28,822.65",,"$40,500.00","$40,500.00",$0.00,0.00
,1000.0000.2600.56011.300,,Materials for,Repair,"$5,918.71","$6,271.26",,,"$4,748.62","$7,000.00","$7,000.00",$0.00,0.00
,1000.0000.2600.56013.300,,Major Maintenance,,"$1,802.50","$2,054.86",,"$26,101.37",,"$11,600.00","$11,600.00",$0.00,0.00
,1000.0000.2600.56220.300,,Electricity,,"$58,541.32","$51,987.76",,"$67,410.97",,"$60,642.00","$58,390.00","($2,252.00)",(3.71)
,1000.0000.2600.56240.300,,Heating Fuel,,"$55,844.90","$68,213.16",,"$84,503.55",,"$92,000.00","$93,600.00","$1,600.00",1.74
Program:,OVERHEAD,- 0000,,,"$650,636.91","$609,224.93",,"$595,288.46",,"$686,813.19","$614,379.00","($72,434.19)",(10.55)
Function:,OPERATION,OF,PLANT - 2600,,"$650,636.91","$609,224.93",,"$595,288.46",,"$686,813.19","$614,379.00","($72,434.19)",(10.55)
,1000.0000.2680.58310.300,,Principal-High,School Renovation,"$905,000.00","$905,000.00",,"$905,000.00",,"$900,000.00","$680,000.00","($220,000.00)",(24.44)
,1000.0000.2680.58320.300,,Interest-High,School Renovation,"$461,975.01","$416,745.00",,"$367,175.00",,"$327,425.00","$289,000.00","($38,425.00)",(11.74)
Program:,OVERHEAD,- 0000,,,"$1,366,975.01","$1,321,745.00",,"$1,272,175.00",,"$1,227,425.00","$969,000.00","($258,425.00)",(21.05)
Function:,CAPITAL,ENHANCEMENT,&,IMPROVEMENT -,"$1,366,975.01","$1,321,745.00",,"$1,272,175.00",,"$1,227,425.00","$969,000.00","($258,425.00)",(21.05)
,Page 75,of 80,,,,,,,,,,,
