,,,FY 22 RSU5,Budget,,Timeline,
September,"9, 2020",,Budget,,Timeline,,
December,"3, 2020",,,Leadership,Meeting,w/,Towns
,,,_______________________________________________________________________________________________________________,,,,
January,"27, 2021",Business Meeting,,Superintendent’s,,Recommended,Budget
February,"3, 2021",Workshop,Budget,,Review:,"DCS, FMS,","FHS, Athletics"
February,"10, 2021",Budget Workshop,Budget,,Review:,"MSS, PES,","MLS, Inst. Support"
February,"24, 2021",Business Meeting,Budget,,Review:,"Technology,","CIA, Nutrition, Community"
,,,,"Programs,",Facilities,&,Transportation
March,"10, 2021",Workshop,Review,of,FY 22,Superintendent’s,Budget
,,,Board,,Deliberations,on,Budget
March,"17, 2021 Budget",Workshop,Review,of,FY 22,Superintendent’s,Budget
,,,Public,Input,on,Budget,
,,,Board,,Deliberations,on,Budget
March,"24, 2021 Business",Meeting,Adopt,FY,22 School,Budget,
,,,,___________________________________________________________________________________________________________________,,,
"April 14,",2021 Business,Meeting,Q&A,on FY,22 Board,Adopted,Budget
,,,Signing,of,Warrants,for,Public Hearing & Referendum
"April 28,",2021 @ FHS,,Q&A,on FY,22 Board,Adopted,Budget
"May 12,",2021 Workshop,,Q&A,on FY,22 Board,Adopted,Budget
"May 26,",2021 @ FHS,,Public,Hearing,on,FY22,Budget
,,,Board,Meeting,,,
"June 8,",2021,,Budget,,Referendum,,
"June 9,",2021,,,Computation,&,Declaration,of Votes
,,,,Assessment,Warrants,,
,,,,,,,1 of 11
