,,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,,and Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,
Function:,,INSTRUCTION,RELATED,TECHNOLOGY -,"$3,308.43",,$159.31,,$397.12,$0.00,$0.00,$0.00,0.00
2230,,,,,,,,,,,,,
Cost,Center:,POWNAL,ELEMENTARY,- 030,"$244,083.64","$161,784.98",,"$185,431.80",,"$185,737.00","$205,333.00","$19,596.00",10.55
,1000.0000.2110.51010.040,,Social,Worker Salaries,$0.00,,$0.00,,$0.00,"$21,853.00","$22,550.00",$697.00,3.19
,1000.0000.2110.52010.040,,Social,Worker Benefits,$0.00,,$0.00,,$0.00,"$5,367.00","$6,865.00","$1,498.00",27.91
,1000.0000.2110.52310.040,,Social,Worker Retirement,$0.00,,$0.00,,$0.00,$976.00,"$1,079.00",$103.00,10.55
Program:,OVERHEAD,- 0000,,,$0.00,,$0.00,,$0.00,"$28,196.00","$30,494.00","$2,298.00",8.15
Function:,Attendance,& Social,Work,- 2110,$0.00,,$0.00,,$0.00,"$28,196.00","$30,494.00","$2,298.00",8.15
,1000.0000.2120.51010.040,,,Guidance Salaries,"$85,820.83","$94,959.68",,"$99,930.13",,"$82,324.00","$82,324.00",$0.00,0.00
,1000.0000.2120.52010.040,,,Benefits,"$1,766.92","$11,914.35",,,"$9,251.11","$5,881.00","$13,856.00","$7,975.00",135.61
,1000.0000.2120.52310.040,,,Retirement,$685.86,"$3,744.37",,,"$3,831.00","$3,680.00","$3,984.00",$304.00,8.26
,1000.0000.2120.53000.040,,,Purchased Professional,$0.00,,$0.00,,$226.25,$300.00,$300.00,$0.00,0.00
,1000.0000.2120.54330.040,,,Software,$0.00,,$333.33,,$333.33,$334.00,$334.00,$0.00,0.00
,1000.0000.2120.56100.040,,,Instructional Supplies,$256.08,,$324.78,,$19.35,$350.00,$350.00,$0.00,0.00
,1000.0000.2120.56400.040,,,Guidance Books & Periodicals,$0.00,,$0.00,,$0.00,$100.00,$100.00,$0.00,0.00
,1000.0000.2120.57300.040,,,Equipment,$0.00,,$389.76,,$0.00,$750.00,$0.00,($750.00),(100.00)
Program:,OVERHEAD,- 0000,,,"$88,529.69","$111,666.27",,"$113,591.17",,"$93,719.00","$101,248.00","$7,529.00",8.03
Function:,,COUNSELING -,2120,,"$88,529.69","$111,666.27",,"$113,591.17",,"$93,719.00","$101,248.00","$7,529.00",8.03
,03/13/2024,,,,,,,,,,,48,
