,,,,,,,,Final,FY22 Version,,,,,,,
713,1000-0000-2213-52300-030,,Stipend,Retirement - PES,,0.00,0.00,,0.00,0.00,0.00,0.00,208.38,208.38,100.00%,1
,,,,,Totals,0.00,0.00,,0.00,0.00,0.00,0.00,"5,300.20","5,300.20",100.00%,1
,,,,,2019,2019,,2020,2020,2021,2021,2022,,,,
,,,,,Total,Budget Total Activity,,Total Budget,Total Activity,Total Budget,YTD Activity,FY22 V1.2,$,Diff %,Diff,Notes
714,,Cost Center:,040 - MAST,LANDING,,,,,,,,,,,,1
715,1000-0000-2213-51500-040,,Stipends,,,0.00,0.00,,0.00,0.00,0.00,0.00,"9,868.32","9,868.32",100.00%,1
716,1000-0000-2213-52000-040,,Stipend,Benefits - MLS,,0.00,0.00,,0.00,0.00,0.00,0.00,162.82,162.82,100.00%,1
717,1000-0000-2213-52300-040,,Stipend,Retirement - MLS,,0.00,0.00,,0.00,0.00,0.00,0.00,410.54,410.54,100.00%,1
,,,,,Totals,0.00,0.00,,0.00,0.00,0.00,0.00,"10,441.68","10,441.68",100.00%,1
718,,Cost Center:,050 - FREEPORT,MIDDLE,SCHOOL,,,,,,,,,,,
719,1000-0000-2213-51500-050,,Stipends -,FMS,,0.00,0.00,,0.00,0.00,0.00,0.00,"19,211.64","19,211.64",100.00%,1
720,1000-0000-2213-52000-050,,Stipend,Benefits - FMS,,0.00,0.00,,0.00,0.00,0.00,0.00,316.98,316.98,100.00%,1
721,1000-0000-2213-52300-050,,Stipend,Retirement - FMS,,0.00,0.00,,0.00,0.00,0.00,0.00,799.22,799.22,100.00%,1
,,,,,Totals,0.00,0.00,,0.00,0.00,0.00,0.00,"20,327.84","20,327.84",100.00%,1
722,,Cost Center:,300 - FREEPORT,HIGH SCHOOL,,,,,,,,,,,,
723,1000-0000-2213-51010-300,,9-12,HONORARIUM,,"3,405.00","4,822.50",,"3,405.00","1,632.72","3,650.00",0.00,"3,650.00",0.00,0.00%,
