,,,,,RSU,No.,5,,,,,
Article 2,Special,Education,- Adopted,,,,,,,,,
From Date:,3/22/2023,,To Date: 3/22/2023,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,Percentage
,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted,Dollar,Difference,Difference
,,,,,,,,,FY24,Adopted,,
Account,,,Description,,,,,,,,,
1000.2200.1000.52320.300,,,Retirement,"$1,081.12",,$331.76,,"$1,152.40","$2,012.00","$4,925.00","$2,913.00",144.78
1000.2200.1000.52330.020,,,Retirement,$12.37,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2300.1000.51010.010,,Teacher,Salaries,"$51,548.12","$56,840.12",,"$46,596.63",,"$49,737.00","$53,255.00","$3,518.00",7.07
1000.2300.1000.51010.020,,Teacher,Salaries,"$57,792.80","$66,694.73",,"$124,961.38",,"$128,357.00","$116,050.00","($12,307.00)",(9.59)
1000.2300.1000.51010.040,,Teacher,Salaries,$0.00,,$0.00,"$119,743.55",,"$122,293.00","$67,014.00","($55,279.00)",(45.20)
1000.2300.1000.51010.050,,Teacher,Salaries,"$79,991.06","$125,125.02",,"$145,504.33",,"$151,212.00","$138,242.00","($12,970.00)",(8.58)
1000.2300.1000.51010.300,,Teacher,Salaries,"$146,903.83","$149,707.68",,"$135,427.64",,"$141,454.00","$149,867.00","$8,413.00",5.95
1000.2300.1000.51020.010,,Ed,Tech Salaries,"$92,140.17","$123,583.26",,"$112,288.01",,"$107,718.00","$150,225.00","$42,507.00",39.46
1000.2300.1000.51020.020,,Ed,Tech Salaries,"$52,849.45","$48,367.12",,"$37,587.18",,"$96,978.00",$0.00,"($96,978.00)",(100.00)
1000.2300.1000.51020.030,,Ed,Tech Salaries,"$23,995.25",,$523.63,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2300.1000.51020.040,,Ed,Tech Salaries,$0.00,,$0.00,"$49,056.05",,"$140,033.00","$51,660.00","($88,373.00)",(63.11)
1000.2300.1000.51020.050,,Ed,Tech Salaries,"$140,092.62","$175,540.61",,"$156,972.57",,"$186,324.00","$194,216.00","$7,892.00",4.24
1000.2300.1000.51020.300,,Ed,Tech Salaries,"$86,298.52","$128,660.03",,"$112,992.15",,"$102,321.00","$49,136.00","($53,185.00)",(51.98)
1000.2300.1000.52010.010,,Teacher,Benefits,"$14,686.80","$3,290.43",,"$20,980.54",,"$21,391.00","$22,858.00","$1,467.00",6.86
1000.2300.1000.52010.020,,Teacher,Benefits,"$21,736.38","$4,790.21",,"$34,785.32",,"$37,614.00","$43,774.00","$6,160.00",16.38
1000.2300.1000.52010.040,,Teacher,Benefits,$0.00,,$0.00,"$10,875.05",,"$15,132.00","$10,994.00","($4,138.00)",(27.35)
1000.2300.1000.52010.050,,Teacher,Benefits,"$22,186.05","$4,828.55",,"$37,552.66",,"$38,139.00","$32,098.00","($6,041.00)",(15.84)
1000.2300.1000.52010.300,,Teacher,Benefits,"$40,204.38","$8,373.35",,"$25,502.80",,"$26,419.00","$32,357.00","$5,938.00",22.48
1000.2300.1000.52020.010,,Ed,Tech Benefits,"$26,830.71","$23,539.09",,"$30,853.33",,"$43,743.00","$90,024.00","$46,281.00",105.80
1000.2300.1000.52020.020,,Ed,Tech Benefits,"$26,654.85","$6,256.39",,,"$5,387.73","$41,185.00",$0.00,"($41,185.00)",(100.00)
1000.2300.1000.52020.030,,Ed,Tech Benefits,"$9,066.46",,$4.57,,$0.00,$0.00,$0.00,$0.00,0.00
1000.2300.1000.52020.040,,Ed,Tech Benefits,$0.00,,$0.00,,"$8,805.75","$59,873.00","$34,229.00","($25,644.00)",(42.83)
1000.2300.1000.52020.050,,Ed,Tech Benefits,"$50,226.77","$5,027.11",,"$30,148.05",,"$59,409.00","$47,081.00","($12,328.00)",(20.75)
1000.2300.1000.52020.300,,Ed,Tech Benefits,"$31,349.90","$8,284.41",,"$26,139.90",,"$37,829.00","$16,022.00","($21,807.00)",(57.65)
,03/22/2023,,,,,,,,,,Page 14,
