,,,,,RSU,No.,5,,,,,
FY25,Article,5 Student,and Staff Support-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
Account,,,Description,,,,,,,,,
,1000.0000.2220.51020.040,,Ed Tech Salaries,"$39,300.86",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.52010.040,,Librarian Benefits,"$2,827.88","$15,889.91",,,"$1,266.82","$4,994.00","$12,821.00","$7,827.00",156.73
,1000.0000.2220.52020.040,,Ed Tech Benefits,"$4,540.66",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.52310.040,,Retirement,$628.20,,$595.29,,"$2,319.26","$2,996.00","$3,301.00",$305.00,10.18
,1000.0000.2220.52320.040,,Retirement,$201.11,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2220.54330.040,,Software,"$1,042.50","$1,060.35",,,"$1,043.00","$1,129.00","$1,320.00",$191.00,16.92
,1000.0000.2220.56100.040,,Instructional Supplies,$331.44,,$153.34,,$93.84,$350.00,$350.00,$0.00,0.00
,1000.0000.2220.56400.040,,Books,"$4,643.90","$3,130.59",,,"$7,578.05","$5,733.00","$5,859.00",$126.00,2.20
Program:,OVERHEAD,- 0000,,"$118,764.63","$108,759.00",,"$75,224.76",,"$82,217.00","$90,666.00","$8,449.00",10.28
Function:,LIBRARY,SERVICES,- 2220,"$118,764.63","$108,759.00",,"$75,224.76",,"$82,217.00","$90,666.00","$8,449.00",10.28
,1000.0000.2230.52010.040,,Teacher Benefits,"$5,658.06",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
Program:,OVERHEAD,- 0000,,"$5,658.06",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
Function:,,INSTRUCTION,RELATED TECHNOLOGY -,"$5,658.06",,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
2230,,,,,,,,,,,,
Cost,Center:,MAST LANDING,- 040,"$256,919.44","$331,493.02",,"$281,824.61",,"$285,715.00","$312,017.00","$26,302.00",9.21
,1000.0000.2110.51010.050,,Social Worker Salaries,$0.00,,$0.00,,$0.00,"$43,851.00","$43,124.00",($727.00),(1.66)
,1000.0000.2110.52010.050,,Social Worker Benefits,$0.00,,$0.00,,$0.00,"$8,699.00","$6,329.00","($2,370.00)",(27.24)
,1000.0000.2110.52310.050,,Social Worker Retirement,$0.00,,$0.00,,$0.00,"$1,960.00","$2,063.00",$103.00,5.26
Program:,OVERHEAD,- 0000,,$0.00,,$0.00,,$0.00,"$54,510.00","$51,516.00","($2,994.00)",(5.49)
Function:,Attendance,& Social,Work - 2110,$0.00,,$0.00,,$0.00,"$54,510.00","$51,516.00","($2,994.00)",(5.49)
,03/13/2024,,,,,,,,,,50,
