,,,,,,RSU,No.,5,,,,,
,FY25 Article,8,Transportation &,Buses- Proposed,,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024,Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,,Percent
,,,,FY21,Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,,
,1000.0000.2700.51020.900,,Ed Tech Salaries,,$0.00,"$3,390.00",,,"$6,889.84","$10,377.00",$0.00,"($10,377.00)",(100.00)
,1000.0000.2700.51040.900,,Administrator Salary,,"$85,714.44","$93,934.00",,"$126,602.99",,"$40,000.00","$81,120.00","$41,120.00",102.80
,1000.0000.2700.51060.900,,Transportation,Office Clerical Support,Salary$0.00,,$0.00,,$0.00,"$31,262.00",$0.00,"($31,262.00)",(100.00)
,1000.0000.2700.51180.900,,Bus Drivers Salaries,,"$570,066.78","$566,359.53",,"$482,704.11",,"$509,236.00","$496,536.00","($12,700.00)",(2.49)
,1000.0000.2700.51200.900,,Substitute Salaries,,"$34,104.45","$72,363.18",,"$97,242.22",,"$33,000.00","$35,000.00","$2,000.00",6.06
,1000.0000.2700.52000.900,,Sub Bus Driver,Benefits,"$3,827.71",,$0.00,"$22,100.98",,"$1,650.00",$0.00,"($1,650.00)",(100.00)
,1000.0000.2700.52020.900,,Ed Tech Benefits,,$0.00,,$322.53,,"$2,126.98","$1,623.00",$0.00,"($1,623.00)",(100.00)
,1000.0000.2700.52030.900,,Substitute Benefits,,$0.00,"$16,747.04",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2700.52040.900,,Administrator,Benefits,"$17,766.66","$25,691.20",,"$32,278.66",,"$16,779.00","$22,448.00","$5,669.00",33.79
,1000.0000.2700.52060.900,,Transportation,Office Clerical Support,Benefits$0.00,,$0.00,,$0.00,"$13,351.00",$0.00,"($13,351.00)",(100.00)
,1000.0000.2700.52080.900,,Bus Driver Benefits,,"$99,780.80","$197,544.25",,"$165,980.57",,"$251,592.00","$267,724.00","$16,132.00",6.41
,1000.0000.2700.52300.900,,Retirement,,$0.00,"$2,179.82",,,$825.55,$0.00,$0.00,$0.00,0.00
,1000.0000.2700.52320.900,,Retirement,,$0.00,,$437.38,,$739.71,"$1,679.00",$0.00,"($1,679.00)",(100.00)
,1000.0000.2700.52340.900,,Retirement,,$0.00,"$4,664.80",,,"$2,232.75","$2,080.00",$0.00,"($2,080.00)",(100.00)
,1000.0000.2700.52380.900,,Retirement,,$0.00,"$10,565.45",,,"$8,301.40","$6,528.00","$30,779.00","$24,251.00",371.49
,1000.0000.2700.53000.900,,Purchased,Professional,"$3,438.03","$4,993.44",,"$13,038.60",,"$11,605.00","$13,955.00","$2,350.00",20.25
,1000.0000.2700.53300.900,,Employee Training,,$0.00,"$2,886.22",,,$0.00,"$2,500.00","$1,995.00",($505.00),(20.20)
,1000.0000.2700.53400.900,,Contracted Services,,$463.00,,$0.00,,$0.00,"$10,600.00","$8,858.00","($1,742.00)",(16.43)
,1000.0000.2700.54300.900,,Purchased,Repair/Maint,"$44,103.37","$31,902.28",,"$128,269.03",,"$70,000.00","$93,480.00","$23,480.00",33.54
,1000.0000.2700.54450.900,,Bus Garage Lease,,"$12,500.00","$12,500.00",,"$12,500.00",,"$12,875.00","$12,875.00",$0.00,0.00
,1000.0000.2700.55200.900,,Insurance,,"$13,912.00","$19,527.00",,"$25,198.07",,"$30,420.00","$28,978.00","($1,442.00)",(4.74)
,1000.0000.2700.56260.900,,Fleet Fuel,,"$102,063.70","$111,572.95",,"$166,812.87",,"$229,500.00","$229,500.00",$0.00,0.00
,03/13/2024,,,,,,,,,,,69,
