,,,,,,,RSU No.,5,,,,,,,,
Article,2,Special,Education-,Adopted,,,,,,,,,,,,
From,Date:,7/1/2023,,To Date: 6/30/2024,Definition:,,FY25 Adopted,,,,,,,,,
,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21 Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,Adopted,,,
Account,,,,Description,,,,,,,,,,,,
,1000.2200.1000.51010.030,,Teacher,Salaries,,"$45,743.71",,"$37,121.30","$89,234.52",,"$60,944.00",,"$37,776.00","($23,168.00)",,(38.02)
,1000.2200.1000.51020.030,,Ed Tech,Salaries,,"$25,733.72",,"$23,817.07","$6,880.54",,,$0.00,$0.00,,$0.00,0.00
,1000.2200.1000.51210.030,,Tutor,Wages,,"$2,381.85",,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2200.1000.52010.030,,Teacher,Benefits,,"$4,683.27",,"$7,693.61","$21,118.95",,"$14,165.00",,"$9,914.00","($4,251.00)",,(30.01)
,1000.2200.1000.52020.030,,Ed Tech,Benefits,,$45.38,,"$7,956.55","$7,579.42",,,$0.00,$0.00,,$0.00,0.00
,1000.2200.1000.52310.030,,Retirement,,,$784.70,,"$1,425.35","$2,954.38",,"$2,870.00",,"$1,878.00",($992.00),,(34.56)
,1000.2200.1000.52320.030,,Retirement,,,$290.49,,$986.71,$264.53,,,$0.00,$0.00,,$0.00,0.00
Program:,,RESOURCE,CLASSROOM,PLACEMENT - 2200,"$79,663.12",,"$79,000.59","$128,032.34",,"$77,979.00",,"$49,568.00",,"($28,411.00)",,(36.43)
,1000.2300.1000.51020.030,,Ed Tech,Salaries,,$523.63,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2300.1000.52020.030,,Ed Tech,Benefits,,$4.57,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,1000.2300.1000.52320.030,,Retirement,,,$7.19,,$0.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
Program:,SELF,CONTAINED,CLASS,PLACEMENT - 2300,$535.39,,$0.00,,$0.00,,$0.00,,$0.00,$0.00,,0.00
Function:,REGULAR,INSTRUCTION,-,1000,"$80,198.51",,"$79,000.59","$128,032.34",,"$77,979.00",,"$49,568.00",,"($28,411.00)",,(36.43)
,1000.2800.2110.51010.030,,Social,Worker Salary,,"$25,867.75",,"$32,029.23","$26,239.64",,"$35,594.00",,"$34,895.00",($699.00),,(1.96)
,1000.2800.2110.52010.030,,Social,Worker Benefits,,$82.68,,$536.08,$564.45,,"$6,970.00",,"$5,105.00","($1,865.00)",,(26.76)
,1000.2800.2110.52310.030,,Retirement,,,$276.29,,"($1,443.14)","$1,117.67",,"$1,591.00",,"$1,669.00",,$78.00,4.90
Program:,OTHER,SPECIAL,PROGRAMS,- 2800,"$26,226.72",,"$31,122.17","$27,921.76",,"$44,155.00",,"$41,669.00",,"($2,486.00)",,(5.63)
Function:,Attendance,& Social,Work - 2110,,"$26,226.72",,"$31,122.17","$27,921.76",,"$44,155.00",,"$41,669.00",,"($2,486.00)",,(5.63)
,03/27/2024,,,,,,,,,,,,,,18 of 81,
