,,,,,RSU,No.,5,,,,,
FY25,Article,9,Operations & Maintenance-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,1000.0000.2600.56011.040,,Material Repair,"$1,859.19","$1,528.62",,,"$5,281.83","$4,500.00","$4,900.00",$400.00,8.89
,1000.0000.2600.56013.040,,Major Maintenance,"$3,500.00","$6,555.00",,,"$4,751.94","$5,000.00","$13,000.00","$8,000.00",160.00
,1000.0000.2600.56050.040,,Furniture & Equipment - Non,Instructional MLS$0.00,"$5,594.47",,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56220.040,,Electricity,"$22,943.22","$27,522.43",,"$24,324.85",,"$18,773.00","$6,773.00","($12,000.00)",(63.92)
,1000.0000.2600.56240.040,,Heating Fuel,"$27,889.41","$34,594.86",,"$35,193.11",,"$41,500.00","$43,000.00","$1,500.00",3.61
,Program:,OVERHEAD - 0000,,"$245,074.22","$375,330.27",,"$364,397.51",,"$462,091.00","$405,013.00","($57,078.00)",(12.35)
,Function:,OPERATION OF,PLANT - 2600,"$245,074.22","$375,330.27",,"$364,397.51",,"$462,091.00","$405,013.00","($57,078.00)",(12.35)
Cost,Center:,MAST LANDING,- 040,"$245,074.22","$375,330.27",,"$364,397.51",,"$462,091.00","$405,013.00","($57,078.00)",(12.35)
,1000.0000.2600.51180.050,,Custodian Salaries,"$191,265.79","$160,641.30",,"$159,607.98",,"$244,475.00","$231,545.00","($12,930.00)",(5.29)
,1000.0000.2600.52080.050,,Custodian Benefits,"$54,202.41","$59,466.72",,"$60,531.88",,"$152,838.00","$104,599.00","($48,239.00)",(31.56)
,1000.0000.2600.52380.050,,Retirement,$0.00,"$4,199.27",,,"$3,107.40","$2,542.00","$11,577.00","$9,035.00",355.43
,1000.0000.2600.54100.050,,Water/Sewage,"$9,356.74","$11,648.56",,"$13,166.84",,"$13,000.00","$13,562.00",$562.00,4.32
,1000.0000.2600.54300.050,,Purchased Repair,"$51,401.85","$43,684.24",,"$63,112.33",,"$54,279.00","$53,675.00",($604.00),(1.11)
,1000.0000.2600.55200.050,,Insurance,"$12,171.79","$14,179.90",,"$14,297.09",,"$22,746.00","$18,813.00","($3,933.00)",(17.29)
,1000.0000.2600.55320.050,,Telephone,"$4,452.50","$4,691.02",,,"$8,916.28","$5,200.00","$9,183.00","$3,983.00",76.60
,1000.0000.2600.56000.050,,Supplies,"$26,527.42","$16,192.74",,"$25,762.34",,"$22,800.00","$24,300.00","$1,500.00",6.58
,1000.0000.2600.56011.050,,Materials for Repair,"$3,453.88","$3,003.75",,,"$4,258.57","$6,000.00","$5,900.00",($100.00),(1.67)
,1000.0000.2600.56013.050,,Major Maintenance,"$7,764.00","$16,375.43",,,$118.00,"$14,200.00","$6,000.00","($8,200.00)",(57.75)
,1000.0000.2600.56050.050,,Furniture & Equipment - Non,Instructional FMS$0.00,"$4,174.32",,,"$1,513.85",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.56220.050,,Electricity,"$30,451.98","$40,969.23",,"$25,924.67",,"$25,000.00","$13,000.00","($12,000.00)",(48.00)
,1000.0000.2600.56240.050,,Heating Fuel,"$40,868.29","$48,303.80",,"$48,534.20",,"$53,302.00","$55,000.00","$1,698.00",3.19
,Program:,OVERHEAD - 0000,,"$431,916.65","$427,530.28",,"$428,851.43",,"$616,382.00","$547,154.00","($69,228.00)",(11.23)
,03/13/2024,,,,,,,,,,74,
,,,,,RSU,No.,5,,,,,
FY25,Article,9 Operations,& Maintenance-,Proposed,,,,,,,,
From,Date:,3/1/2024,To Date:,3/31/2024 Definition:,,FY25,Proposed,,,,,
,,,,,,,,,,,,Percent
,,,,FY21 Actual,FY22 Actual,,FY23 Actual,FY24,Adopted FY25,Proposed Dollar,Difference,Difference
,Account,,Description,,,,,,,,,
,Function: OPERATION,OF PLANT,- 2600,"$431,916.65","$427,530.28",,"$428,851.43",,"$616,382.00","$547,154.00","($69,228.00)",(11.23)
Cost,Center:,FREEPORT MIDDLE,SCHOOL - 050,"$431,916.65","$427,530.28",,"$428,851.43",,"$616,382.00","$547,154.00","($69,228.00)",(11.23)
,1000.0000.2600.51180.300,,Custodian Salaries,"$287,887.30","$211,962.18",,"$197,633.91",,"$192,205.00","$215,886.00","$23,681.00",12.32
,1000.0000.2600.51200.300,,Salaries of Temporary Employees,$0.00,"$4,122.01",,,"$5,577.50",$0.00,$0.00,$0.00,0.00
,1000.0000.2600.52000.300,,Employee Benefits,$0.00,,$0.00,,$669.65,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.52030.300,,Benefits for subs and temp,employees $0.00,,$337.98,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.0000.2600.52080.300,,Custodian Benefits,"$80,240.71","$72,610.43",,"$66,695.09",,"$81,555.00","$84,238.00","$2,683.00",3.29
,1000.0000.2600.52380.300,,Retirement,$0.00,"$5,238.80",,,"$2,768.08","$2,418.00","$10,794.00","$8,376.00",346.40
,1000.0000.2600.53300.300,,Employee Training,$0.00,,$0.00,,$0.00,$125.00,$125.00,$0.00,0.00
,1000.0000.2600.54100.300,,Water/Sewage,"$8,699.96","$13,510.07",,"$28,960.02",,"$15,050.00","$29,829.00","$14,779.00",98.20
,1000.0000.2600.54300.300,,Purchased Repair,"$60,324.94","$60,127.46",,"$68,808.00",,"$82,790.00","$85,513.00","$2,723.00",3.29
,1000.0000.2600.55200.300,,Insurance,"$14,047.73","$15,192.75",,"$15,318.31",,"$22,746.00","$21,712.00","($1,034.00)",(4.55)
,1000.0000.2600.55320.300,,Telephone,"$5,232.02","$5,839.00",,"$10,071.37",,"$6,400.00","$10,373.00","$3,973.00",62.08
,1000.0000.2600.56000.300,,Supplies,"$24,265.23","$28,113.69",,"$46,921.43",,"$40,500.00","$41,500.00","$1,000.00",2.47
,1000.0000.2600.56011.300,,Materials for Repair,"$6,271.26","$4,748.62",,,"$8,634.37","$7,000.00","$6,800.00",($200.00),(2.86)
,1000.0000.2600.56013.300,,Major Maintenance,"$2,054.86","$26,101.37",,,"$2,355.19","$11,600.00",$0.00,"($11,600.00)",(100.00)
,1000.0000.2600.56220.300,,Electricity,"$51,987.76","$67,410.97",,"$46,100.46",,"$58,390.00","$46,390.00","($12,000.00)",(20.55)
,1000.0000.2600.56240.300,,Heating Fuel,"$68,213.16","$84,503.55",,"$98,744.19",,"$93,600.00","$96,000.00","$2,400.00",2.56
,Program: OVERHEAD,- 0000,,"$609,224.93","$599,818.88",,"$599,257.57",,"$614,379.00","$649,160.00","$34,781.00",5.66
,Function: OPERATION,OF PLANT,- 2600,"$609,224.93","$599,818.88",,"$599,257.57",,"$614,379.00","$649,160.00","$34,781.00",5.66
,03/13/2024,,,,,,,,,,75,
