,,,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction-,,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.4100.1000.53000.900,,,Purchased,Professional Services,$0.00,,$0.00,,$0.00,$0.00,"$6,300.00","$6,300.00",0.00
,1000.4100.1000.53300.900,,Employee,Training,& Development,$0.00,,$0.00,,$0.00,$0.00,"$2,500.00","$2,500.00",0.00
,1000.4100.1000.55800.900,,Travel,- district,wide,$0.00,,$0.00,,$0.00,$0.00,$200.00,$200.00,0.00
Program:,ELL -,4100,,,,$0.00,,$0.00,,$0.00,$0.00,"$9,000.00","$9,000.00",0.00
Function:,REGULAR,,INSTRUCTION -,1000,,$0.00,"$6,225.02",,,$0.00,"$177,000.00","$186,000.00","$9,000.00",5.08
Cost,Center:,SYSTEM WIDE,- 900,,,$0.00,"$6,225.02",,,$0.00,"$177,000.00","$186,000.00","$9,000.00",5.08
,1000.4100.1000.51010.950,,Teachers,Salary,,"$52,617.40","$22,960.67",,"$68,262.20",,"$141,542.47","$98,482.00","($43,060.47)",(30.42)
,1000.4100.1000.52010.950,,Teacher,Benefits,,"$7,980.55","$1,115.22",,,"$6,322.03","$27,709.00","$5,500.00","($22,209.00)",(80.15)
,1000.4100.1000.52310.950,,,Retirement,,"$2,189.02",,$176.54,,"$2,656.51","$5,888.00","$3,463.00","($2,425.00)",(41.19)
,1000.4100.1000.53000.950,,,Purchased,Professional Services,$0.00,,$0.00,,$0.00,$200.00,$0.00,($200.00),(100.00)
,1000.4100.1000.53400.950,,,Professional Services,,$642.70,,$0.00,,"$8,812.80",$250.00,$0.00,($250.00),(100.00)
,1000.4100.1000.55800.950,,Travel,,,$164.29,,$0.00,,$0.00,$200.00,$0.00,($200.00),(100.00)
,1000.4100.1000.56100.950,,,Instructional Supplies,,$264.25,,$223.35,,$349.34,$350.00,$500.00,$150.00,42.86
Program:,ELL -,4100,,,,"$63,858.21","$24,475.78",,"$86,402.88",,"$176,139.47","$107,945.00","($68,194.47)",(38.72)
,1000.4900.1000.51010.950,,Teacher,Salaries,,"$126,717.76","$179,841.78",,"$193,428.73",,"$206,642.00","$211,493.00","$4,851.00",2.35
,1000.4900.1000.51500.950,,Stipends,,,"$3,000.00","$3,208.64",,,"$3,000.00","$15,444.00","$12,876.00","($2,568.00)",(16.63)
,1000.4900.1000.52000.950,,Stipends,,,$15.00,,$0.00,,$47.78,$772.00,$0.00,($772.00),(100.00)
,1000.4900.1000.52010.950,,Teacher,Benefits,,"$29,456.62","$4,115.68",,"$24,321.66",,"$32,865.00","$48,225.00","$15,360.00",46.74
,1000.4900.1000.52300.950,,,Retirement,,$0.00,,$0.00,,$115.20,$642.00,$632.00,($10.00),(1.56)
,1000.4900.1000.52310.950,,,Retirement,,"$5,580.20","$1,387.55",,,"$7,486.35","$8,596.00","$9,454.00",$858.00,9.98
,Page 11,of 80,,,,,,,,,,,,
,,,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction-,,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
Account,,,,Description,,,,,,,,,,
,1000.4900.1000.53000.950,,Purchased,,Professional Services,$0.00,"$1,822.24",,,$300.00,"$4,514.81","$3,970.00",($544.81),(12.07)
,1000.4900.1000.53400.950,,Professional,,Services Testing,"$1,403.64",,$0.00,,$0.00,$0.00,"$1,120.00","$1,120.00",0.00
,1000.4900.1000.53440.950,,GaTE,K-8 Professional,Servies,"$1,410.00",,$316.00,,"$2,618.59",$0.00,"$1,682.00","$1,682.00",0.00
,1000.4900.1000.55800.950,,Travel,,,$448.09,,$0.00,,$62.83,$908.00,$920.00,$12.00,1.32
,1000.4900.1000.56100.950,,GaTE,K-8 Instructional,Supplies,"$1,780.34","$1,146.97",,,"$2,163.43","$3,835.89","$2,117.00","($1,718.89)",(44.81)
,1000.4900.1000.56400.950,,GaTE,K-8 Books,,$494.96,,$447.26,,$317.93,"$1,200.00","$1,200.00",$0.00,0.00
,1000.4900.1000.58100.950,,Dues,and Fees,,$0.00,,$0.00,,$254.00,"$3,352.00","$4,734.00","$1,382.00",41.23
Program:,GIFTED,& TALENTED,- 4900,,,"$170,306.61","$192,286.12",,"$234,116.50",,"$278,771.70","$298,423.00","$19,651.30",7.05
Function:,REGULAR,,INSTRUCTION -,1000,,"$234,164.82","$216,761.90",,"$320,519.38",,"$454,911.17","$406,368.00","($48,543.17)",(10.67)
Cost,Center: K-8,- 950,,,,"$234,164.82","$216,761.90",,"$320,519.38",,"$454,911.17","$406,368.00","($48,543.17)",(10.67)
,1000.4100.1000.51010.990,,Teacher,Salaries,,"$12,706.98","$7,107.57",,"$19,286.85",,"$15,821.00","$101,837.00","$86,016.00",543.68
,1000.4100.1000.52010.990,,Teacher,Benefits,,"$1,940.39",,$321.96,,"$2,013.03","$1,158.00","$21,319.00","$20,161.00","1,741.02"
,1000.4100.1000.52310.990,,Retirement,,,$528.58,,$105.46,,$749.34,$658.00,"$3,613.00","$2,955.00",449.09
,1000.4100.1000.53000.990,,Purchased,,Professional Services,$0.00,,$0.00,,$0.00,$200.00,$0.00,($200.00),(100.00)
,1000.4100.1000.53400.990,,Professional,,Services,$0.00,,$0.00,,$0.00,$250.00,$0.00,($250.00),(100.00)
,1000.4100.1000.55800.990,,Travel-Other,,,$29.52,,$0.00,,$0.00,$200.00,$0.00,($200.00),(100.00)
,1000.4100.1000.56100.990,,Instructional,,Supplies,$590.39,,$0.00,,$25.34,$350.00,$500.00,$150.00,42.86
Program:,ELL -,4100,,,,"$15,795.86","$7,534.99",,"$22,074.56",,"$18,637.00","$127,269.00","$108,632.00",582.88
,1000.4900.1000.51010.990,,Teacher,Salaries,,"$55,634.87","$4,842.22",,"$10,712.93",,"$8,520.00","$11,743.00","$3,223.00",37.83
,1000.4900.1000.51500.990,,Stipends,,,$0.00,,$0.00,,$0.00,$300.00,$300.00,$0.00,0.00
,Page,12 of 80,,,,,,,,,,,,
,,,,,,,RSU,No.,5,,,,,
Article,1,Regular,Instruction-,,Adopted,,,,,,,,,
From,Date:,7/1/2023,,To Date:,6/30/2024,Definition:,,FY24,Proposed,,,,,
,,,,,,,,,,,,,,Percentage
,,,,,,FY20 Actual,FY21 Actual,,FY22 Actual,FY23,Adopted FY24,Proposed Dollar,Difference,Difference
,Account,,,Description,,,,,,,,,,
,1000.4900.1000.52010.990,,Teacher,Benefits,,"$21,107.03",,$52.15,,"$3,200.47","$3,174.00","$3,496.00",$322.00,10.14
,1000.4900.1000.52300.990,,,Retirement,,$0.00,,$0.00,,$0.00,$12.00,$14.00,$2.00,16.67
,1000.4900.1000.52310.990,,,Retirement,,"$2,317.84",,$10.98,,$439.93,$354.00,$525.00,$171.00,48.31
,1000.4900.1000.53000.990,,Purchase,Professional,Services,$0.00,,$0.00,,$368.13,$0.00,$30.00,$30.00,0.00
,1000.4900.1000.53440.990,,GaTE,HS Professional,Services,"$2,406.88","$1,098.52",,,"$1,344.69","$9,355.00","$13,055.00","$3,700.00",39.55
,1000.4900.1000.55800.990,,Travel,,,$483.30,,$0.00,,$0.00,$0.00,$0.00,$0.00,0.00
,1000.4900.1000.56100.990,,GaTE,HS Instructional,Supplies,$0.00,,$0.00,,$0.00,$462.99,$463.00,$0.01,0.00
Program:,GIFTED,& TALENTED,- 4900,,,"$81,949.92","$6,003.87",,"$16,066.15",,"$22,177.99","$29,626.00","$7,448.01",33.58
Function:,REGULAR,,INSTRUCTION -,1000,,"$97,745.78","$13,538.86",,"$38,140.71",,"$40,814.99","$156,895.00","$116,080.01",284.41
Cost,Center: 9-12,- 990,,,,"$97,745.78","$13,538.86",,"$38,140.71",,"$40,814.99","$156,895.00","$116,080.01",284.41
Grand,Total:,,,,,"$13,932,987.68","$12,777,724.36",,"$14,442,552.83",,"$16,401,257.00","$17,072,759.00","$671,502.00",4.09
,,,,,,,End,of Report,,,,,,
,Page,13 of 80,,,,,,,,,,,,
