,,,,RSU5,,,,,
2021-2022,,CAPITAL,& FUEL,RESERVE,FUNDS,SUMMARIES,,,
CAPITAL RESERVE,FUND,,,,,,,,
,,,Summary,as of April,"14, 2021",,,,
Capital,Reserve,- July,"1, 2020",Balance,,,$,"500,175",
2020-2021,,Capital,Improvements,,,,$,-,
Capital,Reserves,Balance,,,,,$,"500,175",
,Expenditures,to Date,,,,,$,-,
,Anticipated,Capital,Reserve,Balance as of,"April 14,",2021,$,"500,175",
,,,How,Funded:,,,,,
2020-2021,,Anticipated,"July 1,",2021 Capital,Reserve Fund,Balance,$,"500,175",
2020-2021,,Undesignated,Fund,Balance,,,$,-,
2020-2021,,Capital,Improvements,,,,$,-,
Capital,Reserve,Fund,FY 2022,,,,$,"500,175",
,,Anticipated,,2021-2022,Capital Items,,,,
Item 1MLS,Roof,,,,,,,"3 60,000",
Item 2Improved,,ventilation at,MSS,,,,,"1 07,000",
,,,,,,,$,"467,000",
,Breakdown,of Capital,Items,Funding:,,,,,
Article,9 - GF,Capital,Improvements,,(1000-0000-2690-58310-900),,$,"467,000",
Capital,Reserves,Fund,,,,,$,-,
,,,,,,Total,Funding $,"467,000",
TRACK & FIELD,PROJECT,RESERVE,,FUND,,,,,
,,,Summary,as of April,"14, 2021",,,,
Track,& Field,"- July 1,",2020 Fund,Balance,,,$,"70,000",
2020-2021,GF,Capital,Improvements,,(1000-0000-2690-54300-900),,$,"35,000",
Track,& Field,Reserves,Balance,to Date,,,$,"105,000",
,Expenditures,To Date,,,,,$,-,
,Anticipated,Track &,Field,Balance as of,"April 14,",2021,$,"105,000",
,,,How,Funded:,,,,,
2020-2021,,Anticipated,"July 1,",2021 Fund,Balance,,$,"1 05,000",
2021-2022,,Capital,Improvements,,(1000-0000-2690-54500-900),,$,"3 5,000",
Track,& Field,Reserve,Fund,FY 2022,,,$,"140,000",
,,,,,,,,,9 of 11
