,,,,,,,RSU,No.,5,,,,,,,,
,Article,7 School,,Administration-,Adopted,,,,,,,,,,,,
From,Date:,,7/1/2023,,To Date: 6/30/2024,Definition:,FY25,Adopted,,,,,,,,,
,,,,,,,,,,,,,,FY25,,Dollar,Percent
,,,,,,FY21,Actual,FY22,Actual,FY23 Actual,FY24,Adopted,,,Difference,,Difference
,,,,,,,,,,,,,,Adopted,,,
,Account,,,,Description,,,,,,,,,,,,
,,1000.0000.2400.52340.300,,Retirement,,,"$3,521.70",,"$8,865.94","$9,182.70",,"$11,117.00",,"$11,724.00",,$607.00,5.46
,,1000.0000.2400.52380.300,,Retirement,,,$0.00,,"$2,293.61","$2,474.04",,"$2,619.00",,"$6,164.00","$3,545.00",,135.36
,,1000.0000.2400.53400.300,,Admin,Purchased Professional,,$0.00,,$0.00,,$0.00,$569.00,,$240.00,($329.00),,(57.82)
,,1000.0000.2400.55310.300,,Postage,,,"$2,346.90",,"$5,829.48","$3,496.71",,"$4,609.00",,"$4,804.00",,$195.00,4.23
,,1000.0000.2400.55800.300,,Travel,,,$0.00,,$0.00,$475.68,,"$1,250.00",,"$1,250.00",,$0.00,0.00
,,1000.0000.2400.56000.300,,Supplies,,,"$2,000.00",,"$2,344.00","$1,406.81",,"$1,595.00",,"$1,400.00",($195.00),,(12.23)
,,1000.0000.2400.56400.300,,Admin,Books,,$0.00,,$0.00,,$0.00,$780.00,,$780.00,,$0.00,0.00
,,1000.0000.2400.58100.300,,Dues,and Fees,,"$5,278.00",,"$5,314.59","$6,692.82",,"$7,209.00",,"$6,736.00",($473.00),,(6.56)
,,1000.0000.2400.58150.300,,Fingerprinting,Fees - FHS,,$0.00,,$55.00,,$0.00,,$0.00,$0.00,,$0.00,0.00
,Program:,OVERHEAD,- 0000,,,"$417,179.36","$462,216.87",,"$480,992.91",,"$497,551.00",,"$519,610.00",,"$22,059.00",,4.43
,Function:,SCHOOL,,ADMINISTRATION,- 2400,"$417,179.36","$462,216.87",,"$480,992.91",,"$497,551.00",,"$519,610.00",,"$22,059.00",,4.43
Cost,Center:,,FREEPORT,HIGH SCHOOL,- 300,"$417,179.36","$462,216.87",,"$480,992.91",,"$497,551.00",,"$519,610.00",,"$22,059.00",,4.43
Grand,,Total:,,,,,"$1,670,327.86","$1,757,759.96",,"$1,863,599.55",,"$2,067,029.00",,"$2,342,210.00","$275,181.00",,13.31
,,,,,,,End,of Report,,,,,,,,,
,,03/27/2024,,,,,,,,,,,,,,68 of 81,
