,,,,,,RSU,No. 5,,,,,,,
FY27,Article,9 Operations,&,Maintenance-,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
,Account,,,,Description,,,,,,,,,
,1000.0000.2600.51180.010,,,Salaries,,"$194,423.20","$196,250.92",,"$201,009.80","$208,967.00","$210,241.00",,"$1,274.00",0.61
,1000.0000.2600.52080.010,,,Custodian,Benefits,"$53,127.43","$52,480.60",,"$41,596.62","$57,506.00","$78,332.00","$20,826.00",,36.22
,1000.0000.2600.52380.010,,,Retirement,,"$1,677.39",,"$1,716.00","$1,415.20","$10,448.00","$11,353.00",,$905.00,8.66
,1000.0000.2600.53000.010,,,Purchased,Professional,$0.00,,$0.00,$0.00,$118.00,$118.00,,$0.00,0.00
,1000.0000.2600.53300.010,,,Employee,Training,$0.00,,$0.00,$0.00,$125.00,$125.00,,$0.00,0.00
,1000.0000.2600.54300.010,,,Purchased,Repairs/Maint,"$96,340.60","$128,554.36",,"$129,487.93","$117,387.00","$96,459.00","($20,928.00)",,(17.83)
,1000.0000.2600.55200.010,,,Insurance,,"$32,679.04","$20,520.21",,"$43,509.00","$47,860.00","$47,860.00",,$0.00,0.00
,1000.0000.2600.55320.010,,,Telephone,,"$9,217.33","$10,135.01",,"$11,222.40","$9,494.00","$11,559.00",,"$2,065.00",21.75
,1000.0000.2600.55800.010,,,Travel,,$0.00,,$45.56,$0.00,$15.00,$15.00,,$0.00,0.00
,1000.0000.2600.56000.010,,,Supplies,,"$31,415.80","$22,761.80",,"$19,793.53","$29,600.00","$31,483.00",,"$1,883.00",6.36
,1000.0000.2600.56011.010,,,Materials,for Repair,"$2,321.61",,"$6,592.30","$6,362.42","$10,100.00","$10,100.00",,$0.00,0.00
,1000.0000.2600.56013.010,,,Major,Maintenance,"$4,980.32",,"$2,355.00","$26,047.33","$16,705.00","$13,820.00","($2,885.00)",,(17.27)
,1000.0000.2600.56220.010,,,Electricity,- Durham,"$86,520.41","$87,261.02",,"$79,413.34","$144,000.00","$144,000.00",,$0.00,0.00
,1000.0000.2600.56240.010,,,Heating,Fuel,"$17,413.11","$20,105.35",,"$27,892.98","$13,000.00","$28,500.00","$15,500.00",,119.23
,Program:,OVERHEAD - 0000,,,,"$530,116.24","$548,778.13",,"$587,750.55","$665,325.00","$683,965.00","$18,640.00",,2.80
,Function:,OPERATION OF PLANT,- 2600,,,"$530,116.24","$548,778.13",,"$587,750.55","$665,325.00","$683,965.00","$18,640.00",,2.80
Cost,Center:,DURHAM COMMUNITY,- 010,,,"$530,116.24","$548,778.13",,"$587,750.55","$665,325.00","$683,965.00","$18,640.00",,2.80
,,,,,,Page,78 of 89,,,,,,,
