,,,,,,RSU,No. 5,,,,,,,
FY27,Article,2 Special,Education-,,Proposed,,,,,,,,,
From,Date:,7/1/2026,To,Date:,6/30/2027,Definition: FY27,Proposed,,,,,,,
,,,,,,,,,,,FY27,,Dollar,Percent
,,,,,,FY23 Actual,FY24,Actual FY25,Actual FY26,Adopted,Proposed,Difference,,Difference
Account,,,,,Description,,,,,,,,,
Function:,SPEECH,& AUDIOLOGY,- 2150,,,"$119,707.07","$127,771.88",,"$148,294.78","$161,297.00","$173,839.00","$12,542.00",,7.78
,1000.2800.2160.51010.020,,,OT,Salary,"$69,709.75","$56,546.23",,"$61,412.27","$74,169.00","$80,558.00",,"$6,389.00",8.61
,1000.2800.2160.52010.020,,,OT,Benefits,"$7,926.28",,"$5,514.00","$5,935.00","$8,570.00","$9,066.00",,$496.00,5.79
,1000.2800.2160.52310.020,,,,Retirement,"$2,738.00",,"$2,527.66","$5,646.86","$3,315.00","$3,601.00",,$286.00,8.63
,1000.2800.2160.55800.020,,,Travel,,$55.63,,$0.00,$0.00,$50.00,$50.00,,$0.00,0.00
Program:,OTHER,SPECIAL,PROGRAMS -,2800,,"$80,429.66","$64,587.89",,"$72,994.13","$86,104.00","$93,275.00",,"$7,171.00",8.33
Function:,OT -,2160,,,,"$80,429.66","$64,587.89",,"$72,994.13","$86,104.00","$93,275.00",,"$7,171.00",8.33
Cost,Center:,MORSE STREET,- 020,,,"$640,769.07","$679,510.76",,"$870,456.94","$982,658.00","$1,037,964.00","$55,306.00",,5.63
,1000.2200.1000.51010.030,,,Teacher,Salaries,"$89,234.52","$40,239.53",,"$2,769.70","$46,926.00","$104,347.00","$57,421.00",,122.37
,1000.2200.1000.51020.030,,,Ed,Tech Salaries,"$6,880.54",,$203.60,"$31,875.16","$30,251.00","$30,826.00",,$575.00,1.90
,1000.2200.1000.52010.030,,,Teacher,Benefits,"$21,118.95",,"$1,726.90",($65.63),"$5,889.00","$31,367.00","$25,478.00",,432.64
,1000.2200.1000.52020.030,,,Ed,Tech Benefits,"$7,579.42",,"$7,592.14","$1,061.31","$12,480.00","$15,945.00",,"$3,465.00",27.76
,1000.2200.1000.52310.030,,,,Retirement,"$2,954.38",,"$1,673.76",$123.32,"$2,098.00","$4,664.00",,"$2,566.00",122.31
,1000.2200.1000.52320.030,,,,Retirement,$264.53,,$0.00,"$1,268.35","$1,352.00","$1,488.00",,$136.00,10.06
,1000.2200.1000.56100.030,,,,Instructional Supplies,$0.00,,$0.00,$0.00,$100.00,"$3,075.00",,"$2,975.00","2,975.00"
Program:,,RESOURCE CLASSROOM,PLACEMENT,-,2200,"$128,032.34","$51,435.93",,"$37,032.21","$99,096.00","$191,712.00","$92,616.00",,93.46
Function:,REGULAR,INSTRUCTION,- 1000,,,"$128,032.34","$51,435.93",,"$37,032.21","$99,096.00","$191,712.00","$92,616.00",,93.46
,,,,,,Page,20 of 89,,,,,,,
