,,,,RSU,No.,5,,,,,
Article 7,School,Administration - -,Adopted,,,,,,,,
From Date:,7/1/2022,To Date:,6/30/2023 Definition:,,FY23 Adopted,,,,,,
,,,,,,,,,,,Percentage
,,,FY19 Actual,FY20 Actual,,FY21 Actual,FY22,Adopted,Dollar,Difference,Difference
,,,,,,,,FY23,Adopted,,
Account,,Description,,,,,,,,,
1000.0000.2400.52340.010,,Retirement,"$7,854",,"$8,559",,"$3,392","$9,164","$9,666",$502,5.47
1000.0000.2400.52340.020,,Retirement,"$3,935",,"$4,289",,"$1,709","$4,762","$4,801",$39,0.82
1000.0000.2400.52340.030,,Retirement,"$3,935",,"$4,289",,"$1,709","$4,616","$4,801",$185,4.00
1000.0000.2400.52340.040,,Retirement,"$3,935",,"$4,289",,"$1,709","$4,616","$4,801",$185,4.00
1000.0000.2400.52340.050,,Retirement,"$7,352",,"$7,790",,"$3,084","$8,336","$8,670",$334,4.01
1000.0000.2400.52340.300,,Retirement,"$8,071",,"$8,796",,"$3,522","$9,534","$9,915",$381,4.00
1000.0000.2400.52380.010,,Retirement,"$1,375",,"$1,620",,$339,"$1,484",$0,"($1,484)",(100.00)
1000.0000.2400.55310.010,,Postage,"$1,430",,"$2,180",,"$1,739","$2,020","$3,040","$1,020",50.50
1000.0000.2400.55310.020,,Postage,$406,,$545,,$570,$750,"$1,770","$1,020",136.00
1000.0000.2400.55310.030,,Postage,$520,,$501,,$280,$550,$550,$0,0.00
1000.0000.2400.55310.040,,Postage,$988,,$950,,$529,"$1,000","$2,020","$1,020",102.00
1000.0000.2400.55310.050,,Postage,"$1,005",,"$1,187",,$707,"$1,000","$2,020","$1,020",102.00
1000.0000.2400.55310.300,,Postage,"$1,856",,"$2,494",,"$2,347","$3,285","$4,304","$1,019",31.02
1000.0000.2400.55800.010,,Travel,$519,,$624,,$16,$520,$520,$0,0.00
1000.0000.2400.55800.020,,Travel,$19,,$52,,$16,$300,$300,$0,0.00
1000.0000.2400.55800.030,,Travel,$473,,$24,,$16,$470,$470,$0,0.00
1000.0000.2400.55800.040,,Travel,$103,,$67,,$16,$300,$300,$0,0.00
1000.0000.2400.55800.050,,Travel,$224,,$594,,$189,$810,$810,$0,0.00
1000.0000.2400.55800.300,,Travel,"$1,260",,$693,,$0,"$1,250","$1,250",$0,0.00
1000.0000.2400.56000.010,,Supplies,$0,,$0,,"$1,150","$1,030","$1,030",$0,0.00
1000.0000.2400.56000.020,,Supplies,$500,,$737,,$141,$500,$500,$0,0.00
1000.0000.2400.56000.030,,Supplies,$267,,$504,,$185,$300,$300,$0,0.00
1000.0000.2400.56000.040,,Supplies,$112,,$968,,$0,$500,$500,$0,0.00
1000.0000.2400.56000.050,,Supplies,$610,,$567,,$502,$500,$500,$0,0.00
